,ME
ARID5B,ME_1_early_inv_column
ATF3,ME_1_early_inv_column
ATF4,ME_1_early_inv_column
BACH2,ME_1_early_inv_column
BATF3,ME_1_early_inv_column
BHLHE40,ME_1_early_inv_column
CEBPA,ME_1_early_inv_column
CEBPD,ME_1_early_inv_column
CREB3,ME_1_early_inv_column
CREM,ME_1_early_inv_column
CXXC1,ME_1_early_inv_column
DNAJC2,ME_1_early_inv_column
E2F2,ME_1_early_inv_column
E2F3,ME_1_early_inv_column
E2F4,ME_1_early_inv_column
EGR1,ME_1_early_inv_column
ELF3,ME_1_early_inv_column
ESRRG,ME_1_early_inv_column
ETV5,ME_1_early_inv_column
FOS,ME_1_early_inv_column
FOSL1,ME_1_early_inv_column
FOXM1,ME_1_early_inv_column
GLIS2,ME_1_early_inv_column
GRHL3,ME_1_early_inv_column
GTF3A,ME_1_early_inv_column
HEY1,ME_1_early_inv_column
HMGA1,ME_1_early_inv_column
ID3,ME_1_early_inv_column
IRF6,ME_1_early_inv_column
IRX4,ME_1_early_inv_column
JDP2,ME_1_early_inv_column
JUN,ME_1_early_inv_column
JUNB,ME_1_early_inv_column
KAT8,ME_1_early_inv_column
LYAR,ME_1_early_inv_column
MYC,ME_1_early_inv_column
NFE2L3,ME_1_early_inv_column
NFYB,ME_1_early_inv_column
NONO,ME_1_early_inv_column
NR2F2,ME_1_early_inv_column
OSR2,ME_1_early_inv_column
PEG3,ME_1_early_inv_column
PHF5A,ME_1_early_inv_column
SMARCE1,ME_1_early_inv_column
SNAI1,ME_1_early_inv_column
SOX15,ME_1_early_inv_column
SP6,ME_1_early_inv_column
SSRP1,ME_1_early_inv_column
TBPL1,ME_1_early_inv_column
TEAD4,ME_1_early_inv_column
TFAM,ME_1_early_inv_column
TFDP1,ME_1_early_inv_column
TFEB,ME_1_early_inv_column
TONSL,ME_1_early_inv_column
TOX4,ME_1_early_inv_column
TP63,ME_1_early_inv_column
XBP1,ME_1_early_inv_column
YBX1,ME_1_early_inv_column
YBX3,ME_1_early_inv_column
ZBTB7C,ME_1_early_inv_column
ZFP42,ME_1_early_inv_column
ZNF146,ME_1_early_inv_column
ZNF175,ME_1_early_inv_column
ZNF511,ME_1_early_inv_column
ZNF581,ME_1_early_inv_column
ZNF726,ME_1_early_inv_column
ADNP2,ME_2_inv_front
ARNT,ME_2_inv_front
BARX2,ME_2_inv_front
BCL3,ME_2_inv_front
CIC,ME_2_inv_front
CSRNP1,ME_2_inv_front
DMAP1,ME_2_inv_front
ERG,ME_2_inv_front
ETS2,ME_2_inv_front
ETV7,ME_2_inv_front
FOSB,ME_2_inv_front
FOSL2,ME_2_inv_front
GATAD1,ME_2_inv_front
GLI3,ME_2_inv_front
HES2,ME_2_inv_front
HSF2,ME_2_inv_front
ID2,ME_2_inv_front
IRF1,ME_2_inv_front
IRX2,ME_2_inv_front
KAT5,ME_2_inv_front
KAT7,ME_2_inv_front
KLF11,ME_2_inv_front
KLF4,ME_2_inv_front
KMT2A,ME_2_inv_front
MAFF,ME_2_inv_front
MAZ,ME_2_inv_front
NFE2L2,ME_2_inv_front
NFKB2,ME_2_inv_front
NFKBIZ,ME_2_inv_front
NFYC,ME_2_inv_front
NPAS2,ME_2_inv_front
NR1H2,ME_2_inv_front
PBX2,ME_2_inv_front
PURB,ME_2_inv_front
SFPQ,ME_2_inv_front
SOX13,ME_2_inv_front
SRF,ME_2_inv_front
THAP8,ME_2_inv_front
TRERF1,ME_2_inv_front
USF2,ME_2_inv_front
ZBED1,ME_2_inv_front
ZBTB44,ME_2_inv_front
ZNF268,ME_2_inv_front
ZNF331,ME_2_inv_front
ZNF362,ME_2_inv_front
ZNF414,ME_2_inv_front
ZNF493,ME_2_inv_front
ZNF506,ME_2_inv_front
ZNF655,ME_2_inv_front
ZNF791,ME_2_inv_front
ZNF841,ME_2_inv_front
BACH1,ME_3_fusion
BATF2,ME_3_fusion
BNC2,ME_3_fusion
CREBZF,ME_3_fusion
E2F1,ME_3_fusion
EBF2,ME_3_fusion
ELK4,ME_3_fusion
ETV6,ME_3_fusion
FOXK2,ME_3_fusion
FOXN3,ME_3_fusion
FOXP1,ME_3_fusion
GATA2,ME_3_fusion
GLIS3,ME_3_fusion
HAND2,ME_3_fusion
HIVEP1,ME_3_fusion
HIVEP2,ME_3_fusion
IRF7,ME_3_fusion
JUND,ME_3_fusion
KDM5C,ME_3_fusion
MIER2,ME_3_fusion
MLXIP,ME_3_fusion
MXI1,ME_3_fusion
NCOA3,ME_3_fusion
NFIL3,ME_3_fusion
NFX1,ME_3_fusion
NFYA,ME_3_fusion
NR3C1,ME_3_fusion
OVOL1,ME_3_fusion
PBX1,ME_3_fusion
PBX4,ME_3_fusion
PURA,ME_3_fusion
RFX2,ME_3_fusion
RFX3,ME_3_fusion
RORA,ME_3_fusion
SCX,ME_3_fusion
SMAD2,ME_3_fusion
SMARCA1,ME_3_fusion
SOX7,ME_3_fusion
SP140L,ME_3_fusion
STAT1,ME_3_fusion
STAT3,ME_3_fusion
TAF1,ME_3_fusion
TBX3,ME_3_fusion
TFAP2A,ME_3_fusion
THAP7,ME_3_fusion
TSC22D2,ME_3_fusion
TSC22D3,ME_3_fusion
ZBTB21,ME_3_fusion
ZFHX3,ME_3_fusion
ZFX,ME_3_fusion
ZNF248,ME_3_fusion
ZNF282,ME_3_fusion
ZNF354A,ME_3_fusion
ZNF444,ME_3_fusion
ZNF517,ME_3_fusion
ZNF532,ME_3_fusion
ZNF652,ME_3_fusion
ZNF687,ME_3_fusion
ZNF90,ME_3_fusion
ARID3A,ME_4_artery_remodelling
E4F1,ME_4_artery_remodelling
EBF1,ME_4_artery_remodelling
ELF4,ME_4_artery_remodelling
ETS1,ME_4_artery_remodelling
ETV3,ME_4_artery_remodelling
GRHL1,ME_4_artery_remodelling
HES4,ME_4_artery_remodelling
HIC2,ME_4_artery_remodelling
HIF1A,ME_4_artery_remodelling
HMGA2,ME_4_artery_remodelling
HOPX,ME_4_artery_remodelling
ID4,ME_4_artery_remodelling
IRX3,ME_4_artery_remodelling
KDM2A,ME_4_artery_remodelling
KDM5A,ME_4_artery_remodelling
KLF6,ME_4_artery_remodelling
KLF9,ME_4_artery_remodelling
MAX,ME_4_artery_remodelling
MYCN,ME_4_artery_remodelling
NCOR1,ME_4_artery_remodelling
PBRM1,ME_4_artery_remodelling
PPP1R13L,ME_4_artery_remodelling
REL,ME_4_artery_remodelling
SP1,ME_4_artery_remodelling
SP110,ME_4_artery_remodelling
TBX1,ME_4_artery_remodelling
TCF25,ME_4_artery_remodelling
TCF3,ME_4_artery_remodelling
TFDP2,ME_4_artery_remodelling
TFE3,ME_4_artery_remodelling
TOX,ME_4_artery_remodelling
TRPS1,ME_4_artery_remodelling
ZBTB1,ME_4_artery_remodelling
ZBTB7A,ME_4_artery_remodelling
ZKSCAN1,ME_4_artery_remodelling
ZNF121,ME_4_artery_remodelling
ZNF124,ME_4_artery_remodelling
ZNF131,ME_4_artery_remodelling
ZNF142,ME_4_artery_remodelling
ZNF211,ME_4_artery_remodelling
ZNF25,ME_4_artery_remodelling
ZNF254,ME_4_artery_remodelling
ZNF280C,ME_4_artery_remodelling
ZNF33B,ME_4_artery_remodelling
ZNF345,ME_4_artery_remodelling
ZNF354B,ME_4_artery_remodelling
ZNF384,ME_4_artery_remodelling
ZNF420,ME_4_artery_remodelling
ZNF43,ME_4_artery_remodelling
ZNF431,ME_4_artery_remodelling
ZNF440,ME_4_artery_remodelling
ZNF484,ME_4_artery_remodelling
ZNF507,ME_4_artery_remodelling
ZNF512,ME_4_artery_remodelling
ZNF516,ME_4_artery_remodelling
ZNF518A,ME_4_artery_remodelling
ZNF552,ME_4_artery_remodelling
ZNF561,ME_4_artery_remodelling
ZNF562,ME_4_artery_remodelling
ZNF570,ME_4_artery_remodelling
ZNF571,ME_4_artery_remodelling
ZNF600,ME_4_artery_remodelling
ZNF611,ME_4_artery_remodelling
ZNF692,ME_4_artery_remodelling
ZNF714,ME_4_artery_remodelling
ZNF721,ME_4_artery_remodelling
ZNF736,ME_4_artery_remodelling
ZNF76,ME_4_artery_remodelling
ZNF780A,ME_4_artery_remodelling
ZNF793,ME_4_artery_remodelling
ZNF800,ME_4_artery_remodelling
ZNF814,ME_4_artery_remodelling
ZSCAN21,ME_4_artery_remodelling
ZXDC,ME_4_artery_remodelling
