,ME
ADNP,ME_1_early_inv_column
ADNP2,ME_1_early_inv_column
AEBP2,ME_1_early_inv_column
ARID1A,ME_1_early_inv_column
ARID2,ME_1_early_inv_column
ARID5B,ME_1_early_inv_column
ARNTL,ME_1_early_inv_column
ARNTL2,ME_1_early_inv_column
ATRX,ME_1_early_inv_column
BACH2,ME_1_early_inv_column
BARX2,ME_1_early_inv_column
BBX,ME_1_early_inv_column
BHLHE40,ME_1_early_inv_column
BHLHE41,ME_1_early_inv_column
BNC2,ME_1_early_inv_column
CDC5L,ME_1_early_inv_column
CLOCK,ME_1_early_inv_column
CREB1,ME_1_early_inv_column
CREBZF,ME_1_early_inv_column
CREM,ME_1_early_inv_column
CTCF,ME_1_early_inv_column
DMTF1,ME_1_early_inv_column
DNAJC2,ME_1_early_inv_column
DNMT1,ME_1_early_inv_column
DNMT3B,ME_1_early_inv_column
E2F1,ME_1_early_inv_column
E2F2,ME_1_early_inv_column
E2F3,ME_1_early_inv_column
E2F4,ME_1_early_inv_column
E2F5,ME_1_early_inv_column
E2F7,ME_1_early_inv_column
ELF1,ME_1_early_inv_column
ELF2,ME_1_early_inv_column
ELF3,ME_1_early_inv_column
ELF5,ME_1_early_inv_column
ELMSAN1,ME_1_early_inv_column
ESRRG,ME_1_early_inv_column
ETV5,ME_1_early_inv_column
ETV6,ME_1_early_inv_column
FOSL1,ME_1_early_inv_column
FOXK2,ME_1_early_inv_column
FOXM1,ME_1_early_inv_column
FOXO4,ME_1_early_inv_column
FOXP1,ME_1_early_inv_column
GABPA,ME_1_early_inv_column
GATAD1,ME_1_early_inv_column
GLI3,ME_1_early_inv_column
GMEB1,ME_1_early_inv_column
GRHL3,ME_1_early_inv_column
GTF3A,ME_1_early_inv_column
HIC2,ME_1_early_inv_column
HIVEP1,ME_1_early_inv_column
HIVEP2,ME_1_early_inv_column
HMG20A,ME_1_early_inv_column
HMG20B,ME_1_early_inv_column
HMGA1,ME_1_early_inv_column
HMGXB4,ME_1_early_inv_column
HOXB3,ME_1_early_inv_column
HSF1,ME_1_early_inv_column
IKZF4,ME_1_early_inv_column
IRF2,ME_1_early_inv_column
IRF6,ME_1_early_inv_column
IRX4,ME_1_early_inv_column
ISL1,ME_1_early_inv_column
JUN,ME_1_early_inv_column
KDM5C,ME_1_early_inv_column
KMT2B,ME_1_early_inv_column
MECOM,ME_1_early_inv_column
MEIS1,ME_1_early_inv_column
MGA,ME_1_early_inv_column
MIER1,ME_1_early_inv_column
MSX2,ME_1_early_inv_column
MTA1,ME_1_early_inv_column
MYBL1,ME_1_early_inv_column
MYBL2,ME_1_early_inv_column
NCOA2,ME_1_early_inv_column
NCOA3,ME_1_early_inv_column
NFATC2,ME_1_early_inv_column
NFATC3,ME_1_early_inv_column
NFE2L2,ME_1_early_inv_column
NFE2L3,ME_1_early_inv_column
NFIA,ME_1_early_inv_column
NFIB,ME_1_early_inv_column
NFX1,ME_1_early_inv_column
NFYC,ME_1_early_inv_column
NONO,ME_1_early_inv_column
NPAS2,ME_1_early_inv_column
NPAS3,ME_1_early_inv_column
NR1D2,ME_1_early_inv_column
NR2C1,ME_1_early_inv_column
NR2C2,ME_1_early_inv_column
NR2F2,ME_1_early_inv_column
NR3C2,ME_1_early_inv_column
NR4A1,ME_1_early_inv_column
NR4A3,ME_1_early_inv_column
PBRM1,ME_1_early_inv_column
PBX1,ME_1_early_inv_column
PHTF1,ME_1_early_inv_column
PHTF2,ME_1_early_inv_column
PKNOX1,ME_1_early_inv_column
POGZ,ME_1_early_inv_column
POU2F1,ME_1_early_inv_column
PPARD,ME_1_early_inv_column
PRDM15,ME_1_early_inv_column
RBPJ,ME_1_early_inv_column
RCOR3,ME_1_early_inv_column
RELB,ME_1_early_inv_column
RERE,ME_1_early_inv_column
RFX7,ME_1_early_inv_column
SFPQ,ME_1_early_inv_column
SMAD5,ME_1_early_inv_column
SMAD7,ME_1_early_inv_column
SNAPC4,ME_1_early_inv_column
SOX13,ME_1_early_inv_column
SOX6,ME_1_early_inv_column
SP1,ME_1_early_inv_column
SP3,ME_1_early_inv_column
SP6,ME_1_early_inv_column
SREBF2,ME_1_early_inv_column
SSRP1,ME_1_early_inv_column
STAT5B,ME_1_early_inv_column
TADA2A,ME_1_early_inv_column
TBX3,ME_1_early_inv_column
TEAD4,ME_1_early_inv_column
TET1,ME_1_early_inv_column
TFAP2C,ME_1_early_inv_column
TFCP2,ME_1_early_inv_column
TFCP2L1,ME_1_early_inv_column
TFDP1,ME_1_early_inv_column
TFDP2,ME_1_early_inv_column
TFEB,ME_1_early_inv_column
THRB,ME_1_early_inv_column
TONSL,ME_1_early_inv_column
TOX,ME_1_early_inv_column
TP53,ME_1_early_inv_column
TP63,ME_1_early_inv_column
TRERF1,ME_1_early_inv_column
TSC22D2,ME_1_early_inv_column
UBTF,ME_1_early_inv_column
YBX3,ME_1_early_inv_column
ZBTB11,ME_1_early_inv_column
ZBTB25,ME_1_early_inv_column
ZBTB37,ME_1_early_inv_column
ZBTB4,ME_1_early_inv_column
ZBTB44,ME_1_early_inv_column
ZBTB7C,ME_1_early_inv_column
ZC3H6,ME_1_early_inv_column
ZC3H8,ME_1_early_inv_column
ZFAT,ME_1_early_inv_column
ZFHX3,ME_1_early_inv_column
ZFP14,ME_1_early_inv_column
ZFX,ME_1_early_inv_column
ZNF107,ME_1_early_inv_column
ZNF138,ME_1_early_inv_column
ZNF14,ME_1_early_inv_column
ZNF146,ME_1_early_inv_column
ZNF175,ME_1_early_inv_column
ZNF195,ME_1_early_inv_column
ZNF236,ME_1_early_inv_column
ZNF257,ME_1_early_inv_column
ZNF267,ME_1_early_inv_column
ZNF282,ME_1_early_inv_column
ZNF292,ME_1_early_inv_column
ZNF302,ME_1_early_inv_column
ZNF331,ME_1_early_inv_column
ZNF33B,ME_1_early_inv_column
ZNF341,ME_1_early_inv_column
ZNF347,ME_1_early_inv_column
ZNF354B,ME_1_early_inv_column
ZNF362,ME_1_early_inv_column
ZNF407,ME_1_early_inv_column
ZNF429,ME_1_early_inv_column
ZNF43,ME_1_early_inv_column
ZNF44,ME_1_early_inv_column
ZNF440,ME_1_early_inv_column
ZNF445,ME_1_early_inv_column
ZNF496,ME_1_early_inv_column
ZNF507,ME_1_early_inv_column
ZNF519,ME_1_early_inv_column
ZNF525,ME_1_early_inv_column
ZNF529,ME_1_early_inv_column
ZNF565,ME_1_early_inv_column
ZNF566,ME_1_early_inv_column
ZNF577,ME_1_early_inv_column
ZNF595,ME_1_early_inv_column
ZNF613,ME_1_early_inv_column
ZNF644,ME_1_early_inv_column
ZNF678,ME_1_early_inv_column
ZNF697,ME_1_early_inv_column
ZNF701,ME_1_early_inv_column
ZNF708,ME_1_early_inv_column
ZNF714,ME_1_early_inv_column
ZNF718,ME_1_early_inv_column
ZNF721,ME_1_early_inv_column
ZNF726,ME_1_early_inv_column
ZNF75A,ME_1_early_inv_column
ZNF75D,ME_1_early_inv_column
ZNF76,ME_1_early_inv_column
ZNF761,ME_1_early_inv_column
ZNF780B,ME_1_early_inv_column
ZNF789,ME_1_early_inv_column
ZNF79,ME_1_early_inv_column
