,VCT_CCC,EVT_1,EVT_2,eEVT,iEVT,GC,Cluster
SEMA4A,1.1650161513441106,-0.20770989477311902,0.3038515851298454,-1.234541455213125,1.2079250687254135,-1.234541455213125,4
DLL4,1.149926909463341,0.1257036965555343,0.27014747767348163,-1.310286655926084,1.0747952281598105,-1.310286655926084,4
XCL1,-0.16910074742115194,-0.4684858699866433,-0.12348654879642018,2.119979258187789,-0.28004594756379747,-1.078860144419776,6
TGFB3,-0.3855922960351178,-0.5421776918271043,-0.3950363820026121,2.1950832723042755,-0.11795287722007604,-0.7543240252193651,6
WNT5B,-0.8497026972229222,-1.0491376675233508,-0.2067973569101515,0.7936430301953011,-0.49378872991613404,1.8057834213772592,2
VASN,0.6218376341866387,-1.4053887401451886,-1.0392810688205447,1.574568640247813,0.27906967681762945,-0.03080614228634819,6
PTGER3,-1.037717139561654,-0.9256185837125683,-0.7521794412010027,1.4650673670525627,0.0902625791103044,1.1601852183123575,0
NTRK2,0.8665922938332181,-0.3415175536593181,0.7576042893935723,-1.2450759828369116,1.207472936106351,-1.2450759828369116,4
POMC,-1.3395310852723357,-0.8991037237815604,-0.38782229169319277,0.17419715771971575,1.5499576816398852,0.9023022613874885,0
EFNB1,-1.1894539407893872,-0.3077377983017144,0.04168945671154055,-1.0488942161897798,0.8968260699736362,1.6075704285957042,2
NRP2,2.133744525502913,-0.7560756632499086,-0.4880199889633259,-0.6333903403973462,-0.4469574651293004,0.19069893223696738,1
BDNF,0.6513818357608017,-0.353690213229344,0.24478544233716698,-1.1200266994057548,1.6975763339428858,-1.1200266994057548,4
CD320,1.6510127771430845,0.35606475830988177,-0.642860659106081,-1.3761657042006943,-0.6421773576173723,0.6541261854711808,1
ANGPT1,-0.9269247865116359,-0.6773215507355803,-0.28900102540409056,1.791177895029864,0.8831996887989172,-0.7811302211774761,6
EPHB3,-1.5641582273865036,-0.6937360591010592,0.45654705824484193,1.6613945376531307,0.28640060001770107,-0.14644790942811095,0
FAM19A5,-0.4420167489678697,-0.29367279667918744,0.8529822067908471,-0.9507090371969442,1.7841254132500983,-0.9507090371969442,4
TNFSF10,-0.9671595743576437,-0.085720543210267,-0.07902297203855357,-1.3607093848993743,1.461853461667866,1.030759012837974,0
IGFBP3,-0.09908234073590126,1.3736752292228556,0.9839260653103687,-1.7232158769981683,-0.16196118495424056,-0.3733418918449132,5
TNFRSF10B,0.6654567017738272,-0.7013392545877439,-0.6604688123774348,-0.5591765800874404,-0.7004336627878529,1.955961608066645,2
PSAP,-0.11554188955544298,-0.2258443064086594,-0.0763629291099737,-1.606231021000596,0.20527227374143128,1.8187078723332402,2
TMEM219,0.09633086755072674,1.7924557938762098,0.2305900245345,-1.1447989613864429,0.19797944244114926,-1.1725571670161425,5
GLG1,-0.8570702791555033,-1.4232498230310708,-0.5739828297797672,1.0457590521474152,0.6031849830474633,1.205358896771462,0
HLA-C,-0.8105810850790334,1.880747048389349,0.448765085880067,-1.214340933325073,0.051846156048837654,-0.35643627191414656,5
PROCR,-1.7096572299043897,1.1682945622980894,-0.23829953503223766,-0.7199133618923255,0.6699923624606481,0.8295832020702157,5
NGF,2.1858644222372576,-0.165130668395479,-0.15439901839069248,-0.6625695501378445,-0.5411956351753971,-0.6625695501378445,1
SEMA3F,-0.3566044212484039,-0.5085025297191484,-0.44332800976265846,2.227390597653102,-0.3286914775355371,-0.5902641593873538,6
PODXL,-0.4951465919794638,-0.7581618413383465,-0.4806003796820558,0.060489516703025985,-0.4946841135912773,2.168103409888117,2
CCL3L1,1.0736520375324201,0.5322409861745979,0.7784410559718686,-1.3811516308441503,0.3779691820094145,-1.3811516308441503,4
CXCR6,-0.8498435081812018,1.9212652884119295,0.05228905297686629,-1.1205403379330736,0.40348010704588566,-0.40665060232040534,5
HLA-F,-0.8353103000135147,-0.7311889485408153,-0.5149275967004804,2.085256724178664,-0.27955324252974795,0.2757233636058939,6
REN,-0.5687974747207003,-0.5647647520918473,-0.38400004663403253,-0.29589438271057783,-0.4120188357346797,2.2254754918918374,2
CXCR4,-0.6412203481617837,-0.41590755151878583,-0.32066845174878644,-1.1104538664734822,0.5426171778724825,1.945633040030355,2
APOA1,-0.9316550763933672,-0.3609700796947371,0.982382354256184,1.1245650732635433,0.6974739500393686,-1.5117962214709904,3
DPP4,2.1261926208298143,0.018470722526922886,-0.18250555978946997,-0.8185219954148957,-0.3251137927374757,-0.8185219954148957,1
