"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"NFX1_E"	"NFX1_E"	620	-14.7918678938453	1.65301919323153e-49	2.28943158262567e-46
"ZNF202_E"	"ZNF202_E"	597	14.5350391641747	7.26719610932064e-48	5.03253330570454e-45
"IRF6_E"	"IRF6_E"	519	-13.1053369726007	3.06896120277356e-39	1.4168370886138e-36
"SFPQ_E"	"SFPQ_E"	547	-12.0770395150376	1.39658015011322e-33	4.83565876976704e-31
"ZNF687_E"	"ZNF687_E"	476	-11.8727395413923	1.64007512119109e-32	4.20888879807386e-30
"ZNF324B_E"	"ZNF324B_E"	334	-11.8638760800048	1.82334532768543e-32	4.20888879807386e-30
"TOX4_E"	"TOX4_E"	1198	-11.6428483897975	2.49540093671701e-31	4.93732899621866e-29
"ZNF398_E"	"ZNF398_E"	358	-11.2300520116606	2.9030760576927e-29	5.0259504248805e-27
"ZNF142_E"	"ZNF142_E"	530	-11.214949047502	3.44384684081241e-29	5.29969763836132e-27
"GMEB2_E"	"GMEB2_E"	623	-11.2039221100422	3.90072919873277e-29	5.40250994024489e-27
"ZNF485_E"	"ZNF485_E"	387	-11.0758755827051	1.64266529543774e-28	2.06826494016479e-26
"ZNF317_E"	"ZNF317_E"	745	-11.0333998472631	2.63703680394367e-28	3.04357997788498e-26
"ZNF749_E"	"ZNF749_E"	200	-10.9529044380124	6.43505279412012e-28	6.85580624604336e-26
"ZNF48_E"	"ZNF48_E"	478	-10.8538897392332	1.91115153234758e-27	1.89067490878671e-25
"TADA2B_E"	"TADA2B_E"	459	-10.8214898736282	2.72314194914277e-27	2.51436773304182e-25
"PRDM4_E"	"PRDM4_E"	740	-10.7976429347121	3.53153022656955e-27	3.05698085237427e-25
"ZNF335_E"	"ZNF335_E"	925	-10.7890310401812	3.87857219098157e-27	3.15989557912322e-25
"ZNF574_E"	"ZNF574_E"	282	-10.6268983458593	2.23419608488703e-26	1.71908976531585e-24
"WIZ_E"	"WIZ_E"	913	-10.5558577271241	4.77260540570557e-26	3.47897815100117e-24
"ZBTB24_E"	"ZBTB24_E"	638	-10.4892649940999	9.67782900300364e-26	6.70189658458002e-24
"ZNF655_E"	"ZNF655_E"	639	-10.369659470494	3.4073681140566e-25	2.24724039903257e-23
"MYCL_E"	"MYCL_E"	401	-10.3414986769762	4.57328784155057e-25	2.87909257297615e-23
"ZNF629_E"	"ZNF629_E"	576	-10.3211987415094	5.65131229979621e-25	3.40307284139902e-23
"ZNF778_E"	"ZNF778_E"	439	-10.2695189127186	9.66855976926581e-25	5.57956470018048e-23
"ZSCAN25_E"	"ZSCAN25_E"	374	-10.2330683662169	1.40980383355484e-24	7.81031323789382e-23
"DNAJC1_E"	"DNAJC1_E"	1092	10.1854686049284	2.30247878286713e-24	1.22651273625807e-22
"BARX2_E"	"BARX2_E"	454	-10.1776041333194	2.49631806452847e-24	1.28051871087849e-22
"CREBZF_E"	"CREBZF_E"	490	-10.1146673829572	4.756298239894e-24	2.35266895080471e-22
"ZBTB5_E"	"ZBTB5_E"	294	-10.1057986114373	5.20695826605409e-24	2.48677144775342e-22
"VEZF1_E"	"VEZF1_E"	923	-10.0818192732944	6.64835774470337e-24	3.06932515880472e-22
"ZNF131_E"	"ZNF131_E"	658	-10.04306883807	9.85592102336205e-24	4.40337116688917e-22
"ZNF316_E"	"ZNF316_E"	504	-10.0395484535282	1.02140642554713e-23	4.42077468557119e-22
"KDM5C_E"	"KDM5C_E"	341	-9.98692479458632	1.7389285362589e-23	7.29823037187449e-22
"ZNF777_E"	"ZNF777_E"	389	-9.96637613210711	2.13890965072375e-23	8.71291137133056e-22
