"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"GTF3A_E"	"GTF3A_E"	1212	-51.6135654666187	0	0
"PHF5A_E"	"PHF5A_E"	1702	-57.4845857316168	0	0
"THAP4_E"	"THAP4_E"	1147	-38.0515127723773	0	0
"ZNF32_E"	"ZNF32_E"	811	-35.2503736933975	3.38600882673555e-272	1.17240555625718e-269
"LYAR_E"	"LYAR_E"	1036	-34.1811085884673	4.61528254408544e-256	1.27843326471167e-253
"DNAJC1_E"	"DNAJC1_E"	1092	-33.5484909885002	9.47090437576951e-247	2.18620042674013e-244
"MLX_E"	"MLX_E"	1353	-30.7927617607903	3.27555734770323e-208	6.48092418081282e-206
"ZNF277_E"	"ZNF277_E"	776	-28.996728522698	7.2351385827394e-185	1.25258336713676e-182
"PSPC1_E"	"PSPC1_E"	824	-28.6039386247335	6.00210376471725e-180	9.23657079348155e-178
"TFAM_E"	"TFAM_E"	1317	-26.791312195328	4.07953384238063e-158	5.65015437169717e-156
"SMARCE1_E"	"SMARCE1_E"	1043	-25.2039814131171	3.62267280300986e-140	4.5612743928806e-138
"DNAJC2_E"	"DNAJC2_E"	1223	-24.8286413447835	4.39933004065648e-136	5.07756008859103e-134
"CDC5L_E"	"CDC5L_E"	1270	-24.7279095424346	5.35954837932721e-135	5.70998038874476e-133
"ZNF239_E"	"ZNF239_E"	627	-24.6980859088046	1.12134503700251e-134	1.10933062589177e-132
"TBPL1_E"	"TBPL1_E"	544	-23.1625948887575	1.0854065702359e-118	1.00219206651782e-116
"TOX4_E"	"TOX4_E"	1198	-22.526772975878	2.26896367531429e-112	1.96407168144393e-110
"ZNF581_E"	"ZNF581_E"	501	-21.9118697199864	2.00192791043618e-106	1.63098244467889e-104
"THAP10_E"	"THAP10_E"	445	-20.8576539974618	1.29888459015361e-96	9.99419531868198e-95
"ZSCAN5A_E"	"ZSCAN5A_E"	476	-20.5464616895214	8.27815190777072e-94	6.03433704855919e-92
"THAP7_E"	"THAP7_E"	758	-20.1349414445902	3.64743896370112e-90	2.52585148236302e-88
"ZNF35_E"	"ZNF35_E"	570	-19.1230925094516	1.6219917848963e-81	1.06974220099113e-79
"ATF5_E"	"ATF5_E"	333	-19.1020543671551	2.42745342257675e-81	1.528192268304e-79
"ZNF287_E"	"ZNF287_E"	500	-18.9795893853641	2.51554196306725e-80	1.51479374732528e-78
"ZNF16_E"	"ZNF16_E"	298	-18.7114011819855	3.99726228640427e-78	2.3067534444458e-76
"MESP1_E"	"MESP1_E"	506	-17.9571343764738	4.22041241517844e-72	2.33810847800886e-70
"ZFP64_E"	"ZFP64_E"	757	-17.8116429927935	5.73998887822494e-71	3.05764792166982e-69
"CIC_E"	"CIC_E"	450	17.6664284221253	7.60627538866324e-70	3.90173756048096e-68
