"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"THAP4_E"	"THAP4_E"	1147	14.4613062003412	2.12722240294203e-47	2.94620302807471e-44
"PHF5A_E"	"PHF5A_E"	1702	12.6605546481372	9.78058786551416e-37	6.77305709686855e-34
"GTF3A_E"	"GTF3A_E"	1212	12.4393396274042	1.59819740960157e-35	7.37834470766059e-33
"ZNF787_E"	"ZNF787_E"	661	11.6254679396163	3.05912502055556e-31	1.05922203836736e-28
"THAP7_E"	"THAP7_E"	758	10.3019306396872	6.90611363608422e-25	1.91299347719533e-22
"ZNF581_E"	"ZNF581_E"	502	9.93895682318373	2.81762234998171e-23	6.50401159120779e-21
"ZNF524_E"	"ZNF524_E"	826	9.73191721417245	2.20399166431682e-22	4.36075493582685e-20
"ZNF513_E"	"ZNF513_E"	779	9.30348068317734	1.35921621808073e-20	2.35314307755226e-18
"ZBTB45_E"	"ZBTB45_E"	654	9.00481120382127	2.16037200700151e-19	3.32457247744121e-17
"ARID4B_E"	"ARID4B_E"	557	-8.97381665003185	2.86413863101203e-19	3.96683200395166e-17
"NFKBIB_E"	"NFKBIB_E"	811	8.94861363467369	3.59974751297967e-19	4.53240936861532e-17
"DNAJC1_E"	"DNAJC1_E"	1091	8.79647477323179	1.41181288220617e-18	1.62946736821295e-16
"MLX_E"	"MLX_E"	1352	8.6601999653603	4.70937403379943e-18	5.0172946437017e-16
"ZNF579_E"	"ZNF579_E"	356	8.58109473157642	9.39744478118544e-18	9.2967578728156e-16
"HMG20B_E"	"HMG20B_E"	813	8.35916186498967	6.31653956184855e-17	5.83227152877349e-15
"ZNF668_E"	"ZNF668_E"	506	8.20616181164431	2.28371589886873e-16	1.97684157495824e-14
"HMGXB4_E"	"HMGXB4_E"	592	-8.05158631645285	8.17277455785624e-16	6.65840750742993e-14
"ZNF414_E"	"ZNF414_E"	727	8.01579386079261	1.09427902265427e-15	8.41986914653422e-14
"ZNF32_E"	"ZNF32_E"	812	7.999336310831	1.25091622463417e-15	9.11852090062275e-14
"ZNF511_E"	"ZNF511_E"	708	7.90799040512459	2.6157696851124e-15	1.81142050694034e-13
"ZNF408_E"	"ZNF408_E"	451	7.87018812238244	3.54108368431479e-15	2.3354290013219e-13
"ZNF672_E"	"ZNF672_E"	538	7.78781677450886	6.81769499954e-15	4.29204889743768e-13
"FIZ1_E"	"FIZ1_E"	723	-7.7088499483302	1.26956575965563e-14	7.64499381357847e-13
"ZNF205_E"	"ZNF205_E"	530	7.69530244562602	1.41159873710037e-14	8.14610104535003e-13
"RC3H2_E"	"RC3H2_E"	886	-7.67690315957566	1.62980542319551e-14	9.02912204450311e-13
"ZNF580_E"	"ZNF580_E"	468	7.56372360317685	3.91691582507192e-14	2.08651092989408e-12
"KAT6A_E"	"KAT6A_E"	527	-7.47623701772533	7.64809649775811e-14	3.92319024051666e-12
"WIZ_E"	"WIZ_E"	913	7.44214072472544	9.90666048390863e-14	4.90025884650481e-12
"NFKBIE_E"	"NFKBIE_E"	674	7.408038511002	1.28181085724493e-13	6.12175185270425e-12
"MESP1_E"	"MESP1_E"	502	7.23809677050645	4.55024742498609e-13	2.10069756120191e-11
"ATF5_E"	"ATF5_E"	334	7.13094402548076	9.96828542984014e-13	4.45357268397697e-11
"ZNF654_E"	"ZNF654_E"	427	-7.11744283821735	1.09947793473306e-12	4.75867793626651e-11
"HEYL_E"	"HEYL_E"	420	7.10822838372403	1.17541944024969e-12	4.93319977195701e-11
