"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"LYAR_E"	"LYAR_E"	1036	16.6612390215428	2.50775034829237e-62	3.47323423238494e-59
"DMAP1_E"	"DMAP1_E"	927	-15.3444242845249	3.85968321700714e-53	2.67283062777745e-50
"ARNTL2_E"	"ARNTL2_E"	707	14.4753614596938	1.73411730418963e-47	8.00584155434213e-45
"ZNF76_E"	"ZNF76_E"	1213	-14.1722652381612	1.3604039478662e-45	4.71039866948672e-43
"ZNF133_E"	"ZNF133_E"	451	-14.1059213749637	3.49198441663861e-45	9.67279683408895e-43
"ZNF226_E"	"ZNF226_E"	298	-13.8814384746264	8.20799919728719e-44	1.89467981470713e-41
"KAT5_E"	"KAT5_E"	749	-12.9343366902076	2.88098786464658e-38	5.70024027505072e-36
"NFKBIE_E"	"NFKBIE_E"	676	12.6622099419453	9.57649951598217e-37	1.65793147870441e-34
"ZNF606_E"	"ZNF606_E"	256	12.3330503006171	6.01267435550785e-35	8.57734051702765e-33
"ZSCAN26_E"	"ZSCAN26_E"	355	-12.3306691915838	6.19302564406329e-35	8.57734051702765e-33
"GATAD2A_E"	"GATAD2A_E"	958	-12.3185355152592	7.1989735355586e-35	9.06416213340787e-33
"L3MBTL1_E"	"L3MBTL1_E"	671	-12.3018955353974	8.84732039672203e-35	1.02112822912167e-32
"ZNF396_E"	"ZNF396_E"	332	12.1653310760992	4.75513487341704e-34	5.06604753821738e-32
"ZNF33B_E"	"ZNF33B_E"	476	-12.149203391079	5.79272518860461e-34	5.73066027586956e-32
"ZNF517_E"	"ZNF517_E"	614	-12.0347213396699	2.33420838754153e-33	2.15525241116334e-31
"THAP6_E"	"THAP6_E"	489	-11.9962619198252	3.71708438336096e-33	3.21760116934683e-31
"ZNF599_E"	"ZNF599_E"	285	-11.7551438920358	6.64474595033423e-32	5.41351361247818e-30
"ZBED4_E"	"ZBED4_E"	809	11.4604263279367	2.08486003950618e-30	1.60418397484226e-28
"ZNF691_E"	"ZNF691_E"	447	-11.4164447197891	3.4610463010438e-30	2.5229205931293e-28
