"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"PBRM1_E"	"PBRM1_E"	1037	11.1483394185113	7.2955141987298e-29	1.01042871652408e-25
"ZNF276_E"	"ZNF276_E"	789	10.0736436270433	7.22507672037894e-24	5.00336562886242e-21
"ZFP91_E"	"ZFP91_E"	1031	9.99127244620549	1.66431411507125e-23	7.68358349791226e-21
"UBP1_E"	"UBP1_E"	849	9.79080038351818	1.23315819909234e-22	3.44637131827651e-20
"ZBTB41_E"	"ZBTB41_E"	529	9.78990092670545	1.24417737121896e-22	3.44637131827651e-20
"RC3H2_E"	"RC3H2_E"	886	9.63423530338262	5.73171591391779e-22	1.32307109012936e-19
"ZNF655_E"	"ZNF655_E"	637	9.37192276794653	7.12230271296794e-21	1.40919846535151e-18
"E4F1_E"	"E4F1_E"	801	9.1932672959013	3.81086573379076e-20	6.59756130162526e-18
"KDM2A_E"	"KDM2A_E"	601	9.1763912329185	4.45780436523764e-20	6.8600656065046e-18
"SMARCA5_E"	"SMARCA5_E"	1766	-8.92274506767771	4.54870944686323e-19	6.29996258390557e-17
"TOX4_E"	"TOX4_E"	1197	8.74038028696197	2.32327045955649e-18	2.65399188815725e-16
"ZNF81_E"	"ZNF81_E"	344	8.73375211045029	2.46360723498282e-18	2.65399188815725e-16
"ZNF76_E"	"ZNF76_E"	1210	8.7324968686694	2.49111151956998e-18	2.65399188815725e-16
"GLI4_E"	"GLI4_E"	1008	8.702296099437	3.25235650928235e-18	3.21750983239718e-16
"CDC5L_E"	"CDC5L_E"	1269	8.64340990408163	5.45597469909863e-18	5.03768330550107e-16
"CREBZF_E"	"CREBZF_E"	489	8.62838312240116	6.22253414025102e-18	5.38638111515479e-16
"ZNF316_E"	"ZNF316_E"	503	8.59725336072671	8.16466025631409e-18	6.65179673823236e-16
"ZNF770_E"	"ZNF770_E"	1359	8.3898241701813	4.86869788858294e-17	3.74619254204854e-15
"RCOR3_E"	"RCOR3_E"	567	-8.3797157705282	5.30556684144507e-17	3.86747898705338e-15
"ZNF33A_E"	"ZNF33A_E"	515	8.315899964475	9.10586052681779e-17	6.30580841482132e-15
"HMG20B_E"	"HMG20B_E"	812	8.30557484984537	9.93373263480916e-17	6.55153319010032e-15
"ZBTB17_E"	"ZBTB17_E"	1177	8.29214894171706	1.1122053825824e-16	7.0018384312574e-15
"ZNF451_E"	"ZNF451_E"	566	8.20661085306375	2.27519482624736e-16	1.37006297145765e-14
"MTF1_E"	"MTF1_E"	1362	8.18817628806502	2.65214161649023e-16	1.53050672451624e-14
"PURB_E"	"PURB_E"	448	8.14689153501045	3.73398319940908e-16	2.06862669247263e-14
"ZBTB48_E"	"ZBTB48_E"	697	8.03968669466611	9.00684624503894e-16	4.79787771129959e-14
"ZNF142_E"	"ZNF142_E"	530	8.02879234679594	9.84368060532107e-16	5.04944356976655e-14
"SMARCE1_E"	"SMARCE1_E"	1042	8.02345012272414	1.02815744727483e-15	5.0857073731273e-14
"ZGPAT_E"	"ZGPAT_E"	587	-7.98011877713535	1.46192542161176e-15	6.98195416873201e-14
"CXXC1_E"	"CXXC1_E"	919	7.96028512881709	1.71643282805179e-15	7.92419822283908e-14
