"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"PBRM1_E"	"PBRM1_E"	1037	18.813304561896	5.87582669957556e-79	8.13801997891215e-76
"SMARCA5_E"	"SMARCA5_E"	1782	-17.7337643527425	2.30099304108673e-70	1.59343768095256e-67
"ZFP91_E"	"ZFP91_E"	1031	17.4345086371324	4.51422945942258e-68	2.08406926710009e-65
"RC3H2_E"	"RC3H2_E"	886	17.3884890458249	1.00858199665402e-67	3.49221516341455e-65
"CDC5L_E"	"CDC5L_E"	1270	16.8483833572201	1.07822013215997e-63	2.98666976608313e-61
"ZNF664_E"	"ZNF664_E"	692	15.756478683488	6.19922216519258e-56	1.43098711646529e-53
"ARID4B_E"	"ARID4B_E"	557	15.4781026831505	4.87643592394665e-54	9.64837679238016e-52
"E2F8_E"	"E2F8_E"	713	-15.1886866687463	4.20255454037925e-52	7.27567254803158e-50
"CREBL2_E"	"CREBL2_E"	1041	15.1435795780632	8.35400939361147e-52	1.28558922335021e-49
"SMARCE1_E"	"SMARCE1_E"	1043	14.9230535176229	2.33345931298439e-50	3.23184114848338e-48
"BBX_E"	"BBX_E"	744	14.661302725476	1.14063313958554e-48	1.43616081665997e-46
"ARID4A_E"	"ARID4A_E"	537	14.2189173396282	6.99263923124889e-46	8.07067111273309e-44
"DNAJC1_E"	"DNAJC1_E"	1092	13.9906731311002	1.77721818386558e-44	1.89342091127218e-42
"ZBTB38_E"	"ZBTB38_E"	545	13.5961803516339	4.21898781894491e-42	4.17378437802764e-40
"VEZF1_E"	"VEZF1_E"	921	13.4443517974277	3.32304915753566e-41	3.06828205545792e-39
"ZNF770_E"	"ZNF770_E"	1369	13.2712818652173	3.39719281912935e-40	2.94069503405884e-38
"ZBTB44_E"	"ZBTB44_E"	471	13.2416210915473	5.04480372330124e-40	4.11003126868954e-38
"PURA_E"	"PURA_E"	440	13.1468479444421	1.77417493188156e-39	1.36512904480887e-37
"ZBTB41_E"	"ZBTB41_E"	529	13.0777447812958	4.41340792629804e-39	3.21714209364357e-37
"LRRFIP1_E"	"LRRFIP1_E"	656	-12.3389040445974	5.59117519401256e-35	3.87188882185369e-33
"ZNF277_E"	"ZNF277_E"	776	12.1421409227671	6.31517286097701e-34	4.16500686307293e-32
"UBP1_E"	"UBP1_E"	849	12.0161000689498	2.92451607988203e-33	1.84111580483482e-31
"TOX4_E"	"TOX4_E"	1198	11.8916964907784	1.30723977782218e-32	7.87185692297272e-31
"TFE3_E"	"TFE3_E"	1371	11.8849427638168	1.41732128095294e-32	8.17912489216593e-31
"KAT6A_E"	"KAT6A_E"	527	11.7742395726544	5.29928114415327e-32	2.93580175386091e-30
"ZNF654_E"	"ZNF654_E"	427	11.7372447944937	8.21182534696644e-32	4.37437619444174e-30
"ZNF524_E"	"ZNF524_E"	826	11.6603029447582	2.0331770106338e-31	1.04294450360289e-29
"ZFP1_E"	"ZFP1_E"	383	11.1382717221307	8.16891877852486e-29	4.04069732437747e-27
"KAT6B_E"	"KAT6B_E"	473	11.1198784300416	1.0040871794048e-28	4.79538187405394e-27
"MIER3_E"	"MIER3_E"	477	10.9956091465689	4.01195374846828e-28	1.85218531387619e-26
"FOXJ3_E"	"FOXJ3_E"	1342	10.9779015045076	4.88131152018496e-28	2.18084401788909e-26
