,0
0,ADNP
1,ADNP2
2,ARID1A
3,ARID1B
4,ARID2
5,ARID3A
6,ARID3B
7,ARID4A
8,ARID4B
9,ARNT
10,ARNT2
11,ARNTL2
12,ARX
13,ASCL1
14,ASCL2
15,ATF1
16,ATF2
17,ATF4
18,ATF5
19,ATF6
20,ATOH8
21,BARX2
22,BATF2
23,BATF3
24,BCL11A
25,BCL3
26,CDC5L
27,CEBPA
28,CEBPB
29,CIC
30,CNOT4
31,CREBZF
32,CREM
33,CSRNP1
34,CTCF
35,CUX1
36,CXXC1
37,DLX1
38,DLX3
39,DMAP1
40,DMTF1
41,DNAJC1
42,E2F6
43,E4F1
44,ELF1
45,ELF2
46,ELF3
47,ELF4
48,ELK4
49,ELMSAN1
50,EPAS1
51,ESRRA
52,ESX1
53,ETS1
54,ETV4
55,ETV5
56,FOXJ3
57,FOXK2
58,FOXN2
59,FOXN3
60,FOXO3
61,FOXQ1
62,GABPA
63,GATAD2A
64,GCM1
65,GLI4
66,GLIS2
67,GLIS3
68,GMEB2
69,GRHL1
70,GRHL2
71,GRHL3
72,GTF3A
73,HES5
74,HEYL
75,HIF1A
76,HIVEP1
77,HIVEP2
78,HLF
79,HMG20B
80,HMGXB3
81,HMGXB4
82,HNF4G
83,HOPX
84,HOXA9
85,HOXB2
86,HOXB3
87,HOXB5
88,HOXB6
89,HOXB8
90,HOXC6
91,HOXC9
92,HSF4
93,ID4
94,IKZF2
95,IKZF3
96,IKZF5
97,IRF9
98,IRX2
99,IRX4
100,JDP2
101,KAT6A
102,KAT6B
103,KDM2A
104,KDM5B
105,KDM5C
106,KLF11
107,KLF16
108,KLF4
109,KLF7
110,KLF8
111,KLF9
112,KMT2A
113,KMT2B
114,L3MBTL1
115,LHX4
116,LRRFIP1
117,LYAR
118,MAFG
119,MAFK
120,MAX
121,MECOM
122,MEF2D
123,MEIS2
124,MGA
125,MIER3
126,MLX
127,MTA2
128,MTF1
129,MYCL
130,NCOA1
131,NCOA2
132,NCOA3
133,NFAT5
134,NFATC4
135,NFE2L3
136,NFKBIB
137,NFKBIZ
138,NFXL1
139,NHLH1
140,NR2C1
141,OSR2
142,PBRM1
143,PBX4
144,PHTF1
145,PITX3
146,PLAG1
147,PLAGL1
148,POGZ
149,POU2F3
150,PPARA
151,PPARG
152,PPP1R13L
153,PRDM10
154,PRDM15
155,PRDM16
156,PRDM2
157,PRDM4
158,PRDM6
159,PURA
160,PURB
161,RBAK
162,RC3H2
163,RELB
164,RFX7
165,RREB1
166,RXRA
167,SCX
168,SFPQ
169,SHOX2
170,SIX4
171,SMAD9
172,SMARCA1
173,SMARCA5
174,SMARCC1
175,SOX15
176,SOX4
177,SP1
178,SP100
179,SP110
180,SP140L
181,SP6
182,SREBF2
183,STAT1
184,STAT2
185,TAF1
186,TBPL1
187,TBX1
188,TBX2
189,TBX20
190,TCF12
191,TCF25
192,TEAD1
193,TFAP2A
194,TFAP4
195,TFE3
196,TFEC
197,TGIF1
198,THAP3
199,THAP4
200,THAP5
201,THAP6
202,TONSL
203,TSC22D2
204,TSC22D3
205,TSHZ1
206,TSHZ2
207,UBP1
208,USF1
209,USF2
210,VEZF1
211,WIZ
212,YY2
213,ZBED2
214,ZBED4
215,ZBED5
