,pre-GC_vs_iEVT,pre-eEVT_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
FOXN2,0.47277775406837463,0.02689249999821186,0.004541801288723946,0.07606697827577591,0.006609704345464706,0.07542158663272858,0.3265130817890167
PPARA,0.09674340486526489,-0.11302201449871063,0.09286810457706451,0.1684446930885315,0.0021233230363577604,-0.1652994155883789,-0.20095956325531006
ZNF331,-0.4008190631866455,-0.4026205241680145,-0.25972315669059753,0.29837098717689514,0.1654728353023529,-0.16187480092048645,-0.07559697329998016
ARID3A,0.7449244260787964,0.17109645903110504,0.488612562417984,0.390127032995224,0.03121340647339821,-0.2994925081729889,0.1835193932056427
HIF1A,1.028822660446167,0.030111564323306084,0.3053379952907562,0.10580664128065109,-0.037805866450071335,-0.3710291385650635,-0.2990247309207916
ETV5,-0.09666692465543747,-0.04451639577746391,-0.09245386719703674,-0.2706928849220276,-0.32458099722862244,-0.05466628074645996,0.3798484206199646
CSRNP1,0.26845431327819824,-0.1377442479133606,-0.03918159753084183,0.05363039672374725,-0.1290595680475235,0.18267303705215454,0.47104185819625854
TSC22D2,0.42162594199180603,-0.3768100440502167,-0.12082154303789139,0.13707782328128815,0.06774761527776718,-0.060188017785549164,0.3528865873813629
ATF4,-0.04833442345261574,-0.6659104824066162,-0.17994089424610138,0.21793779730796814,0.00987045094370842,0.009481074288487434,0.10274262726306915
ATF2,0.4879738390445709,-0.1483527272939682,0.05017642676830292,0.21811504662036896,0.05217314511537552,-0.27393773198127747,-0.29359251260757446
TBPL1,-0.15275365114212036,0.13285419344902039,-0.018080782145261765,-0.05055038258433342,-0.11011889576911926,0.11433863639831543,0.8636192083358765
ZNF570,0.5761736035346985,0.30250442028045654,0.12131951749324799,0.027508819475769997,-0.027060965076088905,-0.10206127911806107,-0.13530263304710388
ZBTB38,0.9141196608543396,-0.0005605093319900334,-0.030493924394249916,-0.08564948290586472,-0.2083319127559662,0.16924768686294556,1.274427890777588
HOXB2,-0.1450119912624359,-0.0004761770542245358,-0.03986390307545662,0.08789048343896866,-0.09927288442850113,0.11179904639720917,0.28011834621429443
ZNF350,0.10084022581577301,-0.0651724711060524,-0.032484523952007294,0.13576236367225647,0.0372467041015625,-0.007823745720088482,-0.008908390067517757
