,pre-GC_vs_iEVT,pre-eEVT_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
SOX4,0.9010971784591675,0.6482481956481934,0.2106555700302124,0.2370426207780838,0.17003245651721954,-0.5504727959632874,-0.5941564440727234
KMT2A,0.4413079023361206,-0.19411112368106842,-0.015543683432042599,0.2370818704366684,0.16945062577724457,-0.3692714273929596,-0.43751052021980286
ZNF445,-0.0252602007240057,-0.21038953959941864,-0.1310366690158844,0.019823281094431877,0.16640406847000122,-0.19535647332668304,-0.12712045013904572
FOXN2,0.47277775406837463,0.02689249999821186,0.004541801288723946,0.07606697827577591,0.006609704345464706,0.07542158663272858,0.3265130817890167
HOXB3,0.2804132103919983,-0.10198118537664413,-0.045606210827827454,0.026220668107271194,0.027835208922624588,-0.08485504984855652,-0.07425112277269363
ZBED2,-0.025263169780373573,0.006901215761899948,-0.022028176113963127,-0.021868232637643814,-0.003918221220374107,-0.022104771807789803,-0.013042905367910862
ZNF493,0.29898202419281006,-0.14651383459568024,-0.0673903226852417,-0.01943495310842991,0.1067185327410698,-0.17194296419620514,-0.010924954898655415
ZNF789,-0.07578221708536148,-0.0532090961933136,-0.024686431512236595,-0.045514222234487534,0.052761539816856384,-0.09518987685441971,-0.017138805240392685
ZNF836,-0.09620792418718338,-0.011752225458621979,-0.011455320753157139,0.1631818562746048,0.044181764125823975,-0.08910448849201202,-0.08754564076662064
ZNF699,0.24053475260734558,0.025892700999975204,0.06833299249410629,0.0833442211151123,0.004140422213822603,-0.09881816059350967,-0.10988583415746689
ZNF528,0.07633600383996964,-0.07862398028373718,0.003358336864039302,0.049680814146995544,0.08526481688022614,-0.06814619153738022,-0.0830954983830452
GRHL1,0.5978462100028992,-0.44270649552345276,-0.07172361761331558,0.2987774908542633,0.17907822132110596,-0.2819730043411255,0.28071868419647217
ZNF649,-0.11580586433410645,-0.1270637959241867,-0.025464408099651337,0.12187951058149338,0.06643208116292953,-0.08775948733091354,-0.06056620553135872
SP140L,0.08580400794744492,-0.1350620836019516,-0.07412515580654144,0.018817372620105743,0.012789219617843628,-0.002680966630578041,0.12425286322832108
ZNF692,0.40263745188713074,-0.05727267637848854,-0.05008458346128464,0.0068587083369493484,0.054366882890462875,-0.11944330483675003,-0.026875827461481094
ARID3A,0.7449244260787964,0.17109645903110504,0.488612562417984,0.390127032995224,0.03121340647339821,-0.2994925081729889,0.1835193932056427
ZNF600,0.01142735406756401,-0.15016992390155792,-0.15322376787662506,0.03353429585695267,0.11704685539007187,0.014200658537447453,0.0687650665640831
ZNF808,0.1380121111869812,-0.0669424831867218,-0.05608241632580757,0.125534787774086,0.06796501576900482,-0.10128381848335266,-0.07444634288549423
ZNF334,0.1304328292608261,-0.03194878622889519,-0.01157412864267826,-0.0028312986250966787,0.05675967410206795,-0.07806435227394104,-0.08222730457782745
ZNF76,0.31050193309783936,-0.06245611235499382,-0.08680197596549988,-0.041702769696712494,0.016756169497966766,0.03868900611996651,-0.07283272594213486
BCL3,0.037990864366292953,0.0027517483104020357,0.00526419747620821,0.12653222680091858,0.042458318173885345,-0.059336718171834946,-0.13887004554271698
ZNF655,0.7888166904449463,0.14450675249099731,-0.062679223716259,-0.06842129677534103,0.05999966710805893,-0.010888350196182728,0.249580517411232
JDP2,-0.011644119396805763,-0.02335193008184433,-0.02994525618851185,0.05230938270688057,0.17228974401950836,-0.18826152384281158,-0.2607036828994751
ZSCAN26,0.0781857967376709,-0.014527964405715466,-0.013943396508693695,0.06837964802980423,0.04724400117993355,-0.08087754994630814,-0.12432395666837692
ZNF471,-0.09688958525657654,-0.0647987425327301,-0.013536394573748112,0.009862680919468403,0.0019673581700772047,-0.046831272542476654,-0.07841508090496063
SP110,0.1821744740009308,0.5048280954360962,0.13712479174137115,-0.04871508851647377,-0.0725875198841095,-0.12122412770986557,0.05525670945644379
POU2F3,-0.06893114000558853,-0.128439798951149,-0.12422578781843185,-0.06637626886367798,-0.02434096299111843,0.30386796593666077,0.19438280165195465
ZNF765,-0.14500711858272552,-0.288713663816452,-0.14861389994621277,0.3433670401573181,0.02233036607503891,-0.009182342328131199,0.4000955820083618
ZNF266,0.17527653276920319,-0.09568177163600922,-0.0425029993057251,0.0005261491751298308,0.07791506499052048,-0.08522652834653854,-0.042418308556079865
ZNF584,0.00039343893877230585,-0.06844290345907211,-0.030239494517445564,0.013013031333684921,0.010128794237971306,-0.042474765330553055,0.07068171352148056
ZNF284,-0.06735159456729889,-0.07952358573675156,-0.017671143636107445,-0.003350846003741026,0.011325114406645298,-0.04338277876377106,-0.0584866963326931
ARNTL2,0.04078596830368042,-0.12981072068214417,-0.15012076497077942,-0.12686683237552643,0.08640467375516891,0.12348038703203201,-0.1399502456188202
DMTF1,0.4364774227142334,-0.06436999142169952,-0.035439345985651016,-0.02981662005186081,0.044394705444574356,-0.0987095758318901,-0.15268516540527344
IRX2,-0.47268038988113403,-0.48783907294273376,-0.2647206485271454,0.39039039611816406,0.5847041010856628,-0.6677575707435608,-0.6238670349121094
ZNF169,0.15937843918800354,-0.09350557625293732,-0.018150709569454193,0.029975850135087967,0.06969131529331207,-0.045364860445261,-0.07263132929801941
HIF1A,1.028822660446167,0.030111564323306084,0.3053379952907562,0.10580664128065109,-0.037805866450071335,-0.3710291385650635,-0.2990247309207916
ZNF136,0.07141337543725967,-0.11759050190448761,-0.02948455698788166,0.06364484876394272,0.049383826553821564,-0.0827474370598793,0.009255055338144302
ZNF714,0.0548257939517498,-0.19928763806819916,-0.08759834617376328,0.026082122698426247,0.12637954950332642,-0.2918543219566345,-0.010309568606317043
ZBTB48,0.3121212124824524,-0.04778815060853958,0.017739783972501755,0.02558729611337185,0.022705202922225,-0.0760645642876625,-0.11702913045883179
ZNF662,-0.004308238159865141,-0.1327333003282547,-0.05551043897867203,0.12053322792053223,0.03479056805372238,-0.027788210660219193,0.09584136307239532
