,pre-GC_vs_iEVT,pre-eEVT_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
SP6,-0.3177362084388733,-0.3518359661102295,-0.3456539511680603,-0.3146592378616333,-0.20938701927661896,0.2686031460762024,1.1869508028030396
GRHL1,0.5978462100028992,-0.44270649552345276,-0.07172361761331558,0.2987774908542633,0.17907822132110596,-0.2819730043411255,0.28071868419647217
ARID3A,0.7449244260787964,0.17109645903110504,0.488612562417984,0.390127032995224,0.03121340647339821,-0.2994925081729889,0.1835193932056427
POU2F3,-0.06893114000558853,-0.128439798951149,-0.12422578781843185,-0.06637626886367798,-0.02434096299111843,0.30386796593666077,0.19438280165195465
ZNF584,0.00039343893877230585,-0.06844290345907211,-0.030239494517445564,0.013013031333684921,0.010128794237971306,-0.042474765330553055,0.07068171352148056
FOXN3,-0.29925572872161865,-0.45128992199897766,-0.17135842144489288,0.18164560198783875,0.12111087143421173,-0.14930014312267303,0.18001452088356018
SMARCA5,0.3549084961414337,-0.2979331910610199,-0.18117503821849823,-0.033428166061639786,0.00703745661303401,-0.14059261977672577,0.33684635162353516
CSRNP1,0.26845431327819824,-0.1377442479133606,-0.03918159753084183,0.05363039672374725,-0.1290595680475235,0.18267303705215454,0.47104185819625854
TSC22D2,0.42162594199180603,-0.3768100440502167,-0.12082154303789139,0.13707782328128815,0.06774761527776718,-0.060188017785549164,0.3528865873813629
ZBTB43,0.11460880190134048,-0.14540806412696838,-0.15342770516872406,0.08720309287309647,-0.003194116521626711,0.07517939805984497,0.5821523666381836
KDM2A,0.15233102440834045,-0.381367027759552,-0.23128512501716614,0.03728977218270302,0.007230623625218868,-0.06594132632017136,0.5186337828636169
ATF4,-0.04833442345261574,-0.6659104824066162,-0.17994089424610138,0.21793779730796814,0.00987045094370842,0.009481074288487434,0.10274262726306915
ZNF791,0.21944665908813477,-0.1971363127231598,-0.07153203338384628,0.0864592045545578,0.09210830926895142,-0.18665069341659546,0.29191824793815613
KDM5C,0.4635286033153534,-0.2651329040527344,-0.09876935184001923,0.03150567784905434,0.016284706071019173,-0.024559689685702324,0.20276662707328796
ETS1,0.23186960816383362,0.05647462606430054,0.3249341547489166,-0.04825684800744057,-0.04632585495710373,-0.10560114681720734,-0.07966496795415878
ZNF805,0.0366847924888134,-0.056581396609544754,-0.0014131354400888085,0.041352156549692154,0.013187475502490997,-0.03418492525815964,0.07588564604520798
HES5,0.0012528051156550646,-0.052714813500642776,-0.03202489763498306,-0.00881132297217846,-0.010308856144547462,0.020648427307605743,-0.02079957164824009
ATF6,0.16175216436386108,0.018425611779093742,0.09737330675125122,0.051604013890028,-0.027674714103341103,-0.08901897817850113,0.18946553766727448
EPAS1,1.4452913999557495,0.22896189987659454,0.24953573942184448,0.2113228440284729,-0.1029200628399849,0.2260040044784546,0.5375482439994812
ZNF217,0.5876801609992981,-0.34923532605171204,-0.19760844111442566,0.04146653786301613,0.0361051969230175,0.005134433973580599,0.7161195278167725
CIC,0.2795003652572632,-0.07902564853429794,-0.054406821727752686,-0.010150758549571037,-0.03204740583896637,-0.005512205883860588,0.3005879819393158
ZNF800,0.3357914686203003,0.09064782410860062,0.09323704242706299,0.06081284210085869,0.031237434595823288,-0.1436392217874527,0.050184767693281174
NCOA3,0.0010612342739477754,-0.5227202773094177,-0.342037558555603,-0.27273833751678467,-0.29635024070739746,0.2984166741371155,1.5177668333053589
ZNF83,-0.05677485093474388,-0.2953526973724365,-0.2774086594581604,0.17755216360092163,0.17089883983135223,0.07268735766410828,0.19432181119918823
HOPX,-0.26049259305000305,-0.284760981798172,-0.2685457170009613,-0.2702835500240326,-0.2653238773345947,1.350692868232727,0.785473644733429
ZNF383,-0.0375414602458477,-0.09372053295373917,-0.05145572870969772,0.030607856810092926,0.028194379061460495,-0.04402158409357071,0.09788553416728973
ZNF394,-0.02087300643324852,-0.02461189404129982,-0.06909694522619247,0.01806042529642582,-0.004385204520076513,-0.03609272837638855,0.16966938972473145
ZNF91,0.5706350803375244,-0.22729872167110443,-0.051785342395305634,0.24526020884513855,0.05556286498904228,0.031135542318224907,0.2855478823184967
CEBPA,-0.13194730877876282,-0.5162904262542725,-0.39184263348579407,0.23164695501327515,0.1095895916223526,0.12290830910205841,1.1550318002700806
ZNF654,0.22234947979450226,-0.18320362269878387,-0.06559699028730392,0.14772851765155792,0.03673300892114639,-0.08391344547271729,0.15584681928157806
ZNF175,-0.11147880554199219,-0.23348718881607056,-0.1866617202758789,-0.11561673134565353,0.058828216046094894,0.061596717685461044,0.4495280683040619
GMEB2,0.17942474782466888,-0.06321574002504349,-0.02889827825129032,-0.03008677437901497,-0.03971952944993973,0.08053198456764221,0.28586310148239136
E2F6,-0.16195997595787048,-0.2454855740070343,-0.12814363837242126,-0.004399166442453861,0.052421245723962784,-0.005688954144716263,0.1887395828962326
CEBPB,0.40095970034599304,0.1761338859796524,0.41245734691619873,0.3826224207878113,-0.38482972979545593,0.3581930100917816,0.905613124370575
GRHL3,-0.09961973130702972,0.0,-0.13774274289608002,-0.1224786639213562,-0.035969022661447525,0.05045432969927788,0.4484487473964691
