,pre-GC_vs_iEVT,pre-eEVT_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
SOX4,0.9010971784591675,0.6482481956481934,0.2106555700302124,0.2370426207780838,0.17003245651721954,-0.5504727959632874,-0.5941564440727234
KMT2A,0.4413079023361206,-0.19411112368106842,-0.015543683432042599,0.2370818704366684,0.16945062577724457,-0.3692714273929596,-0.43751052021980286
FOXN2,0.47277775406837463,0.02689249999821186,0.004541801288723946,0.07606697827577591,0.006609704345464706,0.07542158663272858,0.3265130817890167
HOXB3,0.2804132103919983,-0.10198118537664413,-0.045606210827827454,0.026220668107271194,0.027835208922624588,-0.08485504984855652,-0.07425112277269363
ZNF280C,0.3168759047985077,-0.08884424716234207,-0.051206134259700775,-0.019461488351225853,0.0021016423124819994,-0.08137383311986923,-0.048722632229328156
HOXB5,0.04676743969321251,-0.016628913581371307,-0.006932278163731098,-0.009844879619777203,-0.015450211241841316,0.0,-0.016628915444016457
ZNF493,0.29898202419281006,-0.14651383459568024,-0.0673903226852417,-0.01943495310842991,0.1067185327410698,-0.17194296419620514,-0.010924954898655415
ZNF518B,0.17434559762477875,-0.06182432919740677,-0.02128477953374386,0.05748096480965614,0.02227010950446129,-0.12286770343780518,0.014639697037637234
ARX,0.41932976245880127,0.3035786747932434,0.1039794534444809,-0.03178394213318825,-0.015945764258503914,-0.06405146420001984,-0.0763070285320282
GRHL1,0.5978462100028992,-0.44270649552345276,-0.07172361761331558,0.2987774908542633,0.17907822132110596,-0.2819730043411255,0.28071868419647217
TONSL,0.04203677922487259,-0.1399851143360138,-0.12387445569038391,-0.045569416135549545,0.053300585597753525,-0.1559954434633255,0.01871340721845627
ZNF418,0.14377111196517944,-0.062198393046855927,-0.03956924006342888,-0.013836847618222237,0.01082554366439581,-0.05300960689783096,-0.028209224343299866
ZNF692,0.40263745188713074,-0.05727267637848854,-0.05008458346128464,0.0068587083369493484,0.054366882890462875,-0.11944330483675003,-0.026875827461481094
ARID3A,0.7449244260787964,0.17109645903110504,0.488612562417984,0.390127032995224,0.03121340647339821,-0.2994925081729889,0.1835193932056427
ZNF600,0.01142735406756401,-0.15016992390155792,-0.15322376787662506,0.03353429585695267,0.11704685539007187,0.014200658537447453,0.0687650665640831
ZNF845,0.13188935816287994,-0.12679818272590637,-0.06595011800527573,-0.015958992764353752,0.03627319261431694,0.05050702020525932,0.11873940378427505
ZNF76,0.31050193309783936,-0.06245611235499382,-0.08680197596549988,-0.041702769696712494,0.016756169497966766,0.03868900611996651,-0.07283272594213486
ZNF655,0.7888166904449463,0.14450675249099731,-0.062679223716259,-0.06842129677534103,0.05999966710805893,-0.010888350196182728,0.249580517411232
ZNF248,0.2491825968027115,-0.09921392798423767,-0.06310079991817474,-0.008918431587517262,0.06497061252593994,-0.12021000683307648,-0.05533093214035034
ZFP30,0.26337766647338867,-0.01046412717550993,0.014641966670751572,0.020418936386704445,0.03813069686293602,-0.15357057750225067,-0.14075471460819244
ZNF532,0.6196222305297852,0.009159189648926258,-0.03143926337361336,-0.060279250144958496,-0.0284279752522707,0.00836941972374916,0.10411062091588974
PRDM6,0.26402223110198975,-0.04407608509063721,-0.018099553883075714,-0.020573215559124947,-0.02482166513800621,-0.020632121711969376,-0.04407608136534691
ZNF266,0.17527653276920319,-0.09568177163600922,-0.0425029993057251,0.0005261491751298308,0.07791506499052048,-0.08522652834653854,-0.042418308556079865
DMTF1,0.4364774227142334,-0.06436999142169952,-0.035439345985651016,-0.02981662005186081,0.044394705444574356,-0.0987095758318901,-0.15268516540527344
PBRM1,0.7454095482826233,-0.1435457170009613,-0.02368777059018612,-0.03729676455259323,-0.03474171832203865,-0.1775367110967636,0.3017485737800598
ZNF211,0.15724198520183563,0.04679528623819351,-0.025074394419789314,-0.04686018079519272,-0.049445878714323044,-0.005033068358898163,0.16996866464614868
ZNF169,0.15937843918800354,-0.09350557625293732,-0.018150709569454193,0.029975850135087967,0.06969131529331207,-0.045364860445261,-0.07263132929801941
ZNF721,0.0013634328497573733,-0.2948418855667114,-0.14612627029418945,-0.015998488292098045,0.10830339789390564,-0.16000841557979584,-0.0642370656132698
ZNF714,0.0548257939517498,-0.19928763806819916,-0.08759834617376328,0.026082122698426247,0.12637954950332642,-0.2918543219566345,-0.010309568606317043
ZBTB48,0.3121212124824524,-0.04778815060853958,0.017739783972501755,0.02558729611337185,0.022705202922225,-0.0760645642876625,-0.11702913045883179
PRDM15,0.17605940997600555,-0.0368533618748188,-0.04653210937976837,-0.02885378710925579,-0.00407654931768775,-0.018658185377717018,-0.07202647626399994
ZNF8,0.152166485786438,-0.08596573024988174,-0.051329582929611206,-0.012172204442322254,0.01761445216834545,-0.07774122804403305,0.07054932415485382
SMARCC1,0.6518628001213074,-0.0013847893569618464,0.052466828376054764,-0.015375565737485886,0.11583124101161957,-0.39835357666015625,-0.1456700712442398
SFPQ,0.16908858716487885,-0.3072039783000946,-0.12884891033172607,-0.17686983942985535,0.0667479857802391,-0.4570481777191162,0.5558792352676392
ZNF44,0.03639323264360428,-0.08898285776376724,-0.13785535097122192,-0.06183786690235138,-0.03322260454297066,0.017593946307897568,0.019697053357958794
ZBTB26,0.11072832345962524,-0.10600496828556061,-0.05474574863910675,0.0035068034194409847,0.03589816391468048,-0.04040024057030678,-0.005573024973273277
UBP1,0.3758697807788849,-0.10619152337312698,-0.0055490536615252495,-0.06455736607313156,0.005905957892537117,-0.1429637372493744,-0.01399383693933487
PRDM2,0.5527980327606201,-0.08502316474914551,-0.027967754751443863,0.023542404174804688,0.017708588391542435,-0.20851358771324158,-0.1241932362318039
ZNF107,0.3739694058895111,-0.060391489416360855,-0.05570494383573532,-0.01396508514881134,0.054732587188482285,-0.1822662055492401,0.03715188428759575
RC3H2,0.7578608989715576,-0.18167854845523834,-0.05290977656841278,0.028493719175457954,0.01144275814294815,-0.10536379367113113,0.09538073092699051
