,EVT_late_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
GTF3A,0.26856929063796997,0.1779334396123886,0.01873689517378807,0.031826846301555634,-0.36997807025909424,-0.42874276638031006
ATF5,-0.03604607284069061,-0.18995381891727448,-0.07892827689647675,-0.03613615036010742,-0.18747054040431976,0.09374779462814331
LYAR,0.2487538903951645,-0.04820626601576805,-0.11659004539251328,-0.08644142001867294,-0.21591942012310028,-0.06656212359666824
MLX,0.36740463972091675,0.08872910588979721,-0.04639502614736557,-0.14445623755455017,0.0003928480437025428,0.096748486161232
ZNF195,0.24737972021102905,-0.013403737917542458,-0.027561938390135765,0.08554179221391678,-0.18488408625125885,-0.15676838159561157
TBPL1,0.13285419344902039,-0.021428536623716354,-0.05055038258433342,-0.11011889576911926,0.11433863639831543,0.8636192083358765
CREM,-0.03902825340628624,-0.18691185116767883,-0.2176084965467453,-0.2542519271373749,0.46885597705841064,0.7513188123703003
DNAJC1,0.7009628415107727,0.364260196685791,0.13222447037696838,-0.32790762186050415,0.28203850984573364,-0.10094118863344193
BATF2,0.27051839232444763,0.06414558738470078,-0.03271393105387688,-0.037896424531936646,-0.06643528491258621,-0.06101607158780098
STAT1,0.5333255529403687,0.21926894783973694,-0.1461315006017685,-0.13708315789699554,0.031902603805065155,-0.2579144537448883
NFKBIB,0.09448215365409851,-0.07179667055606842,-0.10887334495782852,-0.1668194830417633,0.22947311401367188,0.4502283036708832
THAP3,0.21865662932395935,-0.05130954459309578,-0.006782847456634045,-0.015787135809659958,-0.026435531675815582,0.0022256847005337477
SP110,0.5048280954360962,0.1382446438074112,-0.04871508851647377,-0.0725875198841095,-0.12122412770986557,0.05525670945644379
ZNF32,0.3316917419433594,0.08948522806167603,-0.06960636377334595,-0.022736288607120514,-0.19161705672740936,-0.22693169116973877
