,EVT_late_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
ELF4,-0.05820793658494949,0.10955839604139328,0.17380397021770477,0.030095448717474937,-0.24592602252960205,-0.12982363998889923
ZNF621,-0.11496701836585999,-0.051422253251075745,0.03830363601446152,0.07005136460065842,-0.10707870125770569,-0.09358479827642441
L3MBTL1,0.04852282628417015,0.15259402990341187,0.09656409919261932,-0.012063231319189072,-0.1263008713722229,-0.13318708539009094
IRF9,-0.199073925614357,0.0031848233193159103,0.08276320993900299,0.06905970722436905,-0.19880244135856628,-0.078350730240345
USF2,0.14766360819339752,-0.027872536331415176,-0.027453340590000153,0.017821891233325005,0.1012219563126564,-0.17943061888217926
HSF4,-0.04225664958357811,-0.01579175516963005,0.01451638713479042,0.012196077033877373,-0.03140459954738617,-0.042065855115652084
TSHZ1,-0.09833110868930817,-0.04009752720594406,-0.016760433092713356,0.042277514934539795,-0.09310923516750336,-0.098975770175457
ATF6,0.018425611779093742,0.09897366911172867,0.051604013890028,-0.027674714103341103,-0.08901897817850113,0.18946553766727448
IRX2,-0.48783907294273376,-0.2698901891708374,0.39039039611816406,0.5847041010856628,-0.6677575707435608,-0.6238670349121094
DMTF1,-0.06436999142169952,-0.023708252236247063,-0.02981662005186081,0.044394705444574356,-0.0987095758318901,-0.15268516540527344
GLIS3,-0.2419937551021576,-0.12681184709072113,0.23446497321128845,0.22763480246067047,-0.08762344717979431,-0.13952793180942535
ZNF471,-0.0647987425327301,-0.015608423389494419,0.009862680919468403,0.0019673581700772047,-0.046831272542476654,-0.07841508090496063
KLF4,-0.6310141086578369,-0.448372483253479,0.05613662675023079,0.015734506770968437,0.27332037687301636,0.5282260775566101
ZNF785,-0.08073894679546356,-0.029928267002105713,0.028063954785466194,0.030604425817728043,-0.05518987402319908,-0.05112547054886818
ZNF182,-0.034471429884433746,-0.029673906043171883,0.03678534924983978,0.04970308393239975,-0.05863272026181221,-0.13659347593784332
ZBTB37,-0.1822352260351181,-0.01442012656480074,0.010381045751273632,0.035538967698812485,-0.07184053212404251,0.021393615752458572
ZNF444,-0.16783525049686432,-0.16311651468276978,0.06467227637767792,0.15776091814041138,-0.12283949553966522,-0.21455930173397064
SP1,-0.37031155824661255,-0.15988698601722717,0.030867595225572586,0.06245061382651329,-0.03190033882856369,0.10184753686189651
GATAD2A,0.0978914275765419,0.11005090922117233,-0.04608433321118355,-0.07392152398824692,0.04545466601848602,0.3590986430644989
ZNF284,-0.07952358573675156,-0.018906118348240852,-0.003350846003741026,0.011325114406645298,-0.04338277876377106,-0.0584866963326931
ZNF653,-0.04381689056754112,-0.036057278513908386,0.05110499635338783,0.019138967618346214,-0.047160860151052475,-0.040049958974123
SOX15,-0.24767927825450897,-0.23955188691616058,0.015351112000644207,0.29107239842414856,-0.13085205852985382,-0.22619302570819855
ZNF555,0.0488194078207016,0.02657865174114704,0.05585506185889244,0.0257594995200634,-0.075064517557621,-0.09975190460681915
IKZF5,-0.1438569575548172,-0.08416202664375305,0.06521669775247574,0.03456445783376694,0.01711054891347885,0.17442546784877777
ARID4A,-0.09454008936882019,0.04082927480340004,0.18165232241153717,0.10339312255382538,-0.18107037246227264,-0.18011343479156494
FOXJ3,-0.24876126646995544,0.09458113461732864,0.2945975959300995,0.034419529139995575,-0.10531353205442429,0.14167223870754242
BCL3,0.0027517483104020357,0.006077728699892759,0.12653222680091858,0.042458318173885345,-0.059336718171834946,-0.13887004554271698
ZNF558,-0.10463175922632217,-0.025231560692191124,0.05855316296219826,0.0732342004776001,-0.09937161952257156,-0.11748028546571732
HOXB3,-0.10198118537664413,-0.03750189393758774,0.026220668107271194,0.027835208922624588,-0.08485504984855652,-0.07425112277269363
ZNF836,-0.011752225458621979,-0.013562137261033058,0.1631818562746048,0.044181764125823975,-0.08910448849201202,-0.08754564076662064
ARID3B,-0.21048828959465027,-0.04671310633420944,0.04076514020562172,0.0023207953199744225,-0.07501242309808731,0.29607245326042175
ZNF333,-0.08082609623670578,-0.004491910338401794,0.014382059685885906,0.05364566296339035,-0.010053819045424461,-0.0881553366780281
EPAS1,0.22896189987659454,0.2792603075504303,0.2113228440284729,-0.1029200628399849,0.2260040044784546,0.5375482439994812
ZFP62,-0.12025560438632965,-0.06968233734369278,0.001732195494696498,0.05371206998825073,0.00981725100427866,-0.08157344907522202
ZNF692,-0.05727267637848854,-0.03883064538240433,0.0068587083369493484,0.054366882890462875,-0.11944330483675003,-0.026875827461481094
ZNF649,-0.1270637959241867,-0.02771015278995037,0.12187951058149338,0.06643208116292953,-0.08775948733091354,-0.06056620553135872
TSC22D2,-0.3768100440502167,-0.10733716934919357,0.13707782328128815,0.06774761527776718,-0.060188017785549164,0.3528865873813629
ASCL1,-0.05331314727663994,-0.009240563027560711,-0.011677137576043606,0.0010213024215772748,-0.03225165978074074,-0.07428981363773346
ARNTL2,-0.12981072068214417,-0.1453751176595688,-0.12686683237552643,0.08640467375516891,0.12348038703203201,-0.1399502456188202
TFE3,-0.23105888068675995,-0.19152632355690002,-0.01807362027466297,0.03902256861329079,-0.0062300111167132854,0.2732950448989868
ARID4B,0.0012330771423876286,0.007201404310762882,0.156982421875,0.13033312559127808,-0.31780922412872314,0.31259483098983765
ZNF616,-0.029263710603117943,-0.011126513592898846,0.11349254846572876,0.041364479809999466,-0.06891992688179016,-0.10991253703832626
ZNF550,-0.11716014891862869,-0.043258313089609146,0.11390742659568787,0.027811096981167793,-0.06495905667543411,-0.06042594835162163
ZNF791,-0.1971363127231598,-0.06429877132177353,0.0864592045545578,0.09210830926895142,-0.18665069341659546,0.29191824793815613
ZNF264,-0.13302381336688995,0.0010883770883083344,0.1436084359884262,0.06523434072732925,-0.14148230850696564,-0.1437315046787262
ZNF133,-0.11251553893089294,-0.0683152824640274,0.04046894609928131,0.06943736225366592,-0.041380446404218674,-0.11459983140230179
POU2F3,-0.128439798951149,-0.12285126000642776,-0.06637626886367798,-0.02434096299111843,0.30386796593666077,0.19438280165195465
HIF1A,0.030111564323306084,0.3233226537704468,0.10580664128065109,-0.037805866450071335,-0.3710291385650635,-0.2990247309207916
SP110,0.5048280954360962,0.1382446438074112,-0.04871508851647377,-0.0725875198841095,-0.12122412770986557,0.05525670945644379
PURB,-0.24378451704978943,-0.08373107016086578,0.04555545747280121,0.01711934432387352,-0.02554132044315338,-0.023768432438373566
CNOT4,-0.007178925909101963,-0.07783326506614685,0.1344369500875473,0.019155746325850487,-0.04218851402401924,0.13780716061592102
ZNF175,-0.23348718881607056,-0.18479278683662415,-0.11561673134565353,0.058828216046094894,0.061596717685461044,0.4495280683040619
MEIS2,0.13220320641994476,0.208626389503479,0.18032577633857727,-0.06001126766204834,-0.25637444853782654,-0.2901918590068817
MIER3,-0.21001310646533966,-0.08460070192813873,0.03954440355300903,0.06214897334575653,-0.03481786698102951,0.1808791160583496
ATF2,-0.1483527272939682,0.061059363186359406,0.21811504662036896,0.05217314511537552,-0.27393773198127747,-0.29359251260757446
ZNF841,0.01910381019115448,0.10612472146749496,0.18094441294670105,-0.03405053913593292,0.003714408492669463,-0.07888779044151306
ZNF507,-0.2539013624191284,-0.13360996544361115,0.041980303823947906,0.059035904705524445,-0.05588970705866814,-0.050911795347929
ZNF141,-0.11265050619840622,-0.06521394103765488,0.08421135693788528,0.08861707895994186,-0.1215256080031395,-0.02349042519927025
ZNF736,-0.16749463975429535,-0.05185997486114502,0.06871168315410614,0.06524456292390823,-0.14809156954288483,0.020005906000733376
ATF4,-0.6659104824066162,-0.17666935920715332,0.21793779730796814,0.00987045094370842,0.009481074288487434,0.10274262726306915
ZNF780B,-0.11955104023218155,-0.012539437972009182,-0.006558848079293966,0.04277616739273071,-0.09717974811792374,-0.054958947002887726
ZNF345,-0.028212813660502434,-0.038895219564437866,0.01355357002466917,0.054515112191438675,-0.06933226436376572,-0.04431283101439476
ZNF90,-0.24427637457847595,-0.14959563314914703,0.05748634412884712,0.13816536962985992,-0.1904933601617813,-0.07812697440385818
NFATC4,-0.04743527993559837,-0.030668014660477638,-0.025319349020719528,0.008968643844127655,-0.03275148198008537,-0.047435276210308075
ZNF514,-0.12848016619682312,-0.050842273980379105,0.04389340803027153,0.09528159350156784,-0.10422780364751816,-0.09618446230888367
FOXO3,-0.3615753650665283,-0.09662453830242157,0.32538512349128723,0.1596706062555313,-0.14044472575187683,-0.1174885481595993
PLAGL1,-0.12190201878547668,0.10981545597314835,0.2233455628156662,0.022951897233724594,-0.20672722160816193,-0.27048832178115845
ARNT,-0.11141126602888107,0.10985327512025833,0.06850350648164749,-0.057770032435655594,-0.11338444799184799,-0.09981667995452881
ZNF100,-0.08734984695911407,-0.02552799880504608,0.10968589782714844,0.04074573889374733,-0.1581789255142212,0.009670600295066833
ZNF708,-0.027110373601317406,0.0006649012793786824,0.002514118095859885,0.07760999351739883,-0.15929469466209412,-0.02103715017437935
ZNF493,-0.14651383459568024,-0.05828290432691574,-0.01943495310842991,0.1067185327410698,-0.17194296419620514,-0.010924954898655415
ZNF701,-0.17379622161388397,-0.12162402272224426,0.029514648020267487,0.005594306625425816,0.08069600909948349,0.16741468012332916
ZNF276,-0.09706920385360718,-0.025053050369024277,-0.006907718721777201,0.03221522644162178,-0.046727392822504044,-0.0657682940363884
FOXN2,0.02689249999821186,0.016181396320462227,0.07606697827577591,0.006609704345464706,0.07542158663272858,0.3265130817890167
ZNF302,-0.18205353617668152,-0.06330220401287079,0.05915842205286026,0.09430602192878723,-0.13434068858623505,-0.1800152212381363
KAT6B,-0.24450534582138062,-0.02070845663547516,0.21166309714317322,0.07688339799642563,-0.19852769374847412,-0.0393449030816555
RELB,0.027203578501939774,-0.05543965473771095,0.044673673808574677,-0.007218861486762762,0.006025045644491911,-0.004839095752686262
ZNF587,-0.09896388649940491,-0.031178541481494904,0.022603260353207588,0.045672498643398285,-0.0927799791097641,-0.002611763309687376
STAT2,0.286400705575943,0.23381558060646057,0.049411591142416,-0.05242873355746269,-0.1771724373102188,-0.06949014216661453
ZNF518A,0.07933241128921509,0.06259942799806595,0.025389986112713814,0.047983985394239426,-0.2118832767009735,-0.016402466222643852
GLIS2,-0.210043266415596,-0.18523137271404266,-0.08918104320764542,0.04257174953818321,0.15865810215473175,-0.0339939221739769
ZNF699,0.025892700999975204,0.07261364907026291,0.0833442211151123,0.004140422213822603,-0.09881816059350967,-0.10988583415746689
ZNF611,-0.16582714021205902,-0.13251343369483948,0.06899848580360413,0.08895028382539749,0.02760002389550209,0.1852734535932541
RC3H2,-0.18167854845523834,-0.03275531157851219,0.028493719175457954,0.01144275814294815,-0.10536379367113113,0.09538073092699051
ZNF525,-0.28496626019477844,-0.1692817211151123,0.11249929666519165,0.04522554948925972,0.03165614977478981,0.2999323308467865
STAT1,0.5333255529403687,0.21926894783973694,-0.1461315006017685,-0.13708315789699554,0.031902603805065155,-0.2579144537448883
IKZF2,-0.3204406499862671,-0.23797862231731415,0.08773426711559296,0.17345857620239258,-0.12947821617126465,0.04351372644305229
ZNF506,-0.10210820287466049,-0.0334608256816864,0.08295337855815887,0.09921828657388687,-0.09974146634340286,-0.0719534233212471
ZNF577,-0.1567688286304474,-0.059513453394174576,0.05425342917442322,0.07441768050193787,-0.011740574613213539,-0.1353732794523239
ZNF334,-0.03194878622889519,-0.008044065907597542,-0.0028312986250966787,0.05675967410206795,-0.07806435227394104,-0.08222730457782745
ZNF776,-0.1250847429037094,-0.037799715995788574,0.004189170431345701,0.02596239373087883,-0.05555032566189766,0.0425228476524353
NCOA1,0.2481350302696228,0.20993167161941528,0.13853193819522858,0.02222355827689171,-0.3943808972835541,-0.41186049580574036
TCF12,-0.16735756397247314,-0.044530048966407776,0.04902651533484459,-0.012447798624634743,-0.15104074776172638,0.34510305523872375
ELF2,-0.24337708950042725,0.01028584036976099,0.17213395237922668,0.09651973843574524,-0.2115728259086609,-0.3467526137828827
ZKSCAN8,-0.13363146781921387,-0.03832888603210449,0.0338728204369545,0.04534589871764183,-0.12278491258621216,-0.07183155417442322
RBAK,-0.09319684654474258,-0.030123133212327957,0.06346283107995987,0.09233487397432327,-0.14250265061855316,-0.05578223988413811
KLF11,-0.21852998435497284,-0.008547297678887844,0.09115651249885559,0.12048173695802689,-0.11731477826833725,-0.0003649112186394632
HIVEP2,-0.24681316316127777,-0.18567904829978943,0.1614585816860199,0.23302799463272095,-0.12426742166280746,-0.13829536736011505
GRHL1,-0.44270649552345276,-0.05507916957139969,0.2987774908542633,0.17907822132110596,-0.2819730043411255,0.28071868419647217
ZNF519,-0.13404393196105957,-0.058332592248916626,0.0739412009716034,0.1270281821489334,-0.1501661092042923,-0.15542258322238922
ZNF273,-0.00247057992964983,0.014020565897226334,0.023437825962901115,0.05651140585541725,-0.16824126243591309,-0.16688600182533264
SCX,0.26322323083877563,-0.027464114129543304,0.010960155166685581,0.01327926479279995,0.014862923882901669,0.04328975826501846
POGZ,-0.2733360528945923,-0.04452836513519287,0.09020547568798065,0.14994101226329803,-0.20145605504512787,-0.2114720195531845
ELF3,-0.9337814450263977,-0.5746892690658569,0.28008612990379333,0.34892043471336365,-0.051840439438819885,0.08806164562702179
ZNF117,-0.17160551249980927,-0.11007620394229889,-0.07954312860965729,-0.10736476629972458,0.5028178691864014,0.21948519349098206
PLAG1,-0.20099782943725586,-0.09678058326244354,0.08472549170255661,0.10844403505325317,-0.09398481249809265,-0.02973702736198902
ZNF160,-0.21948808431625366,-0.08219005912542343,0.17198680341243744,0.10314429551362991,-0.08106372505426407,0.08103689551353455
ZNF316,-0.16187600791454315,-0.05795904994010925,0.02169172279536724,0.0683315098285675,-0.08366187661886215,-0.04764443263411522
HNF4G,-0.0011259941384196281,-0.008422759361565113,-0.018827583640813828,-0.015745434910058975,-0.02330137975513935,-0.03224203735589981
ASCL2,0.49724993109703064,1.0077866315841675,0.6935636401176453,0.10515228658914566,-0.770196259021759,-0.9310566782951355
KMT2A,-0.19411112368106842,-0.004187073092907667,0.2370818704366684,0.16945062577724457,-0.3692714273929596,-0.43751052021980286
ZNF93,-0.1205652728676796,-0.06982541084289551,0.13154369592666626,0.08992434293031693,-0.15565253794193268,-0.0598004050552845
PPP1R13L,-0.27175894379615784,-0.13953746855258942,0.09539607912302017,0.03255602717399597,-0.04281831905245781,0.20327045023441315
PRDM16,-0.09896551072597504,0.03393162041902542,0.09035367518663406,-0.008689853362739086,-0.03845770284533501,-0.08153262734413147
ZNF789,-0.0532090961933136,-0.025956597179174423,-0.045514222234487534,0.052761539816856384,-0.09518987685441971,-0.017138805240392685
ZNF680,-0.09089435636997223,-0.08619264513254166,0.07230325043201447,0.11934248358011246,-0.1739639937877655,-0.12771716713905334
ZNF662,-0.1327333003282547,-0.05423763766884804,0.12053322792053223,0.03479056805372238,-0.027788210660219193,0.09584136307239532
ETS1,0.05647462606430054,0.322620689868927,-0.04825684800744057,-0.04632585495710373,-0.10560114681720734,-0.07966496795415878
ZNF654,-0.18320362269878387,-0.05843910202383995,0.14772851765155792,0.03673300892114639,-0.08391344547271729,0.15584681928157806
ZNF445,-0.21038953959941864,-0.12840723991394043,0.019823281094431877,0.16640406847000122,-0.19535647332668304,-0.12712045013904572
KLF8,-0.06665739417076111,0.021559610962867737,0.09952065348625183,0.20730192959308624,-0.18767648935317993,-0.29047393798828125
ZNF236,-0.13891226053237915,-0.03403077274560928,-0.02789139747619629,0.0559716671705246,-0.10192278772592545,-0.05198490992188454
ZNF655,0.14450675249099731,-0.04151239991188049,-0.06842129677534103,0.05999966710805893,-0.010888350196182728,0.249580517411232
ZNF169,-0.09350557625293732,-0.013737614266574383,0.029975850135087967,0.06969131529331207,-0.045364860445261,-0.07263132929801941
ZNF808,-0.0669424831867218,-0.05125753581523895,0.125534787774086,0.06796501576900482,-0.10128381848335266,-0.07444634288549423
CREBZF,-0.3632371425628662,-0.12083750218153,0.12357694655656815,0.2204885333776474,-0.23790200054645538,-0.1583442986011505
