,EVT_late_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
ZNF800,0.09064782410860062,0.09926655888557434,0.06081284210085869,0.031237434595823288,-0.1436392217874527,0.050184767693281174
ATF6,0.018425611779093742,0.09897366911172867,0.051604013890028,-0.027674714103341103,-0.08901897817850113,0.18946553766727448
EPAS1,0.22896189987659454,0.2792603075504303,0.2113228440284729,-0.1029200628399849,0.2260040044784546,0.5375482439994812
TSC22D2,-0.3768100440502167,-0.10733716934919357,0.13707782328128815,0.06774761527776718,-0.060188017785549164,0.3528865873813629
GRHL3,-0.13774274289608002,-0.1367950737476349,-0.1224786639213562,-0.035969022661447525,0.05045432969927788,0.4484487473964691
KDM2A,-0.381367027759552,-0.22174905240535736,0.03728977218270302,0.007230623625218868,-0.06594132632017136,0.5186337828636169
HES5,-0.052714813500642776,-0.031197668984532356,-0.00881132297217846,-0.010308856144547462,0.020648427307605743,-0.02079957164824009
ZNF791,-0.1971363127231598,-0.06429877132177353,0.0864592045545578,0.09210830926895142,-0.18665069341659546,0.29191824793815613
ZNF217,-0.34923532605171204,-0.17808739840984344,0.04146653786301613,0.0361051969230175,0.005134433973580599,0.7161195278167725
POU2F3,-0.128439798951149,-0.12285126000642776,-0.06637626886367798,-0.02434096299111843,0.30386796593666077,0.19438280165195465
KDM5C,-0.2651329040527344,-0.08479152619838715,0.03150567784905434,0.016284706071019173,-0.024559689685702324,0.20276662707328796
ZNF175,-0.23348718881607056,-0.18479278683662415,-0.11561673134565353,0.058828216046094894,0.061596717685461044,0.4495280683040619
SMARCA5,-0.2979331910610199,-0.1678488701581955,-0.033428166061639786,0.00703745661303401,-0.14059261977672577,0.33684635162353516
ATF4,-0.6659104824066162,-0.17666935920715332,0.21793779730796814,0.00987045094370842,0.009481074288487434,0.10274262726306915
ZNF91,-0.22729872167110443,-0.03631296753883362,0.24526020884513855,0.05556286498904228,0.031135542318224907,0.2855478823184967
E2F6,-0.2454855740070343,-0.1289842575788498,-0.004399166442453861,0.052421245723962784,-0.005688954144716263,0.1887395828962326
CIC,-0.07902564853429794,-0.04610642045736313,-0.010150758549571037,-0.03204740583896637,-0.005512205883860588,0.3005879819393158
GRHL1,-0.44270649552345276,-0.05507916957139969,0.2987774908542633,0.17907822132110596,-0.2819730043411255,0.28071868419647217
ZNF383,-0.09372053295373917,-0.051109835505485535,0.030607856810092926,0.028194379061460495,-0.04402158409357071,0.09788553416728973
NCOA3,-0.5227202773094177,-0.3335086405277252,-0.27273833751678467,-0.29635024070739746,0.2984166741371155,1.5177668333053589
ETS1,0.05647462606430054,0.322620689868927,-0.04825684800744057,-0.04632585495710373,-0.10560114681720734,-0.07966496795415878
ZNF654,-0.18320362269878387,-0.05843910202383995,0.14772851765155792,0.03673300892114639,-0.08391344547271729,0.15584681928157806
CEBPA,-0.5162904262542725,-0.3853820562362671,0.23164695501327515,0.1095895916223526,0.12290830910205841,1.1550318002700806
CSRNP1,-0.1377442479133606,-0.031534262001514435,0.05363039672374725,-0.1290595680475235,0.18267303705215454,0.47104185819625854
HOPX,-0.284760981798172,-0.26834553480148315,-0.2702835500240326,-0.2653238773345947,1.350692868232727,0.785473644733429
SP6,-0.3518359661102295,-0.34495994448661804,-0.3146592378616333,-0.20938701927661896,0.2686031460762024,1.1869508028030396
GMEB2,-0.06321574002504349,-0.023719701915979385,-0.03008677437901497,-0.03971952944993973,0.08053198456764221,0.28586310148239136
ARID3A,0.17109645903110504,0.49498406052589417,0.390127032995224,0.03121340647339821,-0.2994925081729889,0.1835193932056427
ZNF584,-0.06844290345907211,-0.029478009790182114,0.013013031333684921,0.010128794237971306,-0.042474765330553055,0.07068171352148056
ZBTB43,-0.14540806412696838,-0.14676475524902344,0.08720309287309647,-0.003194116521626711,0.07517939805984497,0.5821523666381836
ZNF394,-0.02461189404129982,-0.06789817661046982,0.01806042529642582,-0.004385204520076513,-0.03609272837638855,0.16966938972473145
CEBPB,0.1761338859796524,0.4121715724468231,0.3826224207878113,-0.38482972979545593,0.3581930100917816,0.905613124370575
FOXN3,-0.45128992199897766,-0.1745377480983734,0.18164560198783875,0.12111087143421173,-0.14930014312267303,0.18001452088356018
ZNF805,-0.056581396609544754,-0.00046608265256509185,0.041352156549692154,0.013187475502490997,-0.03418492525815964,0.07588564604520798
ZNF83,-0.2953526973724365,-0.27192407846450806,0.17755216360092163,0.17089883983135223,0.07268735766410828,0.19432181119918823
