,EVT_late_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
ZNF668,0.4430493712425232,0.20784211158752441,-0.0646946132183075,-0.0701935738325119,-0.10804114490747452,-0.0007314811227843165
PHTF1,0.08579881489276886,-0.05505652353167534,-0.12114778161048889,-0.08019252121448517,-0.1252465844154358,0.10241595655679703
GTF3A,0.26856929063796997,0.1779334396123886,0.01873689517378807,0.031826846301555634,-0.36997807025909424,-0.42874276638031006
ZBTB47,0.16099779307842255,0.028821464627981186,-0.039817146956920624,-0.020218079909682274,-0.030787033960223198,-0.03367677703499794
LYAR,0.2487538903951645,-0.04820626601576805,-0.11659004539251328,-0.08644142001867294,-0.21591942012310028,-0.06656212359666824
MLX,0.36740463972091675,0.08872910588979721,-0.04639502614736557,-0.14445623755455017,0.0003928480437025428,0.096748486161232
SMAD9,0.16059498488903046,0.05468956008553505,-0.021865712478756905,-0.04830044507980347,-0.017431527376174927,-0.028487320989370346
ETV5,-0.04451639577746391,-0.0925586074590683,-0.2706928849220276,-0.32458099722862244,-0.05466628074645996,0.3798484206199646
THAP4,-0.042670585215091705,-0.06112005561590195,-0.09509653598070145,-0.039143409579992294,-0.004369479604065418,0.06842948496341705
HOXC6,0.05250503867864609,0.09328033030033112,-0.00941522791981697,-0.01707034930586815,-0.06361902505159378,-0.07278763502836227
ZNF513,-0.053384795784950256,-0.011453450657427311,-0.07189221680164337,-0.049065157771110535,0.06530780345201492,0.280571311712265
ARNT2,-0.09288852661848068,0.1634826511144638,0.013604124076664448,-0.0956006571650505,0.1154819205403328,-0.09770144522190094
HOXB6,0.2858754098415375,0.08702472597360611,-0.020084775984287262,-0.048158060759305954,-0.060934051871299744,-0.06333310157060623
ZSCAN5A,-0.009312931448221207,0.02491670288145542,-0.03386516124010086,-0.0035349279642105103,-0.06708936393260956,0.042123857885599136
DNAJC1,0.7009628415107727,0.364260196685791,0.13222447037696838,-0.32790762186050415,0.28203850984573364,-0.10094118863344193
STAT2,0.286400705575943,0.23381558060646057,0.049411591142416,-0.05242873355746269,-0.1771724373102188,-0.06949014216661453
BATF2,0.27051839232444763,0.06414558738470078,-0.03271393105387688,-0.037896424531936646,-0.06643528491258621,-0.06101607158780098
KLF16,0.034125227481126785,0.04501064866781235,-0.028313905000686646,0.008863932453095913,-0.07186273485422134,-0.02086050622165203
ZBTB1,0.0008395006880164146,0.097065769135952,0.051341015845537186,-0.013478263281285763,-0.07956098765134811,-0.09186122566461563
TCF25,-0.0018600178882479668,-0.004121333826333284,-0.0653468444943428,-0.13680553436279297,0.16645145416259766,0.5765751004219055
ZNF32,0.3316917419433594,0.08948522806167603,-0.06960636377334595,-0.022736288607120514,-0.19161705672740936,-0.22693169116973877
TBX2,0.034997064620256424,-0.1174074187874794,-0.15596693754196167,-0.11158142238855362,-0.0808296948671341,0.06653077155351639
SREBF2,-0.3714176416397095,0.09306595474481583,-0.005127666052430868,0.002737009432166815,-0.04875297471880913,0.23489804565906525
NR2C1,0.1988762617111206,0.06417809426784515,-0.05016036704182625,-0.0156303308904171,-0.11961778998374939,-0.10532736033201218
ETV4,0.09536536782979965,0.19878165423870087,-0.17016921937465668,-0.2838039994239807,0.4891846179962158,0.1253933608531952
