,0
0,HIF1A
1,FOXQ1
2,ZNF780B
3,ZFP62
4,USF2
5,ZNF708
6,ELF4
7,ZNF136
8,RBAK
9,PPP1R13L
10,ZNF611
11,LHX4
12,ZNF528
13,FOXO3
14,IKZF5
15,USF1
16,ZNF585B
17,ZNF302
18,ZNF616
19,ZNF90
20,RELB
21,ZNF776
22,ZBTB44
23,ARNTL2
24,GRHL1
25,ZNF266
26,MIER3
27,ZNF276
28,THAP6
29,ZNF714
30,HOXB3
31,ZNF594
32,IRF9
33,PLAGL1
34,ZNF514
35,ZNF445
36,POU2F3
37,BCL3
38,ZNF649
39,ZBTB47
40,ELMSAN1
41,MAFK
42,ZNF444
43,ZNF430
44,HIVEP2
45,KLF7
46,ZNF467
47,ZNF471
48,PBX4
49,VEZF1
50,ZNF692
51,TFAP2A
52,ZNF662
53,ZNF550
54,ZNF292
55,ZNF654
56,ZNF169
57,ZNF624
58,SCX
59,ZNF518A
60,ZNF701
61,NCOA1
62,IKZF3
63,BATF3
64,ZNF623
65,ZNF699
66,ZNF841
67,ZNF175
68,TFE3
69,ZNF765
70,ZKSCAN8
71,KDM5B
72,FOXN2
73,DLX3
74,ZNF506
75,ZBED2
76,IRX4
77,ZBTB48
78,ASCL2
79,KLF11
80,ZNF577
81,FOXJ3
82,MGA
83,ZNF653
84,RC3H2
85,ZNF417
86,ZNF83
87,ZNF584
88,TSHZ1
89,ELF1
90,ZNF571
91,ZNF133
92,ZNF214
93,PLAG1
94,SOX15
95,ARID4A
96,GLIS2
97,IKZF2
98,ZNF736
99,ZNF236
100,ZNF587
101,JDP2
102,ZNF182
103,ZSCAN12
104,ZNF789
105,ZNF93
106,ZNF227
107,GLIS3
108,GATAD2A
109,ZNF555
110,CNOT4
111,POGZ
112,KLF4
113,ZNF334
114,ZSCAN26
115,TSC22D2
116,ARID3A
117,ZBTB26
118,ZNF160
119,HNF4G
120,ZNF615
121,ZNF782
122,EPAS1
123,ZNF76
124,KLF8
125,PURA
126,STAT2
127,ZNF264
128,HSF4
129,ZBTB34
130,ZNF320
131,BARX2
132,ZBTB37
133,PURB
134,ZNF260
135,ATF2
136,ZNF141
137,ZNF510
138,ATF4
139,ZNF644
140,MEIS2
141,ZNF805
142,KMT2A
143,ZNF117
144,ZBTB43
145,STAT1
146,ELF3
147,PRDM16
148,ZNF700
149,ZNF100
150,ZNF680
151,RREB1
152,SP140L
153,PRDM10
154,MAX
155,ARID4B
156,ZKSCAN1
157,ZNF791
158,SP1
159,ZNF674
160,ARNT
161,ZNF785
162,ZC3H6
163,CREBZF
164,ELF2
165,ZNF75D
166,ZNF677
167,TAF1
168,ZNF600
169,ZNF33A
170,ZNF836
171,ZNF621
172,ZNF462
173,TCF12
174,ZFP90
175,ZNF251
176,SP100
177,ARID3B
178,TFAP4
179,BATF2
180,ZNF717
181,NFATC4
182,ZNF345
183,ZNF558
184,HOXC9
185,ZNF439
186,ZNF493
187,ZSCAN30
188,ZBTB41
189,KLF9
190,ZNF254
191,ELK4
192,DMTF1
193,ASCL1
194,ZNF808
195,ZNF655
196,ZNF333
197,KAT6B
198,IRX2
199,ETS1
200,ZNF273
201,SOX4
202,ZNF284
203,ATF6
204,ZNF519
205,SP110
206,ZNF525
207,TGIF1
208,TEAD1
209,ZNF316
210,L3MBTL1
211,ZNF507
