,0
0,ZNF44
1,ADNP
2,HMGXB4
3,ZNF708
4,ELF4
5,RBAK
6,PPP1R13L
7,ZNF611
8,LHX4
9,HMGXB3
10,ZNF814
11,PRDM4
12,ZNF585B
13,ZNF432
14,ZNF461
15,ZNF793
16,UBP1
17,ZNF616
18,ZNF597
19,ZNF776
20,ZBTB44
21,GRHL1
22,ZNF335
23,ZNF266
24,MIER3
25,SFPQ
26,KDM2A
27,ZNF276
28,ZNF407
29,ZFHX3
30,ZNF714
31,HOXB3
32,YY2
33,ZNF460
34,ZNF248
35,ZNF3
36,PLAGL1
37,ZNF514
38,ZNF512
39,POU2F3
40,ZNF589
41,ZNF557
42,MAFK
43,ZNF446
44,HIVEP2
45,ARX
46,SMARCC1
47,KLF7
48,ZNF827
49,PBX4
50,MTF1
51,ZNF341
52,ZNF280C
53,ZNF692
54,ZNF92
55,GMEB2
56,CXXC1
57,ZNF121
58,ZNF217
59,ZNF559
60,ZNF292
61,ZNF654
62,ZNF169
63,KAT6A
64,ID4
65,SCX
66,ZNF518A
67,ZNF701
68,NCOA1
69,ZNF107
70,ZNF350
71,ZNF841
72,WIZ
73,PRDM2
74,HIVEP1
75,ZNF518B
76,NCOA3
77,ZKSCAN8
78,MTA2
79,KDM5B
80,ZNF697
81,FOXN2
82,E4F1
83,ZNF605
84,SOX12
85,ZNF28
86,ZNF506
87,ZBTB48
88,ZNF468
89,ZNF577
90,FOXJ3
91,ZNF75A
92,MGA
93,ZBTB24
94,ZNF721
95,RC3H2
96,ZNF211
97,RXRA
98,DLX1
99,ZNF440
100,ZNF83
101,MECOM
102,ELF1
103,ZNF571
104,ZBTB11
105,ZNF451
106,HLF
107,ZBTB6
108,ZBTB39
109,PRDM15
110,ZNF236
111,ZNF500
112,KDM5C
113,ZNF587
114,CIC
115,ZNF418
116,ZNF737
117,ZNF8
118,ZNF142
119,ZNF570
120,ZNF678
121,POGZ
122,ZBTB21
123,ZFAT
124,GABPA
125,ZNF646
126,TSC22D2
127,ARID3A
128,ZBTB26
129,ZNF160
130,HNF4G
131,ZNF235
132,ZNF615
133,TBX2
134,PHTF1
135,ZNF76
136,KLF8
137,ARID1A
138,PURA
139,STAT2
140,SMARCA1
141,ZNF264
142,ZNF770
143,NCOA2
144,ZNF257
145,ZFP30
146,ZBTB34
147,ZNF320
148,NFE2
149,NFXL1
150,ZBTB37
151,PURB
152,ZBTB38
153,ZNF761
154,ZNF260
155,MEF2D
156,ZBTB17
157,GCM1
158,ZNF644
159,KMT2A
160,ZNF317
161,ZBTB43
162,STAT1
163,ZBTB40
164,ZNF700
165,ZNF891
166,ZNF100
167,ZNF680
168,RREB1
169,ZBTB49
170,PRDM6
171,ZNF532
172,PRDM10
173,BCL11A
174,TBX20
175,ARID4B
176,ZXDC
177,ZNF791
178,ZNF101
179,TSHZ2
180,ARID1B
181,ZNF131
182,CREBZF
183,ZNF800
184,CTCF
185,TAF1
186,ZNF81
187,ZNF566
188,SHOX2
189,ZNFX1
190,ZNF423
191,ZNF600
192,ZNF33A
193,KMT2B
194,ZNF529
195,ZNF621
196,MAFG
197,ZNF282
198,HOXB5
199,ZNF43
200,PBRM1
201,ZNF267
202,ARID3B
203,ZNF558
204,FOXK2
205,ADNP2
206,ZFX
207,ZNF439
208,ZSCAN29
209,ZNF592
210,ZNF140
211,ZNF562
212,ZNF493
213,TFEC
214,GRHL2
215,ZSCAN30
216,ZBTB41
217,ZBED5
218,ZNF845
219,ZNF254
220,ZNF641
221,ARID2
222,DMTF1
223,NFAT5
224,TBX1
225,ZNF195
226,RFX7
227,TONSL
228,ZNF655
229,DMAP1
230,ZNF333
231,SOX4
232,HOXA9
233,ZNF664
234,SIX4
235,ZNF552
236,L3MBTL1
237,HOXB8
238,ZBED4
239,ZNF507
