,VCT_CCC,EVT_early,EVT,iEVT
HIF1A,-0.037805866,0.10580664,0.28245673,1.0288227
ZNF44,-0.033222605,-0.061837867,-0.13379228,0.036393233
FOXQ1,-0.008680566,-0.011988829,-0.018989809,-0.020472128
ADNP,0.076433465,0.0032763043,-0.1888266,0.1939141
HMGXB4,0.03682814,-0.018052109,-0.11449769,0.1788295
ZNF780B,0.042776167,-0.006558848,-0.022582868,0.036530416
ZFP62,0.05371207,0.0017321955,-0.076017715,0.021487843
ZNF708,0.07760999,0.002514118,-0.0052766553,0.15607786
USF2,0.017821891,-0.02745334,-0.012539018,-0.059538793
ELF4,0.030095449,0.17380397,0.08198425,0.69257426
ZNF136,0.049383827,0.06364485,-0.03680934,0.071413375
RBAK,0.092334874,0.06346283,-0.04084778,0.2043779
PPP1R13L,0.032556027,0.09539608,-0.15660797,0.12051345
ZNF611,0.088950284,0.068998486,-0.14050967,0.091108516
LHX4,0.07385718,0.060914863,-0.08362367,0.05331753
TCF25,-0.13680553,-0.065346844,-0.012057949,0.34348863
HMGXB3,-0.05444638,-0.009372157,-0.06289494,0.4202732
ZNF814,0.049009513,0.01354653,-0.054165006,0.1523163
FOXO3,0.1596706,0.32538512,-0.1209979,0.0037649614
ZNF528,0.08526482,0.049680814,-0.0034573544,0.076336004
IKZF5,0.034564458,0.0652167,-0.09141069,0.013638181
USF1,0.005389452,0.013089323,0.0032681571,0.45833048
ZNF513,-0.049065158,-0.07189222,-0.024487386,0.39705297
PRDM4,0.029645832,0.059516568,0.008093878,0.24163415
ZNF585B,0.022097517,0.04572358,-0.020589009,0.30782235
ZNF432,-0.04325825,0.11573377,0.18855919,1.3027834
ZNF461,-0.018274726,0.005158881,-0.010859734,0.18041213
ZNF302,0.09430602,0.059158422,-0.07351656,-0.04867672
ZNF793,0.017650522,-0.010024825,0.026913976,0.37620527
UBP1,0.005905958,-0.064557366,-0.01391607,0.37586978
ZNF616,0.04136448,0.11349255,-0.016989298,0.17519814
ZNF90,0.13816537,0.057486344,-0.1568982,-0.17393291
ZNF597,-0.020010833,-0.017005982,-0.018619273,0.19694912
RELB,-0.0072188615,0.044673674,-0.051588602,0.07375274
ZNF776,0.025962394,0.0041891704,-0.050378576,0.18991484
ZBTB44,0.18860896,0.0396569,-0.17451453,0.2564435
ARNTL2,0.086404674,-0.12686683,-0.14843227,0.04078597
GRHL1,0.17907822,0.2987775,-0.102565676,0.5978462
ZNF335,-0.011967184,-0.013558095,-0.09225579,0.49871922
ZNF266,0.077915065,0.0005261492,-0.04692408,0.17527653
MIER3,0.062148973,0.039544404,-0.099434756,0.103984326
SFPQ,0.066747986,-0.17686984,-0.14367667,0.16908859
KDM2A,0.0072306236,0.037289772,-0.24376234,0.15233102
ZNF276,0.032215226,-0.0069077187,-0.035354637,0.15953974
ZNF407,0.0068297535,-0.023171384,-0.073832154,0.27783197
THAP6,0.046097875,0.062309276,-0.066401124,0.010855784
ZFHX3,-0.07260777,-0.22696806,-0.1845039,0.51901615
ZNF714,0.12637955,0.026082123,-0.09688377,0.054825794
HOXB3,0.027835209,0.026220668,-0.050293006,0.2804132
YY2,0.0077652223,-0.06912975,-0.08003479,0.18572746
ZNF460,0.040924065,-0.00082968955,-0.029235095,0.5507975
ZNF594,0.07053464,0.047211133,-0.058596343,-0.13325562
ZNF248,0.06497061,-0.008918432,-0.06610311,0.2491826
ZNF3,0.08842162,0.029949473,-0.078289814,0.09716811
IRF9,0.06905971,0.08276321,-0.013348014,-0.0088874055
HEYL,-0.023122227,-0.014636684,-0.0023642767,-0.023122227
PLAGL1,0.022951897,0.22334556,0.08348573,0.41211826
ZNF514,0.09528159,0.043893408,-0.062193118,0.15864606
ZNF512,-0.01477608,-0.013474949,-0.009158099,0.21834296
ZNF445,0.16640407,0.019823281,-0.13763376,-0.0252602
POU2F3,-0.024340963,-0.06637627,-0.12457613,-0.06893114
ZNF589,-0.006957858,-0.07127987,-0.03300209,0.2097883
ARNT2,-0.09560066,0.013604124,0.14847355,-0.10625896
ZNF557,0.030906051,0.021393152,-0.032248627,0.13482648
BCL3,0.04245832,0.12653223,0.0050553237,0.037990864
ZNF649,0.06643208,0.12187951,-0.033910986,-0.115805864
ZBTB47,-0.02021808,-0.039817147,0.03919638,0.05507853
ELMSAN1,0.011245448,0.30086088,0.017327413,0.09113836
MAFK,-0.09020988,-0.06982452,-0.20385316,0.2257465
ZNF444,0.15776092,0.06467228,-0.16533893,-0.08481598
ZNF446,0.0018093731,-0.0017328453,-0.015440281,0.17932752
