,0
0,ZNF213
1,TFEC
2,ZNF682
3,PAX4
4,SNAI1
5,PSPC1
6,TBPL1
7,ELF4
8,ZNF277
9,HMG20B
10,ZBTB41
11,E2F3
12,KAT6A
13,SREBF1
14,ZNF275
15,ZBTB38
16,ZNF100
17,ZNF414
18,ZNF397
19,MYC
20,PBRM1
21,TFDP1
22,ZFP42
23,LYAR
24,ZNF287
25,THAP10
26,ATF6
27,E2F8
28,ST18
29,ETV5
30,GTF3A
31,E2F4
32,HMGXB4
33,PHF5A
34,ZNF101
35,NFXL1
36,ZNF131
37,CDC5L
38,ZBTB17
39,SFPQ
40,SMARCE1
41,ZNF215
42,TADA2A
43,ZNF22
44,NFKBIB
45,ZNF511
46,MTF1
47,DNAJC1
48,HEYL
49,ZNF880
50,E2F1
51,ZNF684
52,ZNF678
53,ZKSCAN5
54,MLX
55,FOXM1
