,0
0,ZBTB43
1,SP100
2,STAT2
3,ZNF334
4,ZNF90
5,ZNF677
6,RREB1
7,ELF4
8,ELMSAN1
9,ZNF624
10,SCX
11,ZNF785
12,KMT2A
13,ATF2
14,KLF7
15,ZNF439
16,ZBTB41
17,ASCL1
18,ZNF701
19,MAX
20,ZNF518A
21,EPAS1
22,ZNF621
23,KLF4
24,VEZF1
25,ZNF100
26,ZSCAN12
27,ZNF587
28,ZNF141
29,HIF1A
30,ZNF782
31,ZNF83
32,ZNF708
33,ZNF493
34,SP110
35,ZNF430
36,SP1
37,FOXO3
38,MGA
39,TSHZ1
40,PBX4
41,KDM5B
42,SP140L
43,TGIF1
44,ZNF700
45,ZNF528
46,ZNF417
47,ZNF662
48,HSF4
49,HOXC9
50,ZBTB37
51,ZNF444
52,ZNF333
53,THAP6
54,USF1
55,IRX4
56,HNF4G
57,ZNF133
58,ZNF254
59,ATF6
60,KLF9
61,ZNF507
62,JDP2
63,ZNF584
64,ELF1
65,POU2F3
66,ZNF615
67,ZNF808
68,ZNF75D
69,ZNF655
70,STAT1
71,PURA
72,ZNF320
73,TEAD1
74,BATF2
75,NFATC4
76,FOXQ1
77,ZNF623
78,RC3H2
79,ZNF600
80,IKZF3
81,ZNF264
82,SOX4
83,FOXN2
84,GATAD2A
85,ARID3A
86,ZFP90
87,IRX2
88,ZBED2
89,MEIS2
90,ZNF316
91,NCOA1
92,ARID4A
93,CREBZF
94,ZNF654
95,PRDM16
96,ARNT
97,ARNTL2
98,PPP1R13L
99,KLF8
100,ZNF467
101,ZNF214
102,TFAP2A
103,LHX4
104,ZNF345
105,ZNF284
106,ARID3B
107,ZNF717
108,ZSCAN26
109,ARID4B
110,RELB
111,ZNF169
112,ZC3H6
113,ETS1
114,ZKSCAN8
115,ZBTB47
116,ZBTB26
117,TAF1
118,ZNF765
119,ZBTB34
120,ZKSCAN1
121,ZNF616
122,ZNF93
123,ZNF611
124,FOXJ3
125,TFE3
126,ZNF585B
127,TCF12
128,ZNF699
129,ZNF571
130,ZNF182
131,ELF2
132,ZNF251
133,DMTF1
134,GRHL1
135,ZNF525
136,ZNF558
137,ZBTB48
138,ZNF674
139,ZNF273
140,SOX15
141,ZNF445
142,KLF11
143,L3MBTL1
144,ZNF292
145,ZNF136
146,ZNF714
147,ZNF33A
148,BCL3
149,TSC22D2
150,ZNF76
151,ZBTB44
152,ZNF514
153,ZNF227
154,ZNF805
155,ZNF680
156,ZNF160
157,ZNF789
158,ELF3
159,ZNF776
160,ZFP62
161,DLX3
162,PURB
163,ZNF276
164,ZNF692
165,PRDM10
166,ZNF594
167,IKZF2
168,ZNF519
169,ZNF555
170,ELK4
171,PLAGL1
172,ASCL2
173,ZNF506
174,ZSCAN30
175,IKZF5
176,TFAP4
177,ZNF550
178,POGZ
179,PLAG1
180,ZNF175
181,GLIS2
182,ZNF791
183,USF2
184,ZNF653
185,ZNF117
186,ZNF836
187,ZNF462
188,BATF3
189,ZNF780B
190,CNOT4
191,ZNF649
192,ZNF266
193,MIER3
194,ZNF236
195,ZNF510
196,ZNF841
197,ZNF736
198,BARX2
199,ZNF577
200,ZNF471
201,RBAK
202,HIVEP2
203,MAFK
204,GLIS3
205,ZNF644
206,HOXB3
207,IRF9
208,ATF4
209,KAT6B
210,ZNF260
211,ZNF302
