,0
0,ZBTB43
1,STAT2
2,TFEC
3,ARX
4,ZNF566
5,TBX1
6,HIVEP1
7,NCOA3
8,RREB1
9,ELF4
10,ZNF460
11,ZNF721
12,ZSCAN29
13,CXXC1
14,SCX
15,KMT2A
16,KLF7
17,ZNFX1
18,ZNF439
19,ZNF142
20,ZNF800
21,ZBTB41
22,ZNF440
23,ZXDC
24,HMGXB3
25,ZNF701
26,DLX1
27,ZNF451
28,ZBTB11
29,ZNF468
30,ZNF518A
31,ZNF335
32,KAT6A
33,ZNF621
34,ZBTB38
35,RFX7
36,ZNF317
37,ZNF248
38,ZNF100
39,ZNF587
40,ZNF140
41,ZNF217
42,ZNF83
43,ZNF708
44,UBP1
45,ZNF493
46,KDM5C
47,HOXA9
48,ZNF3
49,E4F1
50,MGA
51,ZNF597
52,PBRM1
53,PRDM2
54,MECOM
55,PBX4
56,KDM5B
57,KMT2B
58,ZNF700
59,SMARCC1
60,GCM1
61,ZNF605
62,ZFHX3
63,ZBTB37
64,ZNF333
65,ZNF282
66,HNF4G
67,SHOX2
68,GMEB2
69,ZNF43
70,ZNF254
71,ZNF570
72,ZNF507
73,NCOA2
74,ZNF350
75,ELF1
76,ZNF341
77,ZNF257
78,ZBTB24
79,HOXB8
80,ZNF793
81,ARID1B
82,POU2F3
83,ZNF28
84,ZFP30
85,ZNF615
86,ZNF655
87,STAT1
88,PURA
89,ZNF320
90,CTCF
91,ZNF641
92,RC3H2
93,ZNF512
94,ZNF592
95,ZNF600
96,ZNF280C
97,HLF
98,ZNF264
99,SOX4
100,PRDM15
101,BCL11A
102,FOXN2
103,ZNF44
104,ARID3A
105,ADNP
106,ZNF211
107,NCOA1
108,CREBZF
109,ZNF654
110,ZNF552
111,ZNF423
112,ZNF664
113,PPP1R13L
114,ARID2
115,GABPA
116,SMARCA1
117,RXRA
118,KLF8
119,ZBTB6
120,HMGXB4
121,ZNF407
122,ZNF770
123,LHX4
124,SOX12
125,ZNF101
126,ARID3B
127,NFXL1
128,NFE2
129,ARID4B
130,CIC
131,ZNF169
132,ZKSCAN8
133,ZBTB40
134,ZNF195
135,ZNF589
136,ZNF697
137,ZBTB26
138,FOXK2
139,TAF1
140,ZBED5
141,ZBTB21
142,ZBTB34
143,ZBTB39
144,TSHZ2
145,ZNF559
146,ZNF616
147,MTA2
148,ZNF611
149,PHTF1
150,FOXJ3
151,ZNF891
152,ZNF131
153,ZNF8
154,ZNF585B
155,ZBTB17
156,ZNF81
157,ZNF571
158,DMTF1
159,ID4
160,KDM2A
161,MEF2D
162,GRHL1
163,ZNF558
164,ZNF529
165,ZBTB48
166,SFPQ
167,ZNF562
168,DMAP1
169,ZFAT
170,L3MBTL1
171,ZNF292
172,ZNF518B
173,ZNF714
174,ZNF33A
175,PRDM6
176,ZNF418
177,ZNF814
178,TSC22D2
179,ZNF737
180,ZNF76
181,ZBTB44
182,ZNF461
183,ZNF827
184,ZNF514
185,WIZ
186,ZNF680
187,ZNF160
188,ZNF235
189,MTF1
190,ZNF776
191,ZNF75A
192,PURB
193,SIX4
194,ZNF92
195,ZNF276
196,ZNF692
197,GRHL2
198,PRDM10
199,ZBED4
200,ARID1A
201,PRDM4
202,TBX20
203,PLAGL1
204,YY2
205,ZNF446
206,ZNF121
207,ZNF500
208,ZNF506
209,ZSCAN30
210,POGZ
211,HOXB5
212,MAFG
213,TBX2
214,ZNF557
215,NFAT5
216,ZNF267
217,ZNF791
218,ZNF107
219,TONSL
220,ZNF845
221,ZBTB49
222,ZNF266
223,MIER3
224,ZNF236
225,ZNF841
226,ZNF678
227,ZNF761
228,ZNF577
229,ZNF532
230,RBAK
231,ZNF646
232,HIVEP2
233,ZFX
234,MAFK
235,ZNF432
236,ZNF644
237,ADNP2
238,HOXB3
239,ZNF260
