,VCT,VCT_CCC,EVT_1_like,EVT_early,EVT_mid,iEVT,EVT_late
ZNF337,0.027918566,0.031638216,0.020581342,0.027489178,0.018016644,0.035304315,0.012301046
ZNF358,0.046244584,0.09538311,0.04597546,0.08611944,0.03973006,0.01265003,0.013369215
ZNF213,0.010255299,0.017186321,0.032795463,0.017299306,0.030561578,0.028784359,0.02536675
ZNF546,0.0034459534,0.004442019,0.0009465361,0.0026797045,0.0008929211,0.0,0.0
ZSCAN4,0.0009062757,0.00032768046,0.0,5.700897e-05,0.00020649211,0.0,0.00062236877
ZNF124,0.04527753,0.040984485,0.05197821,0.029059688,0.036756758,0.045241725,0.0468541
KDM5D,0.0024951186,0.00077325257,0.0,0.0,0.003297249,0.014144627,0.018806858
CREBL2,0.1005314,0.094161175,0.09642125,0.12743205,0.09457949,0.11995374,0.06472951
THAP11,0.10878709,0.09425261,0.10482954,0.09580587,0.069779344,0.02966605,0.05691488
ZNF281,0.19607767,0.17181273,0.1693479,0.17120597,0.16265297,0.29981825,0.12034611
ZNF480,0.10425672,0.14574978,0.13827074,0.15631811,0.12666109,0.09862933,0.17466253
ZNF319,0.01460151,0.009780812,0.005765268,0.006850649,0.009038302,0.022741493,0.014323808
HIC2,0.43960333,0.42864853,0.48856613,0.46091107,0.39854252,0.45718935,0.22263594
ZNF566,0.038504288,0.04072619,0.034216296,0.02533277,0.0165058,0.06232759,0.016679583
ZBTB45,0.04274319,0.03892439,0.04955324,0.04047985,0.042305607,0.033482492,0.050505824
TBX1,0.0037936603,0.017530829,0.009664219,0.0073364377,0.010089367,0.040476874,0.021499988
ZNF354B,0.048861902,0.043050375,0.038352057,0.045507424,0.030508995,0.04735676,0.019876782
ZNF32,0.065618716,0.044169392,0.055016287,0.032610815,0.0625227,0.09297077,0.1045417
BNC2,0.0046179006,0.006772893,0.0016897985,0.0021268271,0.0010533002,0.0,0.0
ZNF90,0.08098275,0.096636355,0.09254616,0.07694594,0.035158582,0.029815057,0.014754281
HIVEP1,0.06211532,0.05294201,0.025176577,0.023502182,0.024327476,0.053460762,0.022408824
MIER2,0.067656964,0.07293869,0.06272963,0.06535818,0.05156745,0.060259633,0.04666165
BNC1,0.0,7.212949e-05,0.0,0.0,5.0724735e-05,0.0024232098,0.0023433608
ATF3,0.8355636,0.9719409,0.53029305,1.2007344,0.34618053,0.18659241,0.07557871
ZNF189,0.025344927,0.027549906,0.015947599,0.021873724,0.013893345,0.019349735,0.00939342
DNAJC2,0.26286042,0.31154513,0.35944656,0.33697844,0.26898283,0.23814866,0.26457915
ZNF574,0.04377912,0.03304316,0.037375405,0.033538565,0.03087137,0.020821566,0.024154497
ZBTB5,0.048279144,0.040734388,0.038338058,0.03786436,0.02689715,0.031756338,0.012645321
SNAI1,0.07610915,0.120026425,0.3163228,0.21059597,0.3447022,0.38674304,0.3650117
TCF7L1,0.14977023,0.3906399,0.31175736,0.16509056,0.17973642,0.3308682,0.2993789
ETV7,0.2464143,0.1525962,0.04510989,0.07623857,0.019554986,0.01444439,0.03756099
NCOA3,0.77713805,0.34895825,0.29949215,0.37633052,0.31965828,0.53969264,0.2037838
TBPL1,0.17770867,0.14114445,0.20577252,0.15278885,0.17216544,0.12677461,0.22303733
PBX2,0.18632235,0.15712538,0.14647523,0.13883728,0.10883327,0.09728653,0.08162093
ELF4,0.10274462,0.12616427,0.14526916,0.17076285,0.14438848,0.31305334,0.10125339
ZNF573,0.019117588,0.02106189,0.019953493,0.019780666,0.01306204,0.0086286655,0.0162367
ZNF585A,0.028732747,0.02805961,0.027473593,0.030901376,0.020780742,0.023220139,0.02016995
ZIK1,0.0033188895,0.0015306843,0.0017119063,0.0017647695,0.0010703616,0.0,0.0005641195
FOSB,1.3499807,1.0172217,0.8919518,1.3240556,0.7659436,0.4337095,0.16839594
SP6,0.25141487,0.051375583,0.0042888257,0.016490415,0.003705595,0.01347201,0.0015429539
NFE2L1,0.20317744,0.17867236,0.2080755,0.17424984,0.18590944,0.4657466,0.18900682
ARNTL,0.06579358,0.06490925,0.006072911,0.02483057,0.010294994,0.015229634,0.010010139
ZNF460,0.025953308,0.0321202,0.016971514,0.028596347,0.023364032,0.100939564,0.013421234
ZSCAN25,0.042149834,0.040949862,0.032235153,0.03791088,0.0239381,0.047376085,0.010529326
ZNF721,0.17191677,0.16990474,0.14155413,0.13104917,0.09379478,0.13791478,0.049308043
ZNF691,0.019626066,0.024420358,0.02727362,0.022504492,0.017376626,0.022426143,0.018248873
