,0
0,ADNP
1,ADNP2
2,AEBP2
3,AHR
4,ARID1A
5,ARID1B
6,ARID2
7,ARID3A
8,ARID3B
9,ARID4A
10,ARID4B
11,ARNT
12,ARNT2
13,ARNTL
14,ARNTL2
15,ARX
16,ASCL1
17,ASCL2
18,ATF1
19,ATF2
20,ATF3
21,ATF4
22,ATF5
23,ATF6
24,ATOH8
25,BARX2
26,BATF2
27,BATF3
28,BBX
29,BCL11A
30,BCL3
31,BHLHE40
32,CDC5L
33,CEBPD
34,CEBPG
35,CIC
36,CNOT4
37,CREBL2
38,CREBZF
39,CREM
40,CSRNP1
41,CSRNP3
42,CTCF
43,CXXC1
44,DLX1
45,DLX3
46,DLX5
47,DMAP1
48,DMTF1
49,DNAJC1
50,DNMT1
51,E2F1
52,E2F2
53,E2F3
54,E2F4
55,E2F5
56,E2F8
57,E4F1
58,ELF1
59,ELF2
60,ELF3
61,ELF4
62,ELK4
63,ELMSAN1
64,EPAS1
65,ETS1
66,ETV4
67,ETV5
68,ETV6
69,ETV7
70,FIZ1
71,FOXJ2
72,FOXJ3
73,FOXK1
74,FOXK2
75,FOXM1
76,FOXN2
77,FOXN3
78,FOXO3
79,FOXO4
80,FOXO6
81,FOXP1
82,FOXQ1
83,GABPA
84,GATAD1
85,GATAD2A
86,GCM1
87,GLIS2
88,GLIS3
89,GMEB1
90,GMEB2
91,GRHL1
92,GRHL2
93,GRHL3
94,GTF3A
95,HES4
96,HEY1
97,HEYL
98,HIF1A
99,HIVEP1
100,HIVEP2
101,HLF
102,HMG20A
103,HMG20B
104,HMGXB3
105,HMGXB4
106,HNF4G
107,HOXA10
108,HOXA7
109,HOXA9
110,HOXB2
111,HOXB3
112,HOXB5
113,HOXB6
114,HOXB8
115,HOXC6
116,HOXC9
117,HSF2
118,HSF4
119,ID1
120,ID4
121,IKZF2
122,IKZF3
123,IKZF5
124,IRF2
125,IRF6
126,IRF9
127,IRX2
128,IRX4
129,JARID2
130,JDP2
131,KAT5
132,KAT6A
133,KAT6B
134,KAT7
135,KAT8
136,KDM2A
137,KDM5A
138,KDM5B
139,KDM5C
140,KDM5D
141,KLF11
142,KLF16
143,KLF4
144,KLF7
145,KLF8
146,KLF9
147,KMT2A
148,KMT2B
149,L3MBTL1
150,LHX4
151,LRRFIP1
152,LYAR
153,MAFG
154,MAFK
155,MAX
156,MECOM
157,MEF2D
158,MEIS2
159,MESP1
160,MGA
161,MIER3
162,MLX
163,MTA2
164,MTF1
165,MXI1
166,MYBL1
167,MYBL2
168,MYC
169,MYNN
170,MYOD1
171,NCOA1
172,NCOA2
173,NCOA3
174,NFAT5
175,NFATC3
176,NFATC4
177,NFE2
178,NFE2L2
179,NFE2L3
180,NFKBIA
181,NFKBIB
182,NFKBIL1
183,NFKBIZ
184,NFX1
185,NFXL1
186,NONO
187,NR2C1
188,NRL
189,OSR2
190,OVOL1
191,PAX4
192,PBRM1
193,PBX1
194,PBX4
195,PHF5A
196,PHTF1
197,PHTF2
198,PLAG1
199,PLAGL1
200,POGZ
201,POU2F3
202,PPARA
203,PPARG
204,PPP1R13L
205,PRDM10
206,PRDM15
207,PRDM16
208,PRDM2
209,PRDM4
210,PRDM5
211,PRDM6
212,PSPC1
213,PURA
