"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"GTF3A_E"	"GTF3A_E"	1210	20.2675521511924	2.48724588673307e-91	3.44483555312531e-88
"ARID4B_E"	"ARID4B_E"	557	-17.3591701732668	1.68136002998149e-67	1.16434182076218e-64
"IKZF5_E"	"IKZF5_E"	452	-17.1452880630613	6.81602637278657e-66	3.14673217543647e-63
"ZBTB44_E"	"ZBTB44_E"	471	-16.1123549486649	2.08913713260317e-58	7.23363732163849e-56
"DNAJC1_E"	"DNAJC1_E"	1082	15.5298812841708	2.17782598218772e-54	6.03257797066e-52
"ZNF292_E"	"ZNF292_E"	394	-15.4955499943444	3.71765742274753e-54	8.58159255084222e-52
"ZNF791_E"	"ZNF791_E"	388	-15.075820867807	2.33594449421982e-51	4.62183303499207e-49
"CREBZF_E"	"CREBZF_E"	488	-14.7195507052554	4.82857694673594e-49	8.35947383903659e-47
"RCOR3_E"	"RCOR3_E"	568	14.4351539451033	3.10950646110423e-47	4.78518494292151e-45
"KAT7_E"	"KAT7_E"	619	-14.3472031150031	1.10921087744799e-46	1.53625706526546e-44
"PHF5A_E"	"PHF5A_E"	1701	14.2103380800004	7.90429876614296e-46	9.95223071918909e-44
"ZNF721_E"	"ZNF721_E"	313	-13.627718313913	2.74014140957224e-42	3.13953183537141e-40
"E2F8_E"	"E2F8_E"	672	-13.6224087835059	2.94685298626919e-42	3.13953183537141e-40
"FOXJ3_E"	"FOXJ3_E"	1275	-13.4293399525679	4.07023117141914e-41	4.02662155172537e-39
"ZNF513_E"	"ZNF513_E"	777	13.3467204331534	1.2377948838244e-40	1.14289727606453e-38
"CNOT4_E"	"CNOT4_E"	359	-13.2916606283406	2.58770670218231e-40	2.23998361407656e-38
"ZNF654_E"	"ZNF654_E"	427	-13.2527078659521	4.35211870109836e-40	3.54569670648308e-38
"ZNF451_E"	"ZNF451_E"	566	-13.0684397995121	4.9878039332415e-39	3.83783802641082e-37
"DMTF1_E"	"DMTF1_E"	702	-12.9243040520534	3.28253299655126e-38	2.39279378959132e-36
"ZNF91_E"	"ZNF91_E"	446	12.6350665272999	1.35279686489048e-36	9.36811828936659e-35
"ZNF668_E"	"ZNF668_E"	504	12.1542522581879	5.44577649854817e-34	3.59161926213772e-32
"ZNF510_E"	"ZNF510_E"	272	-11.9958908166596	3.73378287240795e-33	2.35058603558409e-31
"ZNF397_E"	"ZNF397_E"	424	11.9718978563396	4.98745689235217e-33	3.00331643300337e-31
"ZNF84_E"	"ZNF84_E"	344	-11.915963869713	9.77294054347288e-33	5.63980110529581e-31
"THAP4_E"	"THAP4_E"	1144	11.852354782877	2.09227506377801e-32	1.15912038533302e-30
"PRDM2_E"	"PRDM2_E"	335	-11.8279396572701	2.79928588941881e-32	1.49115806032502e-30
"ZNF224_E"	"ZNF224_E"	489	11.8136229701556	3.31943030236842e-32	1.70274480325195e-30
"HMGXB4_E"	"HMGXB4_E"	592	-11.7537434924506	6.75582334286213e-32	3.34171976066573e-30
"ZBTB47_E"	"ZBTB47_E"	727	11.7067098738953	1.17761135286059e-31	5.62410939211007e-30
"ZNF506_E"	"ZNF506_E"	328	-11.6961900883823	1.33305219022851e-31	6.15425761155495e-30
