"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"GTF3A_E"	"GTF3A_E"	1209	23.7234077234914	2.06781384842145e-124	2.86392218006371e-121
"PHF5A_E"	"PHF5A_E"	1701	20.7417247701169	1.45609887945166e-95	1.00834847402027e-92
"THAP4_E"	"THAP4_E"	1144	17.0917417369165	1.70989528981248e-65	7.89401658796761e-63
"NFKBIB_E"	"NFKBIB_E"	805	13.7043679515027	9.55961165588721e-43	3.31001553585095e-40
"ZNF787_E"	"ZNF787_E"	660	13.6169539649398	3.17537905035676e-42	8.79579996948821e-40
"MESP1_E"	"MESP1_E"	492	13.1938538629478	9.51916446419461e-40	2.19734046381826e-37
"MLX_E"	"MLX_E"	1340	12.9124483022002	3.82929026309756e-38	7.57652430627159e-36
"ZNF32_E"	"ZNF32_E"	808	12.8404566787345	9.72988101680083e-38	1.68448565103364e-35
"LYAR_E"	"LYAR_E"	1032	11.6793157029818	1.62599218172991e-31	2.50222130188436e-29
"DNAJC1_E"	"DNAJC1_E"	1082	11.6354543846615	2.72137040108399e-31	3.76909800550132e-29
"CREBZF_E"	"CREBZF_E"	486	-11.3463597575615	7.73149584048385e-30	9.7346561264274e-28
"NFKBIE_E"	"NFKBIE_E"	643	11.0179676432452	3.13047262388126e-28	3.61308715339629e-26
"DMTF1_E"	"DMTF1_E"	700	-10.8110687954508	3.05094472670866e-27	3.25042957422422e-25
"ZNF513_E"	"ZNF513_E"	777	10.6672304417232	1.44880490247718e-26	1.43328199280779e-24
"ZNF445_E"	"ZNF445_E"	421	-10.6271425837241	2.22835435660952e-26	2.05751385593612e-24
"WIZ_E"	"WIZ_E"	910	10.5607306754562	4.53120878502744e-26	3.92232760453938e-24
"ZNF239_E"	"ZNF239_E"	624	10.5286202276876	6.37622172092826e-26	5.1139603634605e-24
"ATF5_E"	"ATF5_E"	328	10.5247139329002	6.64630227742159e-26	5.1139603634605e-24
"BATF2_E"	"BATF2_E"	224	10.4888796950313	9.71737114424291e-26	7.08345212356654e-24
"ZNF292_E"	"ZNF292_E"	394	-10.4703397778602	1.18217909585417e-25	8.18659023879013e-24
"ZNF771_E"	"ZNF771_E"	388	10.0979946769953	5.63833310073992e-24	3.71861492596418e-22
"RCOR3_E"	"RCOR3_E"	567	9.65513728273796	4.67532642608517e-22	2.94333050005817e-20
"MGA_E"	"MGA_E"	825	-9.55826126163412	1.19751601593191e-21	7.21112905245953e-20
"HMG20B_E"	"HMG20B_E"	808	9.45652030783838	3.18361428111247e-21	1.83721074139199e-19
"ZBTB45_E"	"ZBTB45_E"	654	9.42622883449571	4.25098359661228e-21	2.3550449125232e-19
"ZBTB37_E"	"ZBTB37_E"	407	-9.31185852585836	1.25614763324231e-20	6.69140181554076e-19
"ARID4B_E"	"ARID4B_E"	557	-9.17352410023424	4.57802484299646e-20	2.34835718798152e-18
"FIZ1_E"	"FIZ1_E"	721	-9.12452613241448	7.20507695629218e-20	3.56393985159453e-18
"ZNF333_E"	"ZNF333_E"	436	-9.1202157115319	7.49749489868528e-20	3.58070014988935e-18
"ZNF672_E"	"ZNF672_E"	536	8.97071258304088	2.94602269073997e-19	1.36008047555828e-17
"ZNF236_E"	"ZNF236_E"	354	-8.94950282995316	3.57086986148234e-19	1.59537250263001e-17
"ZNF580_E"	"ZNF580_E"	464	8.83744951486156	9.79284691154573e-19	4.23846655390339e-17
"ZBTB44_E"	"ZBTB44_E"	470	-8.82726225502634	1.07269072722238e-18	4.50205047637273e-17
"THAP7_E"	"THAP7_E"	756	8.79814154826062	1.39100515609264e-18	5.66630041525971e-17
"ZBED6_E"	"ZBED6_E"	284	8.65874142040615	4.77001495126639e-18	1.88756305928684e-16
"ZNF668_E"	"ZNF668_E"	504	8.55532904347776	1.17532991660254e-17	4.52175537359588e-16
"TBPL1_E"	"TBPL1_E"	542	8.34838142762278	6.92047727524174e-17	2.59050298005671e-15
"ZNF511_E"	"ZNF511_E"	703	8.29785825237738	1.06005048026187e-16	3.86360503990181e-15
"ZNF891_E"	"ZNF891_E"	241	-8.23490494950597	1.79700254904279e-16	6.38166289852377e-15
"ZNF35_E"	"ZNF35_E"	569	8.20213367401767	2.36157486106137e-16	8.17695295642501e-15
"L3MBTL1_E"	"L3MBTL1_E"	656	-8.12651288406654	4.41816561375624e-16	1.49247789635424e-14
"KAT7_E"	"KAT7_E"	619	-8.12001182227531	4.6613827140918e-16	1.53714644262313e-14
"IKZF5_E"	"IKZF5_E"	452	-8.10459787212717	5.29202551495001e-16	1.70452449725716e-14
"ZNF407_E"	"ZNF407_E"	431	-8.01379231154499	1.11224469770088e-15	3.50104296889937e-14
"ZNF354B_E"	"ZNF354B_E"	384	-7.98119619808799	1.44921895195301e-15	4.46037388545536e-14
"HMG20A_E"	"HMG20A_E"	540	-7.9473066390574	1.90610190560399e-15	5.73902421578593e-14
"ZNF579_E"	"ZNF579_E"	355	7.86787870817782	3.60705031618353e-15	1.06292865700302e-13
"ZNF354C_E"	"ZNF354C_E"	352	7.85116232106696	4.12199045470779e-15	1.18936599578548e-13
"POGZ_E"	"POGZ_E"	761	-7.68120302926984	1.57601469517941e-14	4.4546537812724e-13
"ZNF280D_E"	"ZNF280D_E"	633	-7.62048702846479	2.52720362513664e-14	7.00035404162849e-13
"ZNF397_E"	"ZNF397_E"	424	7.58445050756108	3.33899092812775e-14	9.01228499560758e-13
"ZNF141_E"	"ZNF141_E"	303	-7.58272660483089	3.38367378896458e-14	9.01228499560758e-13
"ZBTB25_E"	"ZBTB25_E"	372	-7.54292816380798	4.59534322628789e-14	1.18326900978657e-12
"ZNF160_E"	"ZNF160_E"	198	-7.5424150176079	4.61346761938444e-14	1.18326900978657e-12
"ZSCAN5A_E"	"ZSCAN5A_E"	476	7.52757543266466	5.16911473879335e-14	1.30167707513251e-12
"THAP8_E"	"THAP8_E"	729	7.51813193774159	5.55644157184662e-14	1.35105023288696e-12
"FOXJ3_E"	"FOXJ3_E"	1265	-7.51804165414718	5.5602789367911e-14	1.35105023288696e-12
"ZNF655_E"	"ZNF655_E"	639	-7.487343338435	7.02816763291095e-14	1.67827796061753e-12
"EPAS1_B"	"EPAS1_B"	40	-7.44757630899462	9.50705618763705e-14	2.23174115591141e-12
"ZNF524_E"	"ZNF524_E"	826	7.43852353156919	1.01816840665493e-13	2.35027207202846e-12
"KLF16_E"	"KLF16_E"	765	7.43263530229924	1.06455117263746e-13	2.41705471164407e-12
"ZNF621_E"	"ZNF621_E"	305	-7.43025415915458	1.08389209071294e-13	2.42127507360875e-12
"ZNF529_E"	"ZNF529_E"	434	-7.42252868499134	1.14905092798952e-13	2.5110692920106e-12
"NRL_E"	"NRL_E"	713	7.42123300733167	1.16034970894352e-13	2.5110692920106e-12
"ZBTB40_E"	"ZBTB40_E"	358	-7.41709665534867	1.19715583212185e-13	2.55086281152118e-12
"DNAJC2_E"	"DNAJC2_E"	1220	7.35142014335396	1.96111919500166e-13	4.11537891678379e-12
"ZNF142_E"	"ZNF142_E"	530	-7.33236794241619	2.26121248975388e-13	4.67429746016287e-12
"ZNF736_E"	"ZNF736_E"	352	-7.31746139730248	2.52705796815471e-13	5.14702247925629e-12
"ZNF91_E"	"ZNF91_E"	444	7.29567512351449	2.97165169717001e-13	5.96483710229052e-12
"ZNF791_E"	"ZNF791_E"	388	-7.29183538869437	3.05760613486175e-13	6.04969213826219e-12
"ZNF219_E"	"ZNF219_E"	451	7.28279901512287	3.26964170995223e-13	6.37810389899131e-12
"ZNF507_E"	"ZNF507_E"	467	-7.25741914013675	3.94545692431685e-13	7.58952477802616e-12
"KAT6B_E"	"KAT6B_E"	469	-7.24455125003411	4.33873329173741e-13	8.16352563597341e-12
"IRF6_E"	"IRF6_E"	490	-7.24383440416698	4.36173932896774e-13	8.16352563597341e-12
"PRDM2_E"	"PRDM2_E"	335	-7.22199225195058	5.12313926913993e-13	9.46073051701174e-12
"ZNF84_E"	"ZNF84_E"	343	-7.20724565848643	5.70949470108674e-13	1.04048028434278e-11
"ZNF662_E"	"ZNF662_E"	333	-7.10498467027315	1.20335895821975e-12	2.16448332095371e-11
"ZNF841_E"	"ZNF841_E"	432	-6.99437611046185	2.66441904810413e-12	4.73105177131311e-11
"GATAD2A_E"	"GATAD2A_E"	955	-6.96552598569415	3.27179021772714e-12	5.73598664753428e-11
"ZNF345_E"	"ZNF345_E"	299	-6.9224573422099	4.43875482780115e-12	7.68459429563075e-11
"ZNF514_E"	"ZNF514_E"	143	-6.89686096878086	5.31641660170695e-12	9.09041604119027e-11
"ZNF182_E"	"ZNF182_E"	373	-6.85325114782071	7.21901813978388e-12	1.21930977117081e-10
"KDM5C_E"	"KDM5C_E"	340	-6.83258697776677	8.33968094086813e-12	1.3916214582051e-10
"HIF1A_AA"	"HIF1A_AA"	56	-6.79094626698103	1.11400414659059e-11	1.82801301518017e-10
"PRDM10_E"	"PRDM10_E"	221	-6.78992928121226	1.12188524397339e-11	1.82801301518017e-10
"TFAM_E"	"TFAM_E"	1317	6.78741553367783	1.1416005382623e-11	1.83850784359684e-10
"ZNF414_E"	"ZNF414_E"	726	6.78074477343276	1.19557927563728e-11	1.90330723765245e-10
"RFX3_E"	"RFX3_E"	687	6.7547370728325	1.43094511285091e-11	2.2521124787483e-10
"ZNF451_E"	"ZNF451_E"	565	-6.7453433431004	1.52665575772637e-11	2.37575081398991e-10
"ZNF224_E"	"ZNF224_E"	488	6.68722061623175	2.27448868055856e-11	3.50018535841512e-10
"ZNF133_E"	"ZNF133_E"	449	-6.60555601869425	3.96028116145656e-11	6.02746088859048e-10
"ZNF510_E"	"ZNF510_E"	272	-6.59389723654339	4.28428314242662e-11	6.44970886115311e-10
"ZNF532_E"	"ZNF532_E"	335	-6.57816778088727	4.76280624296788e-11	7.09299639409733e-10
"ZNF678_E"	"ZNF678_E"	350	-6.57379884316918	4.90474843856733e-11	7.22667722065506e-10
"TOX4_E"	"TOX4_E"	1197	6.53824162428667	6.22463050822954e-11	9.07485605673465e-10
"ZNF518A_E"	"ZNF518A_E"	411	-6.45266135756617	1.0990276336951e-10	1.58557632569553e-09
"ZNF506_E"	"ZNF506_E"	329	-6.29149107306194	3.14430901448328e-10	4.48955462377251e-09
"RFX7_E"	"RFX7_E"	408	-6.285464262681	3.26875355196079e-10	4.61961598925071e-09
"ZSCAN25_E"	"ZSCAN25_E"	374	-6.26551165759795	3.71603198682341e-10	5.19869121388932e-09
"DMAP1_E"	"DMAP1_E"	918	-6.23895533585187	4.40502735531913e-10	6.10096288711699e-09
"ZBED5_E"	"ZBED5_E"	390	-6.21757564137942	5.04894789110389e-10	6.92355725661276e-09
"ZNF280C_E"	"ZNF280C_E"	353	-6.20906828992218	5.32996589010142e-10	7.23725760567693e-09
"ZBTB1_E"	"ZBTB1_E"	255	6.14468385650833	8.01229351520084e-10	1.07738121539351e-08
"PURA_E"	"PURA_E"	440	-6.10043136217541	1.05782599580284e-09	1.40873942710282e-08
"ZNF585A_E"	"ZNF585A_E"	240	-6.0924762772894	1.11177323901015e-09	1.46648184383719e-08
"KDM2A_E"	"KDM2A_E"	598	-6.08600529791145	1.15762612843759e-09	1.49612364186405e-08
"ZNF548_E"	"ZNF548_E"	202	-6.08539331355644	1.16205683234156e-09	1.49612364186405e-08
"ZBTB42_E"	"ZBTB42_E"	598	6.08476096044778	1.16665237055103e-09	1.49612364186405e-08
"LHX4_E"	"LHX4_E"	331	-6.07496795337212	1.24012484605662e-09	1.5757549649435e-08
"ZNF699_E"	"ZNF699_E"	251	-6.03272487378047	1.61217765664378e-09	2.02987823131967e-08
"ZNF721_E"	"ZNF721_E"	313	-6.01998656340546	1.74431549978606e-09	2.17646573621955e-08
"MIER2_E"	"MIER2_E"	606	5.99586295278464	2.0240767053757e-09	2.50298771155835e-08
"CNOT4_E"	"CNOT4_E"	359	-5.9639701615282	2.46181713629666e-09	3.00007761277865e-08
"ZSCAN30_E"	"ZSCAN30_E"	304	-5.96346934611167	2.46937796286474e-09	3.00007761277865e-08
"ZNF674_E"	"ZNF674_E"	159	-5.95999587242913	2.52244304638845e-09	3.03789879934609e-08
"ZHX1_D"	"ZHX1_D"	475	5.91263048694487	3.36686926793502e-09	4.01992580697414e-08
"ZNF26_E"	"ZNF26_E"	514	-5.89621516915475	3.71933911776918e-09	4.3951759405154e-08
"ZNF611_E"	"ZNF611_E"	216	-5.89509642664261	3.74462643307449e-09	4.3951759405154e-08
"ZFP62_E"	"ZFP62_E"	393	-5.85367636786223	4.8082384477183e-09	5.59614306730239e-08
"ZNF431_E"	"ZNF431_E"	320	5.825682509753	5.68796596458817e-09	6.56486071746218e-08
"ZNF793_E"	"ZNF793_E"	288	-5.82357039251697	5.76035355131722e-09	6.59346253601186e-08
"IRX4_E"	"IRX4_E"	147	-5.75129056605876	8.85647470820153e-09	1.00542766154583e-07
"THAP3_E"	"THAP3_E"	482	5.74794261426885	9.03358855752784e-09	1.01719676033952e-07
"ELMSAN1_E"	"ELMSAN1_E"	197	-5.69923373780791	1.20347127919443e-08	1.34003093110603e-07
"PRDM15_E"	"PRDM15_E"	374	-5.6983938195657	1.20941419774913e-08	1.34003093110603e-07
"ZNF283_E"	"ZNF283_E"	219	-5.68563790323095	1.30325269257301e-08	1.43254363429652e-07
"ZNF33B_E"	"ZNF33B_E"	474	-5.68048253025195	1.34315271173004e-08	1.46477677617804e-07
"ZNF493_E"	"ZNF493_E"	172	-5.65833755669724	1.52846288921121e-08	1.65384461059182e-07
"KMT2A_C"	"KMT2A_C"	53	-5.65358470419473	1.57135617777346e-08	1.68707620636918e-07
"SFPQ_E"	"SFPQ_E"	544	-5.61297974849539	1.98871882118203e-08	2.10653142712966e-07
"ZSCAN29_E"	"ZSCAN29_E"	430	-5.61265470937636	1.99245932818763e-08	2.10653142712966e-07
"MYNN_D"	"MYNN_D"	459	-5.57175179245114	2.52190545941047e-08	2.64609019794204e-07
"ZNF337_E"	"ZNF337_E"	152	-5.56215405766018	2.66464893973989e-08	2.77484118912763e-07
