"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"TOX4_E"	"TOX4_E"	1197	-22.7023967459364	4.24227133814865e-114	5.87554580333588e-111
"PHF5A_E"	"PHF5A_E"	1701	-19.3995881008067	7.77921680243638e-84	5.38710763568719e-81
"DNAJC2_E"	"DNAJC2_E"	1220	-19.1837632715418	5.05832971989369e-82	2.33526222068425e-79
"NFX1_E"	"NFX1_E"	618	-17.4345591376345	4.51024366331812e-68	1.5616718684239e-65
"PSPC1_E"	"PSPC1_E"	822	-16.9132749713562	3.59180517002997e-64	9.94930032098301e-62
"ZNF800_E"	"ZNF800_E"	773	-16.5219039638002	2.55212567446787e-61	5.89115676523001e-59
"SFPQ_E"	"SFPQ_E"	543	-16.3876807422421	2.3421158255196e-60	4.63404345477806e-58
"ZFP91_E"	"ZFP91_E"	1031	-16.1854206756314	6.3911583672008e-59	1.10646929232164e-56
"TFAM_E"	"TFAM_E"	1317	-15.3840756272555	2.09344834525414e-53	3.22158439797443e-51
"PRDM4_E"	"PRDM4_E"	740	-15.0295540267456	4.70160393323873e-51	6.51172144753565e-49
"NFKBIB_E"	"NFKBIB_E"	806	-14.5742294088947	4.09719694617527e-48	5.15874342768432e-46
"PBRM1_E"	"PBRM1_E"	1035	-14.311891603201	1.84427755211369e-46	2.12860367473121e-44
"ZNF131_E"	"ZNF131_E"	658	-13.7976461145243	2.63310815308416e-43	2.80527291693967e-41
"LYAR_E"	"LYAR_E"	1031	-13.7915973610381	2.86348443273402e-43	2.8328042423833e-41
"KDM2A_E"	"KDM2A_E"	597	-13.5535999327863	7.54377942232759e-42	6.96542299994914e-40
"RC3H2_E"	"RC3H2_E"	886	-13.5198534531364	1.19413437192753e-41	1.03367256569977e-39
"HMGXB4_E"	"HMGXB4_E"	592	-13.5140020193526	1.29297173337682e-41	1.05339167689817e-39
"ZNF35_E"	"ZNF35_E"	569	-13.4762159139184	2.15899081646977e-41	1.66122348933924e-39
"ZBED4_E"	"ZBED4_E"	804	-13.4610056085582	2.65281084633472e-41	1.93375948535452e-39
"GATAD2A_E"	"GATAD2A_E"	957	13.2951115720347	2.47104360377411e-40	1.68086402509573e-38
"ZNF770_E"	"ZNF770_E"	1345	-13.2927997987348	2.54860249292494e-40	1.68086402509573e-38
"ZBTB43_E"	"ZBTB43_E"	359	-13.1422020477789	1.88655622173381e-39	1.18767289413697e-37
"SMARCA5_E"	"SMARCA5_E"	1736	13.0503278535911	6.32745219140837e-39	3.81022664569591e-37
"HMGXB3_E"	"HMGXB3_E"	857	-13.0041782311766	1.15837406344168e-38	6.68478365777805e-37
"CDC5L_E"	"CDC5L_E"	1267	-12.8920953690377	4.98701540123933e-38	2.76280653228659e-36
"KAT6A_E"	"KAT6A_E"	525	-12.8564251393105	7.91534779184542e-38	4.21644488142535e-36
"ADNP2_E"	"ADNP2_E"	271	-12.7571299248442	2.84491117487287e-37	1.43985284499627e-35
"ZNF655_E"	"ZNF655_E"	637	-12.7553433504971	2.9108938382596e-37	1.43985284499627e-35
"ZNF562_E"	"ZNF562_E"	435	-12.1048171191546	9.95910874601468e-34	4.75633297007943e-32
"UBP1_E"	"UBP1_E"	849	-12.0522615389668	1.88700438668344e-33	8.71167025185522e-32
"NFAT5_E"	"NFAT5_E"	847	-11.986240282901	4.19517923057557e-33	1.87429781753134e-31
"KAT5_E"	"KAT5_E"	747	-11.873314664956	1.62883626712428e-32	7.04980696864726e-31
"TSC22D2_E"	"TSC22D2_E"	290	-11.7583359794839	6.39828637200753e-32	2.68534140158498e-30
"DNAJC1_E"	"DNAJC1_E"	1083	-11.6983001996436	1.30032060810834e-31	5.29689424185307e-30
"ETV3_E"	"ETV3_E"	740	11.492039811898	1.4465532374048e-30	5.72421781087328e-29
"MTF1_E"	"MTF1_E"	1326	-11.2252646953744	3.06467372223886e-29	1.17904808480578e-27
"ZBED6_E"	"ZBED6_E"	285	11.2174566992624	3.34759651509761e-29	1.25308680362438e-27
"GMEB1_E"	"GMEB1_E"	780	-11.1654668995719	6.01742003135763e-29	2.19319124827114e-27
"KDM5C_E"	"KDM5C_E"	340	-11.1528188702845	6.9373210017659e-29	2.46363835575533e-27
"FOXJ3_E"	"FOXJ3_E"	1266	-10.6150655989618	2.53616227478711e-26	8.78146187645035e-25
"ZNF778_E"	"ZNF778_E"	436	-10.5483655593433	5.16884031891496e-26	1.74605947358469e-24
"ZNF654_E"	"ZNF654_E"	427	-10.478861204574	1.08036781194244e-25	3.56264147509591e-24
"ARID4B_E"	"ARID4B_E"	557	-10.3930269295446	2.66750509246801e-25	8.59184779783301e-24
"ZBTB5_E"	"ZBTB5_E"	292	-10.3891985412856	2.77676540839487e-25	8.7405002059702e-24
"MLX_E"	"MLX_E"	1339	-10.3148437901395	6.03794156380366e-25	1.85834423685957e-23
"ZNFX1_E"	"ZNFX1_E"	631	-10.3055482673621	6.65113279004254e-25	2.00256932917585e-23
"PURB_E"	"PURB_E"	448	-10.1986544672016	2.01038290536799e-24	5.92421345518015e-23
"MIER3_E"	"MIER3_E"	477	-10.1130900348288	4.83352415957933e-24	1.39467311687862e-22
"ZNF407_E"	"ZNF407_E"	431	-10.1078403927097	5.0995979277101e-24	1.44141696528133e-22
"ZBTB24_E"	"ZBTB24_E"	635	-9.94554528039325	2.63725709746201e-23	7.30520215996978e-22
"ZNF394_E"	"ZNF394_E"	667	-9.90476280076658	3.96910773810336e-23	1.07788514064179e-21
"ZNF317_E"	"ZNF317_E"	705	-9.71056852204695	2.7181671868468e-22	7.23973375727466e-21
"ZNF629_E"	"ZNF629_E"	570	-9.60435739356887	7.6634454966439e-22	2.00261736091543e-20
"MYC_AA"	"MYC_AA"	142	-9.51574053256449	1.80423218182932e-21	4.62752142932149e-20
"ZNF146_E"	"ZNF146_E"	1104	-9.39773959850871	5.57477952713663e-21	1.40383084456077e-19
"ZBTB21_E"	"ZBTB21_E"	379	-9.38089059183836	6.54178009223649e-21	1.61792239781206e-19
"GATAD2B_E"	"GATAD2B_E"	412	9.31110666811363	1.2650725795056e-20	3.0739044256408e-19
"ZNF805_E"	"ZNF805_E"	126	-9.17274859824689	4.61108909226575e-20	1.10109627461863e-18
"ZNF749_E"	"ZNF749_E"	200	-9.16544821577586	4.93414936731569e-20	1.15827065656478e-18
"ZNF121_E"	"ZNF121_E"	777	-9.12545719474922	7.143410014426e-20	1.64893714499667e-18
"ZNF451_E"	"ZNF451_E"	566	-8.8272937687794	1.07238863092545e-18	2.4348495964455e-17
"GMEB2_E"	"GMEB2_E"	598	-8.80695255579929	1.28594089096421e-18	2.87262602255714e-17
"ZFP90_E"	"ZFP90_E"	507	8.76533544081984	1.86221354972732e-18	4.09391391487672e-17
"THAP4_E"	"THAP4_E"	1144	-8.74088883884728	2.31283502879698e-18	5.00511955450597e-17
"PRDM2_E"	"PRDM2_E"	335	-8.66599997358221	4.47567060663388e-18	9.53662121567373e-17
"E2F8_E"	"E2F8_E"	671	-8.57624319270129	9.80221796976759e-18	2.05698058911032e-16
"ZNF791_E"	"ZNF791_E"	389	-8.47105304048911	2.43184466124139e-17	5.02702217286467e-16
"ZNF3_E"	"ZNF3_E"	435	-8.11551977147052	4.83709945635001e-16	9.85203345153641e-15
"GTF3A_E"	"GTF3A_E"	1210	-8.09441006392354	5.75425383388305e-16	1.1550205159316e-14
"AEBP2_E"	"AEBP2_E"	726	-8.08873140243905	6.02893577434108e-16	1.19286800678034e-14
"HIVEP1_E"	"HIVEP1_E"	229	-8.06362527262367	7.40645572327077e-16	1.44478044742676e-14
"ZSCAN26_E"	"ZSCAN26_E"	350	7.99896491581698	1.2546945885217e-15	2.41354445153132e-14
"PRDM15_E"	"PRDM15_E"	374	-7.90265859084212	2.73016632916482e-15	5.17983611766202e-14
"HMG20A_E"	"HMG20A_E"	539	-7.86568533141733	3.67082203604547e-15	6.8703898917878e-14
"ZNF581_E"	"ZNF581_E"	501	-7.82350808097531	5.13712573443895e-15	9.48655885626394e-14
"ZNF26_E"	"ZNF26_E"	513	-7.80605901856132	5.90039581465739e-15	1.07526950043427e-13
"ZNF468_E"	"ZNF468_E"	394	-7.72169931864554	1.14788924455208e-14	2.06470987494109e-13
"ZNF396_E"	"ZNF396_E"	327	-7.70067886739643	1.35345238777176e-14	2.40324558597935e-13
"ZNF398_E"	"ZNF398_E"	358	-7.66284973060879	1.81852078235862e-14	3.18816618172999e-13
"ZNF267_E"	"ZNF267_E"	666	-7.65509940607382	1.93162766721805e-14	3.34413039887125e-13
"ZNF599_E"	"ZNF599_E"	282	7.56206420172268	3.96722468859251e-14	6.78346443666744e-13
"ZNF699_E"	"ZNF699_E"	250	-7.55743740434814	4.11087742690251e-14	6.94337223934143e-13
"IKZF5_E"	"IKZF5_E"	452	-7.529464834162	5.09487046587349e-14	8.50168144004191e-13
"ZNF721_E"	"ZNF721_E"	312	-7.49230493842919	6.76744635931025e-14	1.11582300091008e-12
"TADA2B_E"	"TADA2B_E"	459	-7.37380166733934	1.658298375823e-13	2.70205088295866e-12
"ZNF324B_E"	"ZNF324B_E"	333	-7.33320871413412	2.24706568225987e-13	3.61882089526735e-12
"ZNF672_E"	"ZNF672_E"	537	-7.32899213288953	2.31889996865979e-13	3.69158213401587e-12
"WIZ_E"	"WIZ_E"	909	-7.30806789656765	2.71010853389688e-13	4.26534127209906e-12
"NFXL1_E"	"NFXL1_E"	465	-7.29503423695135	2.98583142020056e-13	4.64649046851435e-12
"ZNF335_E"	"ZNF335_E"	886	-7.21436693560178	5.41854629242608e-13	8.33854068334458e-12
"ZSCAN25_E"	"ZSCAN25_E"	373	-7.18944410775818	6.50556442544955e-13	9.9013260760963e-12
"ZSCAN5A_E"	"ZSCAN5A_E"	476	-7.17669762666204	7.14153929705798e-13	1.07511216591579e-11
"ZNF777_E"	"ZNF777_E"	388	-7.14797950578177	8.80644555315715e-13	1.31149753667986e-11
