"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"GTF3A_E"	"GTF3A_E"	1210	19.3684406843792	1.42508428634689e-83	1.97374173659044e-80
"IKZF5_E"	"IKZF5_E"	452	-16.8124240410605	1.97910200166892e-63	1.37052813615573e-60
"ARID4B_E"	"ARID4B_E"	557	-16.7807208588229	3.3771168250514e-63	1.5591022675654e-60
"ZBTB44_E"	"ZBTB44_E"	471	-15.6349086181777	4.21078492282669e-55	1.45798427952874e-52
"DNAJC1_E"	"DNAJC1_E"	1082	15.0828648960839	2.09957275949026e-51	5.81581654378803e-49
"ZNF292_E"	"ZNF292_E"	394	-14.8644222671166	5.60967200172157e-50	1.29489928706406e-47
"ZNF791_E"	"ZNF791_E"	388	-14.6516972327304	1.31392101495182e-48	2.59968657958325e-46
"CREBZF_E"	"CREBZF_E"	488	-14.1432943002161	2.05437609949402e-45	3.55663862224903e-43
"KAT7_E"	"KAT7_E"	619	-14.0085292725826	1.38238142824095e-44	1.97373058693873e-42
"RCOR3_E"	"RCOR3_E"	568	14.0063686427734	1.42507623605685e-44	1.97373058693873e-42
"E2F8_E"	"E2F8_E"	672	-13.6006427947391	3.96929463767012e-42	4.99770279379374e-40
"ZNF513_E"	"ZNF513_E"	777	13.4019361898404	5.89060871778593e-41	6.79874422844459e-39
"PHF5A_E"	"PHF5A_E"	1701	13.3153077243119	1.88593798741356e-40	2.00924931735984e-38
"ZNF721_E"	"ZNF721_E"	313	-13.2471765399108	4.68499744012838e-40	4.63480103898415e-38
"CNOT4_E"	"CNOT4_E"	359	-12.9519308567991	2.29117780962819e-38	2.11552084422337e-36
"FOXJ3_E"	"FOXJ3_E"	1275	-12.8386724278064	9.95672299327573e-38	8.6187883410543e-36
"ZNF654_E"	"ZNF654_E"	427	-12.7550586777124	2.92154710196741e-37	2.38020160954404e-35
"ZNF451_E"	"ZNF451_E"	566	-12.5800681214852	2.71795404001556e-36	2.09131463634531e-34
"DMTF1_E"	"DMTF1_E"	702	-12.3019286724357	8.84369101408445e-35	6.44658529184577e-33
"ZNF91_E"	"ZNF91_E"	446	12.2511471218831	1.65636291575313e-34	1.14703131915905e-32
"ZNF668_E"	"ZNF668_E"	504	12.2100048971415	2.74872628258291e-34	1.8128504292273e-32
"ZBTB47_E"	"ZBTB47_E"	727	12.0008850012358	3.51517420439473e-33	2.21296194231214e-31
"WIZ_E"	"WIZ_E"	910	11.8776981768804	1.54565122355256e-32	9.30750845487086e-31
"ZNF510_E"	"ZNF510_E"	272	-11.8071705886785	3.58420654042993e-32	2.06838585770644e-30
"ZNF84_E"	"ZNF84_E"	344	-11.5969837146067	4.26859082742876e-31	2.36479931839554e-29
"ZNF397_E"	"ZNF397_E"	424	11.5019142896401	1.29021730621374e-30	6.8728883427155e-29
"ZNF224_E"	"ZNF224_E"	489	11.4635080198766	2.01197043304914e-30	1.03206631473076e-28
"THAP6_E"	"THAP6_E"	488	-11.4223760312647	3.23273049132092e-30	1.59904704659981e-28
"ZNF506_E"	"ZNF506_E"	328	-11.3630199017033	6.3896932510543e-30	3.05162936300352e-28
"ZNF469_E"	"ZNF469_E"	441	11.3095077883766	1.1774820363913e-29	5.43604206800651e-28
"HMGXB4_E"	"HMGXB4_E"	592	-11.3021548683934	1.28037080825932e-29	5.72036635302953e-28
"PRDM2_E"	"PRDM2_E"	335	-11.2508290931946	2.29425248598613e-29	9.92981154090873e-28
"ZNF394_E"	"ZNF394_E"	665	-11.2234395548445	3.12860510503232e-29	1.31306608196054e-27
"ARID4A_E"	"ARID4A_E"	536	-10.9979414026223	3.90955020927137e-28	1.59256677642378e-26
"THAP4_E"	"THAP4_E"	1144	10.9832733771023	4.59949356651372e-28	1.82008531132043e-26
"ZNF383_E"	"ZNF383_E"	223	10.9346314494903	7.87252084947613e-28	3.02873371570123e-26
"GATAD2B_E"	"GATAD2B_E"	411	10.8590461027467	1.80626078095801e-27	6.76127346385632e-26
"ZBTB25_E"	"ZBTB25_E"	373	-10.7803779096661	4.26131442359088e-27	1.55313696754562e-25
"ZNF507_E"	"ZNF507_E"	467	-10.7606942675773	5.27710871425329e-27	1.87405014595918e-25
"ZNF239_E"	"ZNF239_E"	625	10.5633327856498	4.40730345012578e-26	1.52602881960605e-24
"ZNF431_E"	"ZNF431_E"	320	10.4881621307449	9.79144000388605e-26	3.30759619643468e-24
"RFX7_E"	"RFX7_E"	408	-10.4800166667894	1.06724932735613e-25	3.51938171044819e-24
"ZNF182_E"	"ZNF182_E"	374	-10.4731709235189	1.14734057643279e-25	3.69550394967304e-24
"MLX_E"	"MLX_E"	1341	10.4364319695828	1.69045500607787e-25	5.32109132594966e-24
"ZBTB5_E"	"ZBTB5_E"	293	-10.3160609029744	5.96191784001979e-25	1.83494582409498e-23
"ZNF354B_E"	"ZNF354B_E"	384	-10.2560834972007	1.11122682011799e-24	3.34575901274657e-23
"ELK3_E"	"ELK3_E"	1221	-10.2254949220012	1.52447229466568e-24	4.49232793215313e-23
"TSHZ3_E"	"TSHZ3_E"	899	10.1862100229032	2.28499277126903e-24	6.59315622543251e-23
"ZNF615_E"	"ZNF615_E"	192	-10.1798610559998	2.43909389926163e-24	6.89417357240278e-23
"NFKBIB_E"	"NFKBIB_E"	808	10.1755867040702	2.54859447184229e-24	7.05960668700314e-23
