"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"GTF3A_E"	"GTF3A_E"	1208	-35.09404476262	8.3091148634477e-270	1.15081240858751e-266
"PHF5A_E"	"PHF5A_E"	1701	-33.352317684154	6.7422901736306e-244	4.66903594523919e-241
"THAP4_E"	"THAP4_E"	1144	-32.1457989537044	1.01105800480682e-226	4.66771778885813e-224
"ZNF32_E"	"ZNF32_E"	808	-31.9384972533435	7.80430924432241e-224	2.70224207584664e-221
"KDM2A_E"	"KDM2A_E"	597	23.5942656484736	4.41362921062666e-123	1.22257529134359e-120
"ZNF581_E"	"ZNF581_E"	501	-21.6326542795727	8.85394568314134e-104	2.04378579519179e-101
"PBRM1_E"	"PBRM1_E"	1036	21.4248530774217	7.83816724257941e-102	1.55083737585321e-99
"RC3H2_E"	"RC3H2_E"	886	21.172969616519	1.69531394494515e-99	2.93501226718628e-97
"MESP1_E"	"MESP1_E"	491	-21.0340091815927	3.20396276342195e-98	4.93054269704378e-96
"ZNF142_E"	"ZNF142_E"	530	19.9250258211788	2.46918994984778e-88	3.41982808053918e-86
"MIER3_E"	"MIER3_E"	477	19.8379949181666	1.39929209354197e-87	1.76183595414148e-85
"ZNF655_E"	"ZNF655_E"	638	19.1965927731384	3.95179913166269e-82	4.56103483112735e-80
"UBP1_E"	"UBP1_E"	849	18.9800348349145	2.49430562216496e-80	2.6573948359219e-78
"ZNF292_E"	"ZNF292_E"	393	18.2954959208604	8.98794906665582e-75	8.89164961237022e-73
"ZNF524_E"	"ZNF524_E"	826	-17.8979176748973	1.22414127059465e-71	1.13029043984906e-69
"DMTF1_E"	"DMTF1_E"	700	17.8306522024265	4.08626475534883e-71	3.53717292884883e-69
"ZNF276_E"	"ZNF276_E"	780	17.7689801969033	1.22904787556271e-70	1.00131253391433e-68
"FOXJ3_E"	"FOXJ3_E"	1261	17.6510279337517	9.99208485817199e-70	7.68835418253789e-68
"ARID4B_E"	"ARID4B_E"	557	17.5872497127021	3.08490967724476e-69	2.2487367910442e-67
"KDM5C_E"	"KDM5C_E"	340	17.487904043906	1.77153798136339e-68	1.22679005209415e-66
"ZNF81_E"	"ZNF81_E"	341	17.4523850902315	3.3015410845553e-68	2.17744495338528e-66
"THAP7_E"	"THAP7_E"	756	-17.4004788524606	8.18161177271953e-68	5.15069650237116e-66
"DNAJC1_E"	"DNAJC1_E"	1082	-17.2875165618214	5.84152712281028e-67	3.51761524569228e-65
"CREBZF_E"	"CREBZF_E"	486	17.2339273389536	1.47768996327822e-66	8.52750249641807e-65
"RFX7_E"	"RFX7_E"	408	17.1227643731895	1.00392649968723e-65	5.56175280826728e-64
"CIC_E"	"CIC_E"	448	17.0892055500884	1.78590299573756e-65	9.51336788114045e-64
"HMG20A_E"	"HMG20A_E"	540	16.8724423540073	7.17666682842002e-64	3.68136428050434e-62
"ZBTB40_E"	"ZBTB40_E"	357	16.856082201056	9.46594251126696e-64	4.68226084932312e-62
"ZNF787_E"	"ZNF787_E"	660	-16.7134218983607	1.04653858665046e-62	4.99812393969273e-61
"ZNF507_E"	"ZNF507_E"	467	16.6746933675294	2.00236303929509e-62	9.24424269807902e-61
"PRDM15_E"	"PRDM15_E"	374	16.6144803213461	5.47472037682337e-62	2.44596378125818e-60
"MGA_E"	"MGA_E"	825	16.4855645748866	4.65922086802932e-61	2.01656903194394e-59
"ZNF316_E"	"ZNF316_E"	500	16.3274064574316	6.30064320456811e-60	2.64436086009904e-58
"ZGPAT_E"	"ZGPAT_E"	585	-16.2052308734247	4.63144480609137e-59	1.88663266365781e-57
"ZNF445_E"	"ZNF445_E"	420	16.0337752861431	7.42326461143055e-58	2.93749185338038e-56
"ZNF277_E"	"ZNF277_E"	776	-15.9149785059909	4.98841362037248e-57	1.9191535733933e-55
"NFKBIL1_E"	"NFKBIL1_E"	605	-15.8759632436716	9.29725642580217e-57	3.48018922965838e-55
"ZBTB41_E"	"ZBTB41_E"	529	15.6365621373635	4.10288415872486e-55	1.49539330521945e-53
"PURB_E"	"PURB_E"	448	15.5093916814534	2.99704800162517e-54	1.06433627750022e-52
"PRDM2_E"	"PRDM2_E"	335	15.2833433280887	9.87421756895562e-53	3.41894783325088e-51
"ZBTB38_E"	"ZBTB38_E"	541	15.086661914471	1.98219973492673e-51	6.69596739725248e-50
"ZNF280C_E"	"ZNF280C_E"	353	15.0142455571767	5.9231964696005e-51	1.95324455009445e-49
"ZNF451_E"	"ZNF451_E"	565	14.9347775641465	1.95726114172283e-50	6.30420158438632e-49
"HMGXB3_E"	"HMGXB3_E"	856	14.5760841915589	3.98741533164531e-48	1.25512959871108e-46
"ZBTB43_E"	"ZBTB43_E"	359	14.5711885233423	4.28372842532211e-48	1.31843641534914e-46
"ZBTB5_E"	"ZBTB5_E"	290	14.4963177791926	1.27825445060908e-47	3.84865742194257e-46
"VEZF1_E"	"VEZF1_E"	886	14.4809607387288	1.59847192639451e-47	4.71039067671575e-46
"ZNFX1_E"	"ZNFX1_E"	630	14.346781555297	1.11597231855704e-46	3.22004512750313e-45
"ZNF621_E"	"ZNF621_E"	305	14.2609050843285	3.83448866909413e-46	1.08382996055008e-44
"ZNF397_E"	"ZNF397_E"	423	-14.2428166303598	4.96834716062428e-46	1.37623216349293e-44
"BBX_E"	"BBX_E"	737	14.1182477903412	2.93190931207483e-45	7.96214587690911e-44
"ZNF562_E"	"ZNF562_E"	435	13.946987375661	3.28177468779903e-44	8.74088065884935e-43
"ZNF335_E"	"ZNF335_E"	885	13.9282080668269	4.26932889915244e-44	1.11566425006153e-42
"ZNF654_E"	"ZNF654_E"	427	13.9213466085453	4.69965321846853e-44	1.20537401992202e-42
"L3MBTL1_E"	"L3MBTL1_E"	655	13.8380897073166	1.50143859358289e-43	3.78089536747692e-42
"ZNF131_E"	"ZNF131_E"	658	13.8122065495581	2.15139245130498e-43	5.32085454474536e-42
"NFX1_E"	"NFX1_E"	618	13.7523383198842	4.9309655585013e-43	1.19813812254812e-41
"ZNF354B_E"	"ZNF354B_E"	384	13.6335897558977	2.52831152383307e-42	6.03743355260138e-41
"ZNF700_E"	"ZNF700_E"	499	13.6059021053174	3.69382320307655e-42	8.67109345128986e-41
"ZBTB44_E"	"ZBTB44_E"	470	13.5405805715693	9.00741938259054e-42	2.07921264081465e-40
"ZNF236_E"	"ZNF236_E"	354	13.4522888793239	2.984876953344e-41	6.77713865636301e-40
"ZNF770_E"	"ZNF770_E"	1343	13.4474469006919	3.18686802704145e-41	7.11905196363292e-40
"ZNF707_E"	"ZNF707_E"	375	13.4196050698109	4.6418026319519e-41	1.02045978496085e-39
"ZNF407_E"	"ZNF407_E"	431	13.3571566997673	1.07596075667968e-40	2.32844632500212e-39
