"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"GTF3A_E"	"GTF3A_E"	1209	20.2832133163926	1.80917547092483e-91	2.50570802723089e-88
"PHF5A_E"	"PHF5A_E"	1701	17.581824284475	3.39475839066331e-69	2.35087018553434e-66
"THAP4_E"	"THAP4_E"	1144	14.3562536281823	9.73491381315249e-47	4.4942852104054e-44
"NFKBIB_E"	"NFKBIB_E"	805	13.6882803529229	1.19299310939409e-42	4.13073864127702e-40
"MLX_E"	"MLX_E"	1340	12.5461898658052	4.17101665805039e-36	1.15537161427996e-33
"ZNF787_E"	"ZNF787_E"	660	12.4396216406149	1.59256494658579e-35	3.6761707517022e-33
"WIZ_E"	"WIZ_E"	910	12.0946511390883	1.12720061266585e-33	2.23024692648885e-31
"MESP1_E"	"MESP1_E"	492	11.5556497252373	6.91227125174997e-31	1.19668696045921e-28
"ZNF513_E"	"ZNF513_E"	777	11.2959857951151	1.37354126148168e-29	2.11372738572459e-27
"NFKBIE_E"	"NFKBIE_E"	643	10.9547396112487	6.30594620205103e-28	8.73373548984068e-26
"LYAR_E"	"LYAR_E"	1032	10.8138646354991	2.95934225198169e-27	3.72608092635877e-25
"BATF2_E"	"BATF2_E"	224	10.6591498534482	1.5803540185779e-26	1.82399192977532e-24
"DNAJC1_E"	"DNAJC1_E"	1082	10.4521604534382	1.43224804126822e-25	1.52589502858191e-23
"ZNF239_E"	"ZNF239_E"	624	10.1284400303972	4.13188501716575e-24	4.08761482055326e-22
"HMG20B_E"	"HMG20B_E"	808	9.91484401884965	3.58816477536898e-23	3.31307214259069e-21
"ATF5_E"	"ATF5_E"	328	9.7710362663383	1.49910794191867e-22	1.29766531222335e-20
"ZNF32_E"	"ZNF32_E"	808	9.62392063003372	6.33687022477505e-22	5.16268544783144e-20
"CREBZF_E"	"CREBZF_E"	486	-9.46274969139045	2.99949774934025e-21	2.30794687935347e-19
"ZNF771_E"	"ZNF771_E"	388	9.38315459645411	6.40277988747713e-21	4.6672895495557e-19
"FIZ1_E"	"FIZ1_E"	721	-9.35023469985714	8.74534488060268e-21	6.05615132981736e-19
"ZNF672_E"	"ZNF672_E"	536	9.24259569603566	2.40588625545347e-20	1.58673926847765e-18
"ZBTB45_E"	"ZBTB45_E"	654	9.02911665421825	1.73063102759721e-19	1.05052309686493e-17
"ZNF668_E"	"ZNF668_E"	504	9.02823986477033	1.74455099118363e-19	1.05052309686493e-17
"DMTF1_E"	"DMTF1_E"	700	-8.87652898358122	6.89791659455996e-19	3.98067270144398e-17
"ZNF445_E"	"ZNF445_E"	421	-8.70861419997137	3.07612321762879e-18	1.70417226256635e-16
"ZNF35_E"	"ZNF35_E"	569	8.4800262251431	2.25143187647462e-17	1.19932044189129e-15
"ZNF580_E"	"ZNF580_E"	464	8.42661439184114	3.55809965955911e-17	1.82517334388495e-15
"ZNF292_E"	"ZNF292_E"	394	-8.37491061691787	5.52658008384321e-17	2.73368336290102e-15
"RCOR3_E"	"RCOR3_E"	567	8.36186163885093	6.17362231207033e-17	2.94843686283359e-15
"KLF16_E"	"KLF16_E"	765	8.12276851292531	4.55667921930674e-16	2.10366690624661e-14
"GATAD2A_E"	"GATAD2A_E"	955	-8.10204582985194	5.40425762114572e-16	2.4144828404151e-14
"ZNF511_E"	"ZNF511_E"	703	7.97214370385596	1.55945317960414e-15	6.74950829297415e-14
"ZBTB37_E"	"ZBTB37_E"	407	-7.84566006809584	4.30682110122651e-15	1.80755976521173e-13
"ZNF219_E"	"ZNF219_E"	451	7.65247359551088	1.97149599527764e-14	8.03094692193979e-13
"ZSCAN5A_E"	"ZSCAN5A_E"	476	7.57303036423024	3.64617036908867e-14	1.43050892673058e-12
"DNAJC2_E"	"DNAJC2_E"	1219	7.57048651357514	3.71829035106864e-14	1.43050892673058e-12
"ZNF333_E"	"ZNF333_E"	436	-7.53888172524114	4.74018638589063e-14	1.77436706606987e-12
"MGA_E"	"MGA_E"	824	-7.44139714235832	9.96259395877202e-14	3.63110332444717e-12
"THAP7_E"	"THAP7_E"	756	7.4061827750669	1.29986652961614e-13	4.61619267568807e-12
"EPAS1_B"	"EPAS1_B"	40	-7.26792908352512	3.65040328284242e-13	1.26395213668419e-11
"ZBTB44_E"	"ZBTB44_E"	470	-7.23404671604973	4.68810390567745e-13	1.58366436813738e-11
