"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"ZNF239_E"	"ZNF239_E"	625	-14.4903971218257	1.39334920456955e-47	1.92978864832883e-44
"GTF3A_E"	"GTF3A_E"	1210	-13.712227279339	8.57835112728721e-43	5.94050815564639e-40
"PHF5A_E"	"PHF5A_E"	1701	-13.523200471882	1.14101686046484e-41	5.26769450581268e-39
"TONSL_E"	"TONSL_E"	1103	-12.6291664466812	1.4581464843516e-36	5.04883220206742e-34
"PSPC1_E"	"PSPC1_E"	822	-12.1486837378051	5.82965780677321e-34	1.61481521247618e-31
"ZNF485_E"	"ZNF485_E"	386	-11.6047096635291	3.90009056128297e-31	9.00270904562819e-29
"LYAR_E"	"LYAR_E"	1033	-11.0148923890514	3.23923452410662e-28	6.40905687983953e-26
"E2F8_E"	"E2F8_E"	676	-10.9488154147251	6.73222555966371e-28	1.16551655001678e-25
"ZSCAN5A_E"	"ZSCAN5A_E"	476	-9.95113334759128	2.49327353193294e-23	3.83687093525235e-21
"ZNF202_E"	"ZNF202_E"	595	9.85944775385599	6.239159757332e-23	8.64123626390482e-21
"ZNF300_E"	"ZNF300_E"	284	9.09257353224021	9.6722007270785e-20	1.2178180006367e-17
"TADA2A_E"	"TADA2A_E"	330	-8.6397768924917	5.63229011948368e-18	6.50060151290409e-16
"SFPQ_E"	"SFPQ_E"	544	-8.52517852429673	1.52574315936192e-17	1.62550328901251e-15
"MYC_AA"	"MYC_AA"	144	-8.46103806550912	2.65007877104583e-17	2.62168506992748e-15
"ZNF195_E"	"ZNF195_E"	672	-8.30276361647657	1.01717128613563e-16	9.39188154198561e-15
"ZNF749_E"	"ZNF749_E"	200	-8.24273900474999	1.68312455468397e-16	1.45695469264831e-14
"ZNF726_E"	"ZNF726_E"	173	-8.20357933408819	2.3333355643598e-16	1.90098220978725e-14
"ZNF32_E"	"ZNF32_E"	810	-7.86647677831364	3.64768398356282e-15	2.80669017624139e-13
"DNAJC1_E"	"DNAJC1_E"	1083	7.85776691658841	3.91042089671894e-15	2.85049102208197e-13
"THAP4_E"	"THAP4_E"	1144	-7.75024325122056	9.17166836312347e-15	6.351380341463e-13
"ZNF324B_E"	"ZNF324B_E"	333	-7.67766240301907	1.62017783181547e-14	1.06854585574497e-12
"ZNF35_E"	"ZNF35_E"	569	-7.2231679580071	5.07902183734926e-13	3.19747511124033e-11
"ZNF789_E"	"ZNF789_E"	595	-7.19087962160348	6.43752221498805e-13	3.87650794250368e-11
"ZNF287_E"	"ZNF287_E"	498	-7.01568447048573	2.28825934249667e-12	1.32051632889912e-10
"THAP5_E"	"THAP5_E"	331	6.97346288056	3.09233056135543e-12	1.71315113099091e-10
"ZNF654_E"	"ZNF654_E"	427	6.93929381703051	3.9406479057862e-12	2.09915282673611e-10
"IRF6_E"	"IRF6_E"	498	-6.93246312802658	4.13575367065991e-12	2.12148845698666e-10
"ZFP64_E"	"ZFP64_E"	754	-6.87171174371721	6.34360415833332e-12	3.1378184854613e-10
"ZNF684_E"	"ZNF684_E"	225	-6.85352287810988	7.20531221998798e-12	3.44115773264943e-10
"ZNF629_E"	"ZNF629_E"	572	-6.84635050528186	7.57577329931411e-12	3.49748200651668e-10
"ZNF169_E"	"ZNF169_E"	271	-6.80372515965039	1.01947949887595e-11	4.55477130949415e-10
"BARX2_E"	"BARX2_E"	424	-6.75485086404144	1.42982252802559e-11	6.18845062911076e-10
"ZBTB24_E"	"ZBTB24_E"	636	-6.59655894638233	4.20810236707634e-11	1.71986255441765e-09
"ZBED2_E"	"ZBED2_E"	192	-6.59606828377232	4.22204525994224e-11	1.71986255441765e-09
"ZNF440_E"	"ZNF440_E"	410	-6.58428903775176	4.57067196595237e-11	1.80868019224115e-09
"CSRNP1_E"	"CSRNP1_E"	150	6.57075837098276	5.00596381703282e-11	1.92590552405291e-09
"ZNF138_E"	"ZNF138_E"	401	-6.51916006427447	7.07021756363297e-11	2.64655441233288e-09
"ZBTB21_E"	"ZBTB21_E"	380	6.49658891707841	8.2161563964198e-11	2.99457279185301e-09
"TRERF1_E"	"TRERF1_E"	664	-6.4622962371035	1.03125960139482e-10	3.66229371264572e-09
"ZNF675_E"	"ZNF675_E"	361	-6.39661145835288	1.58862882538426e-10	5.50062730789299e-09
"HLX_E"	"HLX_E"	312	6.38639656307537	1.69840220415522e-10	5.73728549452433e-09
"ZNF93_E"	"ZNF93_E"	58	6.31663781010939	2.67315077282619e-10	8.68898446037065e-09
"TFAM_E"	"TFAM_E"	1317	-6.31522637048321	2.69766304545804e-10	8.68898446037065e-09
"E2F4_AA"	"E2F4_AA"	100	-6.17337469040685	6.68475353194337e-10	2.10417810039581e-08
"ZNF3_E"	"ZNF3_E"	435	-6.13279348676552	8.63492089626165e-10	2.65763676473831e-08
"ZNF581_E"	"ZNF581_E"	501	-6.0923505784003	1.11264683070489e-09	3.35003447940495e-08
"PRDM15_E"	"PRDM15_E"	375	-6.0701231526907	1.27812198740974e-09	3.76638075013295e-08
"HIF1A_AA"	"HIF1A_AA"	59	6.02961858438897	1.64347087430217e-09	4.64900002577865e-08
"ZNF121_E"	"ZNF121_E"	782	-6.0294906247751	1.64477257229714e-09	4.64900002577865e-08
"ZNF280C_E"	"ZNF280C_E"	353	-6.0177244107937	1.76886000848898e-09	4.89974222351446e-08
"ZNF736_E"	"ZNF736_E"	353	-6.00767212625544	1.88205955678581e-09	5.11108330617322e-08
"ZNF26_E"	"ZNF26_E"	515	-5.99293681338208	2.06084941236063e-09	5.48899314638361e-08
"ZBED5_E"	"ZBED5_E"	390	-5.8759696066975	4.20375454597592e-09	1.09852831059937e-07
"DMAP1_E"	"DMAP1_E"	921	-5.85104998713465	4.88479375183732e-09	1.21641889037588e-07
"MXD1_E"	"MXD1_E"	434	-5.85087087376349	4.89005763624204e-09	1.21641889037588e-07
"LHX4_E"	"LHX4_E"	337	-5.8499106185234	4.91837240874002e-09	1.21641889037588e-07
"ZNF605_E"	"ZNF605_E"	196	-5.83744427252278	5.30076154589811e-09	1.28799205983665e-07
"ZNF662_E"	"ZNF662_E"	334	-5.8169918224661	5.99160718397677e-09	1.4307544741048e-07
"ZNF311_E"	"ZNF311_E"	197	-5.81029036851849	6.23645796626558e-09	1.4639820819115e-07
"ZNF700_E"	"ZNF700_E"	501	-5.78790715724363	7.12687815852006e-09	1.64512104159171e-07
