"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"PHF5A_E"	"PHF5A_E"	1701	-36.1353700280638	6.31561521583795e-286	8.74712707393555e-283
"GTF3A_E"	"GTF3A_E"	1210	-32.4341776012154	9.05453485114038e-231	6.27026538441471e-228
"THAP4_E"	"THAP4_E"	1144	-27.9560737758707	5.5617022552963e-172	2.56765254119513e-169
"LYAR_E"	"LYAR_E"	1034	-22.2737614243283	6.63879142535629e-110	2.29868153102961e-107
"PSPC1_E"	"PSPC1_E"	822	-21.6763251697081	3.43214062526523e-104	9.5070295319847e-102
"MLX_E"	"MLX_E"	1344	-21.245875619127	3.59928959826187e-100	8.30836015598782e-98
"ZNF239_E"	"ZNF239_E"	626	-20.7413453991276	1.46762845514461e-95	2.90380772910755e-93
"ZNF32_E"	"ZNF32_E"	810	-20.423528443921	1.03325020679663e-92	1.78881442051666e-90
"ZSCAN5A_E"	"ZSCAN5A_E"	476	-16.9524592790802	1.84569149550929e-64	2.84031413475596e-62
"NFKBIB_E"	"NFKBIB_E"	809	-16.6221113409772	4.82046662185969e-62	6.67634627127567e-60
"MESP1_E"	"MESP1_E"	492	-15.9288785890416	3.9945684813392e-57	5.02952486059527e-55
"ZNF35_E"	"ZNF35_E"	569	-15.726391968366	9.97346524131684e-56	1.15110411326865e-53
"TOX4_E"	"TOX4_E"	1197	-15.4948752447439	3.75689314145152e-54	4.00253615454642e-52
"DNAJC2_E"	"DNAJC2_E"	1220	-15.4599739669497	6.46246455105596e-54	6.39322385943751e-52
"ZNF787_E"	"ZNF787_E"	660	-14.7735701494849	2.16911780955853e-49	2.00281877749237e-47
"THAP7_E"	"THAP7_E"	759	-14.2243649293379	6.46889327893335e-46	5.59963574457668e-44
"TFAM_E"	"TFAM_E"	1317	-14.0394914899145	8.93514538693826e-45	7.27951550641735e-43
"ZNF292_E"	"ZNF292_E"	395	13.6895206370269	1.17280413590551e-42	9.02407626793959e-41
"DMTF1_E"	"DMTF1_E"	704	13.6031554208916	3.83522896558485e-42	2.79568006175528e-40
"FIZ1_E"	"FIZ1_E"	721	13.2932165650249	2.53444348948656e-40	1.75510211646944e-38
"KAT5_E"	"KAT5_E"	747	-12.9684056288256	1.84835067554022e-38	1.21903127886819e-36
"ATF5_E"	"ATF5_E"	328	-12.7660094305381	2.53838463526283e-37	1.59802850901773e-35
"ZBTB45_E"	"ZBTB45_E"	655	-12.7378222523976	3.64425688747576e-37	2.19447643006693e-35
"SP100_E"	"SP100_E"	582	12.6451300066632	1.19027496771868e-36	6.86887845954321e-35
"ZNF287_E"	"ZNF287_E"	498	-12.5537976156032	3.78893078755494e-36	2.09906765630544e-34
"DNAJC1_E"	"DNAJC1_E"	1084	-12.3098904540758	8.01318770286809e-35	4.26856344941242e-33
"ZNF672_E"	"ZNF672_E"	536	-12.2097549686045	2.75718280437432e-34	1.41433266076238e-32
"ZBTB37_E"	"ZBTB37_E"	412	11.6770809984309	1.66929966171328e-31	8.25707154097461e-30
"PPP1R13L_E"	"PPP1R13L_E"	608	11.5274014357704	9.59976602680411e-31	4.58471584383575e-29
"ZNF629_E"	"ZNF629_E"	573	-11.5189409106344	1.05904680892541e-30	4.88926610120563e-29
"ZBTB44_E"	"ZBTB44_E"	471	11.4700052083488	1.86648050589411e-30	8.33895322794628e-29
"LRRFIP1_E"	"LRRFIP1_E"	647	-11.3863474010735	4.8906394014095e-30	2.11672986592255e-28
"ZNF485_E"	"ZNF485_E"	387	-11.3619202152059	6.47065121969563e-30	2.71571270887226e-28
"ZNF654_E"	"ZNF654_E"	427	11.2053118918015	3.83998861768498e-29	1.56423065749815e-27
"SP140L_E"	"SP140L_E"	603	11.0923824666145	1.36600407909606e-28	5.40547328442299e-27
"ZNF16_E"	"ZNF16_E"	298	-11.0846451982463	1.48939710954796e-28	5.73004165756645e-27
"ARID4B_E"	"ARID4B_E"	557	11.0144815427152	3.25404584193982e-28	1.2180685111045e-26
"WIZ_E"	"WIZ_E"	911	-10.9578071645291	6.09585223024364e-28	2.22177772075985e-26
"ZNF84_E"	"ZNF84_E"	344	10.7530746008045	5.73185284719289e-27	2.0355426136826e-25
"ZNF195_E"	"ZNF195_E"	673	-10.6970978783799	1.05015852176598e-26	3.63617388161471e-25
"NRL_E"	"NRL_E"	727	-10.4721301666538	1.16002765906959e-25	3.91863001905217e-24
"SP110_E"	"SP110_E"	394	10.4647365731339	1.25424917543735e-25	4.13603597138269e-24
"KLF7_E"	"KLF7_E"	372	10.3489005294632	4.23319083843567e-25	1.36348123517056e-23
"ZBTB41_E"	"ZBTB41_E"	529	10.3257479037081	5.3897115807768e-25	1.69653421349452e-23
"ZHX1_D"	"ZHX1_D"	478	-10.211687967139	1.75779887012191e-24	5.4101143002641e-23
"RCOR3_E"	"RCOR3_E"	568	-10.1769770864522	2.51245154246263e-24	7.5368877631275e-23
"ZNF668_E"	"ZNF668_E"	504	-10.1752416269747	2.55764422286637e-24	7.5368877631275e-23
"ZNF324B_E"	"ZNF324B_E"	333	-10.1439002100635	3.52728976705999e-24	1.01777006820377e-22
"ZNF513_E"	"ZNF513_E"	778	-10.010135816149	1.37563558771281e-23	3.88827609996375e-22
"SMARCC1_D"	"SMARCC1_D"	452	9.99339542920618	1.62904041086054e-23	4.51244193808369e-22
"IKZF5_E"	"IKZF5_E"	453	9.96123694553464	2.25242617060863e-23	6.03563742740719e-22
"THAP10_E"	"THAP10_E"	443	-9.96063582316082	2.26608769837671e-23	6.03563742740719e-22
"ZNF182_E"	"ZNF182_E"	374	9.90707736651675	3.87825106864785e-23	1.01346749624099e-21
"ZNF48_E"	"ZNF48_E"	478	-9.86222121285859	6.06916568726794e-23	1.55662860682706e-21
"ZNF581_E"	"ZNF581_E"	501	-9.75631706955875	1.73335903418714e-22	4.36491320427125e-21
"ZNF160_E"	"ZNF160_E"	200	9.69309217629086	3.22610434618328e-22	7.97884735618543e-21
"ZC3H8_D"	"ZC3H8_D"	397	-9.67161245106868	3.9805621323785e-22	9.67206763744601e-21
