"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"GTF3A_E"	"GTF3A_E"	1210	-27.9265847105314	1.2691349404287e-171	1.75775189249376e-168
"ZNF32_E"	"ZNF32_E"	810	-24.735653409893	4.4240164285093e-135	3.06363137674269e-132
"PHF5A_E"	"PHF5A_E"	1701	-22.51797473981	2.76729269980057e-112	1.27756679640793e-109
"THAP4_E"	"THAP4_E"	1144	-21.1961642544462	1.03604390699453e-99	3.58730202796856e-97
"ZNF239_E"	"ZNF239_E"	626	-18.6339496059782	1.7046795514177e-77	4.72196235742703e-75
"ZFP64_E"	"ZFP64_E"	755	-17.9009023684568	1.16026638111772e-71	2.67828156308006e-69
"THAP10_E"	"THAP10_E"	443	-17.4747127478295	2.23267168844422e-68	4.41750041213606e-66
"LYAR_E"	"LYAR_E"	1034	-17.3270857894875	2.93845654118693e-67	5.08720288692988e-65
"SMARCE1_E"	"SMARCE1_E"	1041	-16.9319810286475	2.61431329617297e-64	4.02313768355508e-62
"MESP1_E"	"MESP1_E"	492	-16.3468509258859	4.58047862290619e-60	6.34396289272508e-58
"ZNF581_E"	"ZNF581_E"	501	-16.2497734763585	2.24191242701044e-59	2.82277155582678e-57
"TONSL_E"	"TONSL_E"	1103	-15.6709607427766	2.38940105591748e-55	2.75776705203809e-53
"ZNF485_E"	"ZNF485_E"	387	-15.0879567269655	1.94368738972635e-51	2.07077464213154e-49
"THAP8_E"	"THAP8_E"	730	-14.7772630638548	2.05342370438272e-49	2.03142273612147e-47
"ZBTB14_E"	"ZBTB14_E"	868	-14.183559349438	1.15819863072355e-45	1.0464395624007e-43
"ZNF287_E"	"ZNF287_E"	498	-14.1805540551803	1.20888324898276e-45	1.0464395624007e-43
"ZNF414_E"	"ZNF414_E"	726	-13.9665468326554	2.49430505308497e-44	2.03212499913099e-42
"CREBL2_E"	"CREBL2_E"	1030	-13.847238957179	1.32196530340039e-43	1.01717885844974e-41
"ZNF524_E"	"ZNF524_E"	826	-13.7560618784525	4.68353103729517e-43	3.41404762455464e-41
"ZNF277_E"	"ZNF277_E"	776	-13.5965716007883	4.1964847165462e-42	2.90606566620824e-40
"ZNF138_E"	"ZNF138_E"	402	-13.5134939871842	1.30192748849509e-41	8.58652176936045e-40
"THAP7_E"	"THAP7_E"	759	-12.90769495283	4.07312066980953e-38	2.56421460349373e-36
"ZNF684_E"	"ZNF684_E"	225	-12.8930353870854	4.92658628497828e-38	2.9666617411717e-36
"ZFP90_E"	"ZFP90_E"	511	-12.7659763808086	2.53946233378227e-37	1.46548138845352e-35
"ZFP69_E"	"ZFP69_E"	166	-12.3650027344512	4.04197569775584e-35	2.23925453655673e-33
"ZNF280D_E"	"ZNF280D_E"	635	-12.2356729971591	2.00436596892195e-34	1.06771033344496e-32
"PSPC1_E"	"PSPC1_E"	822	-12.1739276218678	4.27982073137571e-34	2.1953895233168e-32
"ZNF511_E"	"ZNF511_E"	704	-12.1232165244166	7.95736611224013e-34	3.93605430909021e-32
"TFAM_E"	"TFAM_E"	1317	-11.857070461643	1.97774376997557e-32	9.44543145315917e-31
"MLX_E"	"MLX_E"	1343	-11.7108450009829	1.12156231324294e-31	5.17787934613826e-30
"ZNF22_E"	"ZNF22_E"	438	-11.5825011207026	5.05493474875627e-31	2.2584143958153e-29
"ZFP62_E"	"ZFP62_E"	395	-11.4661074080059	1.95245912865332e-30	8.45048716620263e-29
"TCFL5_E"	"TCFL5_E"	400	-11.0373235663569	2.52440719026915e-28	1.0594860480372e-26
"NRL_E"	"NRL_E"	722	-10.9900339772487	4.26765408449854e-28	1.73844144324426e-26
"ZSCAN26_E"	"ZSCAN26_E"	352	-10.784736572157	4.06406040901859e-27	1.6082067618545e-25
"ZNF33B_E"	"ZNF33B_E"	474	-10.7037697037895	9.77200560403676e-27	3.75950771155303e-25
"ZFP14_E"	"ZFP14_E"	399	-10.658959308841	1.58359485029708e-26	5.92778072340934e-25
"ZNF691_E"	"ZNF691_E"	446	-10.6530764079188	1.68696074358954e-26	6.14852797334609e-25
"E2F8_E"	"E2F8_E"	680	-10.6242802857594	2.29777694562692e-26	8.16005402485457e-25
"NFKBIL1_E"	"NFKBIL1_E"	604	-10.5571803363856	4.70585311731597e-26	1.62940164187066e-24
"TBPL1_E"	"TBPL1_E"	542	-10.5155627559621	7.32422332107268e-26	2.47415836577699e-24
"ZNF664_E"	"ZNF664_E"	692	-10.3970938439218	2.55610210972975e-25	8.42905100470407e-24
"ZNF195_E"	"ZNF195_E"	673	-10.3283380443409	5.24616359382205e-25	1.68975269242873e-23
"TADA2A_E"	"TADA2A_E"	330	-10.3008201055874	6.98631296606491e-25	2.19910078590907e-23
"ZNF300_E"	"ZNF300_E"	285	10.2883966876006	7.94888913834279e-25	2.39956623835276e-23
"ZFP69B_E"	"ZFP69B_E"	391	-10.2881451433962	7.96967848117163e-25	2.39956623835276e-23
"THAP6_E"	"THAP6_E"	487	-10.2210826080914	1.59548916857894e-24	4.70160106059964e-23
"ZNF362_E"	"ZNF362_E"	666	-10.0969760373937	5.69719052538456e-24	1.643876849512e-22
"ZNF16_E"	"ZNF16_E"	298	-10.0856890829352	6.39151349813944e-24	1.80658085610676e-22
"ZBTB45_E"	"ZBTB45_E"	655	-10.0371209571303	1.04685014395097e-23	2.8997748987442e-22
"ZNF512_E"	"ZNF512_E"	444	-10.0125494276185	1.34247627890342e-23	3.64574440447301e-22
