"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"GTF3A_E"	"GTF3A_E"	1208	-38.0741874397728	0	0
"PHF5A_E"	"PHF5A_E"	1699	-34.6533141169961	3.98195966882937e-263	2.74755217149226e-260
"THAP4_E"	"THAP4_E"	1142	-32.4200743125878	1.43110066457869e-230	6.58306305706195e-228
"ZNF32_E"	"ZNF32_E"	804	-31.9900958465715	1.49743283702865e-224	5.16614328774885e-222
"KDM2A_E"	"KDM2A_E"	594	23.3895646388392	5.4577046090517e-121	1.50632647209827e-118
"MESP1_E"	"MESP1_E"	482	-22.2435355523796	1.30275911303634e-109	2.99634595998358e-107
"PBRM1_E"	"PBRM1_E"	1034	22.0844543624942	4.45899127551385e-108	8.79058280029873e-106
"RC3H2_E"	"RC3H2_E"	886	21.6398343461656	7.57749805911995e-104	1.30711841519819e-101
"ZNF581_E"	"ZNF581_E"	499	-20.3742203437416	2.83189141852728e-92	4.3422335084085e-90
"ZNF292_E"	"ZNF292_E"	392	20.3463825282879	4.99827018477748e-92	6.89761285499293e-90
"ARID4B_E"	"ARID4B_E"	557	19.9586304936027	1.26121403064858e-88	1.58225032935913e-86
"ZNF142_E"	"ZNF142_E"	526	19.8461137801834	1.19060840129366e-87	1.36919966148771e-85
"FOXJ3_E"	"FOXJ3_E"	1205	19.8180078486098	2.08188360376954e-87	2.20999951784767e-85
"ZNF655_E"	"ZNF655_E"	635	19.5227576044297	7.03376229260707e-85	6.93327997414125e-83
"MIER3_E"	"MIER3_E"	477	19.111325141709	2.03241823328213e-81	1.86982477461956e-79
"ZNF787_E"	"ZNF787_E"	658	-19.0944714051979	2.80683927317856e-81	2.4208988731165e-79
"THAP7_E"	"THAP7_E"	749	-18.8686458120514	2.06523223140857e-79	1.67648263490814e-77
"MGA_E"	"MGA_E"	791	18.8603150168157	2.41775148403731e-79	1.85360947109527e-77
"DMTF1_E"	"DMTF1_E"	686	18.7576049004349	1.67791778997519e-78	1.21869818429777e-76
"ZNF524_E"	"ZNF524_E"	822	-18.4588658143087	4.42536917099903e-76	3.05350472798933e-74
"HMG20A_E"	"HMG20A_E"	538	18.3729575145151	2.16297818514947e-75	1.42138566452679e-73
"CREBZF_E"	"CREBZF_E"	481	18.3609544877446	2.69822680898132e-75	1.6925240892701e-73
"RFX7_E"	"RFX7_E"	408	18.1351351846806	1.68284751060961e-73	1.00970850636577e-71
"KDM5C_E"	"KDM5C_E"	337	17.9569304815371	4.23594093991017e-72	2.43566604044835e-70
"UBP1_E"	"UBP1_E"	846	17.9331411889783	6.50013379066604e-72	3.58807385244765e-70
"ZNF507_E"	"ZNF507_E"	465	17.8304956879483	4.09772014356168e-71	2.17494376850582e-69
"ZBTB40_E"	"ZBTB40_E"	353	17.5804287329256	3.47935465602534e-69	1.77833682419073e-67
"ZNF445_E"	"ZNF445_E"	417	17.3200331659601	3.32166260876677e-67	1.63710514289219e-65
