"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"GTF3A_E"	"GTF3A_E"	1210	20.4453975903562	6.6018179627126e-93	9.14351787835695e-90
"ARID4B_E"	"ARID4B_E"	557	-17.3153305723518	3.60446455276017e-67	2.49609170278642e-64
"IKZF5_E"	"IKZF5_E"	452	-17.138261575063	7.69161130818097e-66	3.55096055394355e-63
"ZBTB44_E"	"ZBTB44_E"	471	-16.1071076920992	2.2741498165286e-58	7.87424373973027e-56
"DNAJC1_E"	"DNAJC1_E"	1082	15.600822269617	7.18625419955217e-55	1.99059241327595e-52
"ZNF292_E"	"ZNF292_E"	394	-15.534564452517	2.02442972797543e-54	4.67305862207661e-52
"ZNF791_E"	"ZNF791_E"	388	-15.0398798707082	4.02279412894648e-51	7.9593855265584e-49
"CREBZF_E"	"CREBZF_E"	488	-14.7476952265279	3.18352162665303e-49	5.51147181614306e-47
"RCOR3_E"	"RCOR3_E"	568	14.4646191452006	2.02723981385804e-47	3.11969682465932e-45
"KAT7_E"	"KAT7_E"	619	-14.3874729819216	6.20209282226293e-47	8.32707254114984e-45
"PHF5A_E"	"PHF5A_E"	1701	14.3830289026905	6.61355941896377e-47	8.32707254114984e-45
"ZNF721_E"	"ZNF721_E"	313	-13.5802947731748	5.24150669899416e-42	6.04957231508909e-40
"E2F8_E"	"E2F8_E"	675	-13.506516366622	1.43135923588769e-41	1.52494810900343e-39
"ZNF513_E"	"ZNF513_E"	777	13.4728653964203	2.25925151649304e-41	2.2350452502449e-39
"FOXJ3_E"	"FOXJ3_E"	1276	-13.3851819284341	7.38164029420633e-41	6.81571453831718e-39
"CNOT4_E"	"CNOT4_E"	359	-13.2313849960266	5.78121341963199e-40	5.00436286636894e-38
"ZNF654_E"	"ZNF654_E"	427	-13.157113745592	1.54890478471488e-39	1.26190183931183e-37
"ZNF451_E"	"ZNF451_E"	566	-13.0366622932895	7.56990144920591e-39	5.82461861508344e-37
"DMTF1_E"	"DMTF1_E"	702	-12.9882205266084	1.42706603162402e-38	1.0402560283154e-36
"ZNF91_E"	"ZNF91_E"	447	12.6163215104271	1.71653830996593e-36	1.18870277965141e-34
"ZNF668_E"	"ZNF668_E"	504	12.219263978792	2.45295431698441e-34	1.61778177572543e-32
"ZNF510_E"	"ZNF510_E"	272	-12.0235514048968	2.67233772845042e-33	1.68235806995629e-31
"THAP4_E"	"THAP4_E"	1144	12.0007655020054	3.52025347715114e-33	2.11980481124101e-31
"ZNF397_E"	"ZNF397_E"	424	11.9672810240787	5.27283534308082e-33	3.04286539590289e-31
"ZNF84_E"	"ZNF84_E"	344	-11.9457745913623	6.83109434529776e-33	3.78442626729496e-31
"PRDM2_E"	"PRDM2_E"	335	-11.8147302888818	3.27598531335487e-32	1.74509217653711e-30
"ZNF224_E"	"ZNF224_E"	489	11.8068843082713	3.5964280809017e-32	1.84483440446254e-30
"WIZ_E"	"WIZ_E"	910	11.7355974095587	8.37329966145205e-32	4.14179286825396e-30
"HMGXB4_E"	"HMGXB4_E"	592	-11.7223836640151	9.78785864130343e-32	4.67454628213974e-30
"ZNF506_E"	"ZNF506_E"	329	-11.6740263821916	1.73035472405293e-31	7.98847097604438e-30
"ZBTB47_E"	"ZBTB47_E"	728	11.6701542383498	1.81094622752681e-31	8.09084040362785e-30
"THAP6_E"	"THAP6_E"	488	-11.5879780856397	4.74194332085943e-31	2.05237234355947e-29
"ARID4A_E"	"ARID4A_E"	536	-11.3931758570923	4.52201615015187e-30	1.8978764751395e-28
"ZNF507_E"	"ZNF507_E"	467	-11.3333204142478	8.97370888549421e-30	3.6554667077675e-28
"ZNF394_E"	"ZNF394_E"	666	-11.3216945831304	1.02471711808328e-29	4.05495202441526e-28
"GATAD2B_E"	"GATAD2B_E"	411	11.1182485644769	1.02259726651504e-28	3.93415892812036e-27
"ZBTB25_E"	"ZBTB25_E"	373	-11.097384616023	1.29168513811065e-28	4.8350916656304e-27
"ZNF469_E"	"ZNF469_E"	442	11.0907106441567	1.3917768176986e-28	5.0726602434541e-27
"RFX7_E"	"RFX7_E"	408	-11.0543759862805	2.08783643618917e-28	7.41449606185129e-27
"ZNF383_E"	"ZNF383_E"	223	11.0414382898987	2.41141908756494e-28	8.34953859069361e-27
"MLX_E"	"MLX_E"	1341	10.852970699008	1.93047095840181e-27	6.52122506679634e-26
"ZNF431_E"	"ZNF431_E"	320	10.8201189562178	2.76418375960176e-27	9.11522501678199e-26
"ZNF655_E"	"ZNF655_E"	639	-10.800525958276	3.42237473968742e-27	1.10232302662025e-25
"ZBTB5_E"	"ZBTB5_E"	293	-10.7972164289403	3.5479688522171e-27	1.11680383189107e-25
"ZNF239_E"	"ZNF239_E"	625	10.7634840729269	5.11971764959942e-27	1.57573532104338e-25
"ZNF182_E"	"ZNF182_E"	374	-10.7509820611659	5.86339783672544e-27	1.76539260953581e-25
"ZNF354B_E"	"ZNF354B_E"	384	-10.7320902869087	7.19499369312724e-27	2.12022686488962e-25
"ZNF445_E"	"ZNF445_E"	423	-10.6470385942182	1.80000409830739e-26	5.19376182532446e-25
"MESP1_E"	"MESP1_E"	495	10.6089393972235	2.708055246786e-26	7.65440105469104e-25
"ZNF141_E"	"ZNF141_E"	303	-10.553621110344	4.88763004225972e-26	1.35387352170594e-24
"NFKBIB_E"	"NFKBIB_E"	808	10.5119362004577	7.61145822081505e-26	2.06703326192722e-24
"MGA_E"	"MGA_E"	832	-10.4770033738926	1.10179645730034e-25	2.93459248723262e-24
"ZBTB1_E"	"ZBTB1_E"	255	10.4101447309265	2.22882545549762e-25	5.82438350163058e-24
"ZNF615_E"	"ZNF615_E"	192	-10.331953099144	5.05212699730671e-25	1.29577701690181e-23
"ZBTB37_E"	"ZBTB37_E"	409	-10.1860973014553	2.28764275142643e-24	5.76070038313747e-23
"HMG20A_E"	"HMG20A_E"	540	-10.1610729253387	2.95803115905174e-24	7.2420774885556e-23
