"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"PHF5A_E"	"PHF5A_E"	1701	27.5968590575634	1.21360288488879e-167	1.68083999557098e-164
"DNAJC1_E"	"DNAJC1_E"	1083	24.8420942065359	3.14812034023181e-136	2.18007333561053e-133
"GTF3A_E"	"GTF3A_E"	1210	24.0796854949532	4.08118732415918e-128	1.88414814798682e-125
"LYAR_E"	"LYAR_E"	1033	23.1748347335137	8.16969776356794e-119	2.8287578506354e-116
"TFAM_E"	"TFAM_E"	1317	20.1624627742261	2.09205519933843e-90	5.79499290216745e-88
"DNAJC2_E"	"DNAJC2_E"	1220	19.7524774219099	7.63775593455157e-87	1.76304866155899e-84
"PSPC1_E"	"PSPC1_E"	822	19.6938322612317	2.43548191921459e-86	4.8187749401603e-84
"CDC5L_E"	"CDC5L_E"	1267	18.5198499783506	1.42834487986347e-76	2.47282207326362e-74
"SMARCE1_E"	"SMARCE1_E"	1042	17.795521630014	7.6551235503735e-71	1.17803845747414e-68
"MLX_E"	"MLX_E"	1344	16.6090509446545	5.99339031012727e-62	8.30084557952626e-60
"SMARCA5_E"	"SMARCA5_E"	1742	-16.5099129298878	3.11332170678507e-61	3.91995505808847e-59
"TOX4_E"	"TOX4_E"	1197	16.3498882558466	4.35778403684304e-60	5.02960907585634e-58
"ZNF35_E"	"ZNF35_E"	569	15.7037604661977	1.42536434244506e-55	1.51856124175878e-53
"ZFP91_E"	"ZFP91_E"	1031	14.8599605550801	5.99604818435965e-50	5.9318048109558e-48
"ZNF239_E"	"ZNF239_E"	625	14.5855845698428	3.46937414520366e-48	3.20338879407138e-46
"ZFP69B_E"	"ZFP69B_E"	391	14.3617983265516	8.98646744274616e-47	7.77891088012714e-45
"BARX2_E"	"BARX2_E"	420	-13.4266793464749	4.21910255342691e-41	3.43732766852722e-39
"UBP1_E"	"UBP1_E"	848	13.204557457373	8.25836197811976e-40	6.35435074427548e-38
"ZSCAN5A_E"	"ZSCAN5A_E"	476	13.1272141952202	2.29961647246602e-39	1.67629937598181e-37
"THAP4_E"	"THAP4_E"	1144	13.071529988714	4.78924725397244e-39	3.31655372337592e-37
"IRF6_E"	"IRF6_E"	495	-12.981692469138	1.55408057223239e-38	1.02495313930565e-36
"ZNF146_E"	"ZNF146_E"	1108	12.9735238206489	1.72895261059332e-38	1.08845425712352e-36
"ZBED4_E"	"ZBED4_E"	809	12.680216775743	7.61210535010393e-37	4.58381126517128e-35
"PBRM1_E"	"PBRM1_E"	1036	12.4064134375303	2.41218151367659e-35	1.39202974851753e-33
"GATAD2A_E"	"GATAD2A_E"	956	-12.2820018580636	1.13163024339778e-34	6.2692315484237e-33
"ELK3_E"	"ELK3_E"	1220	-12.2639286686486	1.41471002400824e-34	7.53605147404387e-33
"E2F8_E"	"E2F8_E"	674	12.2081501624084	2.81210180164759e-34	1.44250407232663e-32
"NFKBIB_E"	"NFKBIB_E"	807	11.992871511872	3.8724405059786e-33	1.91547503599299e-31
"ZNF513_E"	"ZNF513_E"	777	11.79094785832	4.34621746132535e-32	2.07569351170193e-30
"PRDM4_E"	"PRDM4_E"	740	11.6979227873917	1.30611577280177e-31	6.02990115110153e-30
"PHTF1_E"	"PHTF1_E"	577	11.2043601766082	3.88148126806617e-29	1.73414566331344e-27
"KAT5_E"	"KAT5_E"	747	11.0788355594328	1.58925978867138e-28	6.8785150228433e-27
"ZNF668_E"	"ZNF668_E"	503	11.0228036361984	2.96672190389238e-28	1.24512419299726e-26
"ATF5_E"	"ATF5_E"	328	10.9652955414505	5.6116911395012e-28	2.28593889064975e-26
"TBPL1_E"	"TBPL1_E"	542	10.9347148099421	7.86528916656278e-28	3.1124072844827e-26
"ZNF215_E"	"ZNF215_E"	287	10.6747617977217	1.33599729062307e-26	5.13987846531376e-25
"WIZ_E"	"WIZ_E"	911	10.6646049586033	1.49031008017678e-26	5.57859313795902e-25
"ZNF800_E"	"ZNF800_E"	774	10.5721709308171	4.01100459040411e-26	1.46190562044992e-24
"TONSL_E"	"TONSL_E"	1102	10.5560043531935	4.76515914920589e-26	1.69224241580773e-24
"MYCL_E"	"MYCL_E"	379	-10.1307786143599	4.0342411234299e-24	1.3968559889876e-22
"ZNF664_E"	"ZNF664_E"	691	10.0244582697713	1.1901043564031e-23	4.02023056980071e-22
"ARNTL2_E"	"ARNTL2_E"	689	9.98522986086232	1.76890615450398e-23	5.8331786285429e-22
"ZFP1_E"	"ZFP1_E"	381	9.97705228961434	1.92088588822442e-23	6.18703943067633e-22
"ZNF770_E"	"ZNF770_E"	1351	9.93116475571678	3.04675537558904e-23	9.59035498907005e-22
"HMGXB4_E"	"HMGXB4_E"	592	9.90136080757793	4.10648866276635e-23	1.26388595509586e-21
"ZNF131_E"	"ZNF131_E"	658	9.85227998437316	6.70064025437264e-23	2.01747538093611e-21
