"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"PHF5A_E"	"PHF5A_E"	1701	-20.4212681128563	1.08218366334504e-92	1.49882437373289e-89
"GTF3A_E"	"GTF3A_E"	1210	-19.9995957292168	5.55206834880377e-89	3.84480733154661e-86
"ZNF239_E"	"ZNF239_E"	625	-17.8889490584737	1.43794796894989e-71	6.638526456652e-69
"PSPC1_E"	"PSPC1_E"	822	-17.4382930695801	4.22505378777775e-68	1.46292487401805e-65
"LYAR_E"	"LYAR_E"	1033	-16.5877825571105	8.54162286112778e-62	2.3660295325324e-59
"TONSL_E"	"TONSL_E"	1103	-15.8998481453841	6.35185328192255e-57	1.46621946591046e-54
"E2F8_E"	"E2F8_E"	675	-15.0003240511837	7.30617471503024e-51	1.44557885433098e-48
"ZNF485_E"	"ZNF485_E"	386	-13.5785437182416	5.36831935956832e-42	9.29390289125266e-40
"ZSCAN5A_E"	"ZSCAN5A_E"	476	-13.0721852651239	4.74816397209934e-39	7.3068967792862e-37
"ZNF202_E"	"ZNF202_E"	595	11.4946483849521	1.40351354912218e-30	1.94386626553421e-28
"THAP4_E"	"THAP4_E"	1144	-11.4195052609486	3.34130576074099e-30	4.20700770784207e-28
"ZNF300_E"	"ZNF300_E"	284	10.9934276494642	4.11014420297568e-28	4.74379143426777e-26
"TFAM_E"	"TFAM_E"	1317	-10.9412600348439	7.31757456665813e-28	7.79603136524731e-26
"ZNF35_E"	"ZNF35_E"	568	-10.8702103019389	1.59832005325593e-27	1.58119519554247e-25
"ZNF195_E"	"ZNF195_E"	672	-10.8025569298356	3.3474943875987e-27	3.09085315121613e-25
"ZNF32_E"	"ZNF32_E"	810	-10.638641868482	1.96979515460129e-26	1.70510393070174e-24
"TADA2A_E"	"TADA2A_E"	330	-10.4606072074281	1.31013357741345e-25	1.06737353218684e-23
"SFPQ_E"	"SFPQ_E"	544	-10.4319722066953	1.77172154528082e-25	1.36324130011886e-23
"ZNF726_E"	"ZNF726_E"	173	-9.87247286325393	5.47967574868145e-23	3.99439521680201e-21
"MYC_AA"	"MYC_AA"	144	-9.85089989882444	6.7932974588075e-23	4.7043584902242e-21
"ZNF287_E"	"ZNF287_E"	498	-9.8144802093079	9.75393687204417e-23	6.43295360370532e-21
"ZNF749_E"	"ZNF749_E"	200	-9.53899111281346	1.44228543134684e-21	9.0798423746153e-20
"DNAJC2_E"	"DNAJC2_E"	1220	-9.4859886785047	2.40096111152173e-21	1.44579614759026e-19
"ZFP64_E"	"ZFP64_E"	754	-9.46033163283653	3.06968076105357e-21	1.771461605858e-19
"UBP1_E"	"UBP1_E"	848	-9.18747341579622	4.02176398851853e-20	2.22805724963926e-18
"ZBTB24_E"	"ZBTB24_E"	636	-8.91909796627807	4.70101387357505e-19	2.50419392880825e-17
"ZNF324B_E"	"ZNF324B_E"	333	-8.75782697375206	1.99050401984111e-18	1.02105483980738e-16
"E2F4_AA"	"E2F4_AA"	100	-8.32196752302279	8.65150188721041e-17	4.27940361206658e-15
"ZNF684_E"	"ZNF684_E"	225	-8.23579040606202	1.78375987169425e-16	8.51899111136738e-15
"ZNF138_E"	"ZNF138_E"	401	-8.10224129085338	5.39557945093434e-16	2.49095917984802e-14
"ZNF93_E"	"ZNF93_E"	58	8.02637884550444	1.00391881152381e-15	4.48525017406606e-14
"MLX_E"	"MLX_E"	1344	-8.01115970907384	1.13631768311222e-15	4.91812497222009e-14
"ZNF629_E"	"ZNF629_E"	572	-7.93451128053227	2.11325814356639e-15	8.86928039042258e-14
"ZNF280C_E"	"ZNF280C_E"	353	-7.58518119752148	3.32022731714073e-14	1.35250436301174e-12
"ZNF789_E"	"ZNF789_E"	595	-7.57406943441235	3.61710929253188e-14	1.43134182004476e-12
"WIZ_E"	"WIZ_E"	911	-7.4619811370155	8.52310896688057e-14	3.27902942198044e-12
"THAP10_E"	"THAP10_E"	442	-7.41422747067628	1.22335792694633e-13	4.57932629410992e-12
"CSRNP1_E"	"CSRNP1_E"	150	7.37929877012118	1.59125386567395e-13	5.79970158936426e-12
"ZNF3_E"	"ZNF3_E"	435	-7.35668219290257	1.88537495482781e-13	6.69549823701672e-12
"E2F1_AA"	"E2F1_AA"	111	-7.13286157864872	9.83034061834773e-13	3.4037554391029e-11
