"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"GTF3A_E"	"GTF3A_E"	1209	-36.1648588304802	2.17317037225165e-286	3.00984096556853e-283
"PHF5A_E"	"PHF5A_E"	1701	-34.3252057229343	3.30211043296711e-258	2.28671147482973e-255
"THAP4_E"	"THAP4_E"	1144	-32.961597704117	2.88561396973608e-238	1.33219178269482e-235
"ZNF32_E"	"ZNF32_E"	808	-32.5171326642404	6.10605705459073e-232	2.11422225515204e-229
"KDM2A_E"	"KDM2A_E"	598	23.955954948776	8.0098721147719e-127	2.21873457579182e-124
"ZNF581_E"	"ZNF581_E"	501	-21.8197373878707	1.507223400579e-105	3.47917401633653e-103
"MESP1_E"	"MESP1_E"	492	-21.7185768624471	1.36956202125557e-104	2.70977628491281e-102
"PBRM1_E"	"PBRM1_E"	1036	21.6759341867338	3.46141378738562e-104	5.99257261941136e-102
"RC3H2_E"	"RC3H2_E"	886	21.5197644486777	1.0167767299907e-102	1.56470641226346e-100
"ZNF142_E"	"ZNF142_E"	530	20.3816924019663	2.43102901134216e-92	3.36697518070889e-90
"MIER3_E"	"MIER3_E"	477	20.0910602848534	8.83550398012523e-90	1.11247027386122e-87
"ZNF655_E"	"ZNF655_E"	639	19.5479978516208	4.29030846179743e-85	4.95173101632454e-83
"UBP1_E"	"UBP1_E"	849	19.0610161381005	5.32309111807025e-81	5.67113938348254e-79
"ZNF292_E"	"ZNF292_E"	394	18.7714680767797	1.29263513742027e-78	1.27878547523362e-76
"DMTF1_E"	"DMTF1_E"	700	18.4309312678946	7.41948234107884e-76	6.85065536159613e-74
"ZNF524_E"	"ZNF524_E"	826	-18.2938849224537	9.25760100495717e-75	8.01361086991605e-73
"ARID4B_E"	"ARID4B_E"	557	18.0573572637177	6.90501443180645e-73	5.62555587532467e-71
"ZNF276_E"	"ZNF276_E"	781	17.9869968670519	2.4635188099092e-72	1.89554086206902e-70
"FOXJ3_E"	"FOXJ3_E"	1265	17.9724532339346	3.20235099227761e-72	2.33434532858131e-70
