,1,2,3,4,5,6
6044STDY8640561,323,4753,1565,0,0,0
6044STDY8640562,17,6146,1219,0,0,0
6044STDY8640563,798,5241,2697,0,0,0
6044STDY8640564,1332,5579,1218,0,0,0
6044STDY8640565,1625,4040,1698,0,0,0
6044STDY8640566,706,5249,2499,0,0,0
Pla_Camb10123928,0,0,0,1754,1487,163
Pla_Camb10123929,0,0,0,6067,786,274
Pla_Camb10123930,0,0,0,2582,4065,220
Pla_Camb10123931,0,0,0,4014,4484,146
Pla_Camb10123932,0,0,0,2288,1051,64
Pla_Camb10123933,0,0,0,3029,1190,166
Pla_Camb10123934,0,0,0,4522,1035,1329
Pla_Camb10123935,0,0,0,3925,2319,692
