,Empty_droplet_sum,Cell_sum,Soup_probability,Selected
RTN4RL1,1.0,0.0,1.0,False
TEX2,341.0,181.0,0.6532567049808429,False
PRRG1,3682.0,2230.0,0.6228010825439784,True
HHATL,1.0,0.0,1.0,False
AC011287.2,6.0,4.0,0.6,True
ZNF287,46.0,26.0,0.6388888888888888,False
PCCB,1695.0,728.0,0.6995460173338837,False
AMZ2,1581.0,822.0,0.6579275905118602,False
NIPAL1,3746.0,2285.0,0.6211241916763389,True
AGPAT3,659.0,334.0,0.6636455186304129,False
PI16,3.0,3.0,0.5,True
PKD2L2,42.0,33.0,0.56,True
AC010273.1,41.0,17.0,0.7068965517241379,False
AL138828.1,143.0,61.0,0.7009803921568627,False
GJB5,44.0,24.0,0.6470588235294118,False
GATD3A,111.0,74.0,0.6,True
FPR1,23.0,13.0,0.6388888888888888,False
OSBPL7,42.0,27.0,0.6086956521739131,True
OGFRL1,2641.0,1318.0,0.6670876483960596,False
SLC25A17,2121.0,1310.0,0.6181871174584669,True
LIMCH1,12102.0,6614.0,0.646612524043599,False
SCAI,390.0,271.0,0.5900151285930408,True
CTDP1,839.0,419.0,0.6669316375198728,False
LINC01748,18.0,11.0,0.6206896551724138,True
NEU2,1.0,0.0,1.0,False
NDUFS5,32719.0,15030.0,0.6852290100316237,False
CHGB,9.0,7.0,0.5625,True
AC026979.3,30.0,13.0,0.6976744186046512,False
BSG,39960.0,23428.0,0.6304032308954376,True
CHUK,915.0,480.0,0.6559139784946236,False
AL645940.1,43.0,34.0,0.5584415584415584,True
C12orf56,364.0,232.0,0.610738255033557,True
FANCE,2812.0,1620.0,0.6344765342960289,False
AADACL4,1.0,0.0,1.0,False
TMEM92-AS1,2.0,0.0,1.0,False
FBXL12,1644.0,909.0,0.6439482961222092,False
RUFY1,1448.0,770.0,0.6528403967538323,False
AC008741.1,1.0,0.0,1.0,False
TMEM74,29.0,15.0,0.6590909090909091,False
NME1-NME2,2.0,0.0,1.0,False
COX15,1864.0,1077.0,0.6337980278816729,False
SNN,272.0,152.0,0.6415094339622641,False
AL121753.1,1.0,0.0,1.0,False
ITFG2,636.0,481.0,0.5693822739480752,True
EN2,6.0,4.0,0.6,True
RNF187,4514.0,2360.0,0.6566773348850742,False
GNL1,3452.0,1902.0,0.6447515875980575,False
SDHAF4,652.0,333.0,0.6619289340101523,False
ELOVL1,6121.0,3709.0,0.6226856561546287,True
NUDT16,1576.0,875.0,0.6430028559771522,False
AC097478.3,5.0,5.0,0.5,True
MAP3K2,3715.0,1999.0,0.6501575078753937,False
PPM1D,846.0,387.0,0.6861313868613139,False
SLFNL1,3.0,0.0,1.0,False
AC080013.6,16.0,7.0,0.6956521739130435,False
SLC25A11,4235.0,2207.0,0.6574045327538032,False
PDCL,2557.0,1381.0,0.6493143727780599,False
USP5,2294.0,936.0,0.7102167182662539,False
GCOM1,32.0,24.0,0.5714285714285714,True
NFU1,1924.0,939.0,0.6720223541739434,False
DDR2,37.0,27.0,0.578125,True
LINC02207,2.0,0.0,1.0,False
TH,2675.0,2034.0,0.5680611594818433,True
KIAA0513,330.0,162.0,0.6707317073170732,False
ISYNA1,5119.0,2855.0,0.6419613744670178,False
NPC1,2719.0,1578.0,0.632767046776821,False
UFL1,4589.0,2610.0,0.6374496457841367,False
AC103764.1,17.0,14.0,0.5483870967741935,True
AL050343.2,26.0,22.0,0.5416666666666666,True
OTULINL,259.0,177.0,0.5940366972477065,True
AL031005.1,2.0,0.0,1.0,False
AC009303.2,4.0,0.0,1.0,False
GPSM3,31.0,21.0,0.5961538461538461,True
OR2T2,1.0,0.0,1.0,False
AL138760.1,2.0,0.0,1.0,False
CD37,6.0,0.0,1.0,False
SMPDL3B,49.0,21.0,0.7,False
KLHL7-DT,21.0,14.0,0.6,True
AP000646.1,3.0,0.0,1.0,False
OPTN,8113.0,4472.0,0.6446563369090187,False
GYPA,3.0,0.0,1.0,False
AC096582.3,47.0,36.0,0.5662650602409639,True
SGSM3,571.0,321.0,0.6401345291479821,False
TDRD12,33.0,23.0,0.5892857142857143,True
LINC01208,1.0,0.0,1.0,False
TMEM98,43.0,34.0,0.5584415584415584,True
AP002812.2,1.0,0.0,1.0,False
PIAS4,1787.0,830.0,0.6828429499426825,False
AC012157.1,4.0,3.0,0.5714285714285714,True
AL592295.3,1.0,0.0,1.0,False
GAS2L3,120.0,73.0,0.6217616580310881,True
INHBA-AS1,51.0,25.0,0.6710526315789473,False
ZNF552,601.0,394.0,0.6040201005025125,True
C9orf116,272.0,148.0,0.6476190476190476,False
CEMP1,1.0,0.0,1.0,False
AL136962.1,466.0,330.0,0.585427135678392,True
PRSS57,8.0,7.0,0.5333333333333333,True
TOMM22,4862.0,2875.0,0.6284089440351558,True
ABCG8,21.0,13.0,0.6176470588235294,True
SCYGR4,17.0,9.0,0.6538461538461539,False
PMS1,460.0,292.0,0.6117021276595744,True
C18orf32,2742.0,1582.0,0.6341350601295097,False
U62317.3,149.0,79.0,0.6535087719298246,False
ANKS3,791.0,532.0,0.5978835978835979,True
IFT172,36.0,23.0,0.6101694915254238,True
ALDH1A1,3.0,3.0,0.5,True
FBXO17,155.0,119.0,0.5656934306569343,True
AC078927.1,1.0,0.0,1.0,False
AL022476.1,63.0,38.0,0.6237623762376238,True
FAM241B,574.0,337.0,0.6300768386388584,True
