,Empty_droplet_sum,Cell_sum,Soup_probability,Selected
AL627309.1,24.0,19.0,0.5581395348837209,False
AL627309.3,1.0,0.0,1.0,False
AL627309.4,2.0,0.0,1.0,False
AL732372.1,174.0,132.0,0.5686274509803921,False
AC114498.1,64.0,37.0,0.6336633663366337,False
AL669831.2,0.0,5.0,0.0,True
AL669831.5,50.0,159.0,0.2392344497607655,True
LINC00115,12.0,30.0,0.2857142857142857,True
FAM41C,26.0,48.0,0.3513513513513513,True
AL645608.3,2.0,0.0,1.0,False
SAMD11,5.0,11.0,0.3125,True
NOC2L,1040.0,1395.0,0.4271047227926078,False
KLHL17,151.0,331.0,0.3132780082987552,True
PLEKHN1,114.0,191.0,0.3737704918032787,True
PERM1,5.0,13.0,0.2777777777777778,True
AL645608.8,11.0,19.0,0.3666666666666666,True
HES4,1570.0,2344.0,0.4011241696474195,True
ISG15,35176.0,33293.0,0.513750748513926,False
AL645608.2,0.0,4.0,0.0,True
AGRN,761.0,1683.0,0.3113747954173486,True
RNF223,326.0,603.0,0.3509149623250807,True
C1orf159,488.0,741.0,0.3970707892595606,True
LINC01342,2.0,0.0,1.0,False
AL390719.2,2.0,0.0,1.0,False
TTLL10-AS1,1.0,0.0,1.0,False
TTLL10,11.0,9.0,0.55,False
TNFRSF4,9.0,6.0,0.6,False
SDF4,11094.0,11989.0,0.4806134384612052,False
B3GALT6,463.0,813.0,0.3628526645768025,True
C1QTNF12,795.0,835.0,0.4877300613496932,False
AL162741.1,1.0,6.0,0.1428571428571428,True
UBE2J2,1612.0,1910.0,0.457694491766042,False
LINC01786,4.0,0.0,1.0,False
SCNN1D,31.0,47.0,0.3974358974358974,True
ACAP3,591.0,1136.0,0.3422119281991893,True
PUSL1,533.0,647.0,0.4516949152542373,False
INTS11,1130.0,1651.0,0.4063286587558432,True
CPTP,514.0,527.0,0.4937560038424591,False
TAS1R3,4.0,4.0,0.5,False
DVL1,1733.0,2110.0,0.4509497788186313,False
MXRA8,3834.0,4793.0,0.4444186855221977,False
AURKAIP1,8168.0,9236.0,0.4693173982992416,False
CCNL2,1761.0,3255.0,0.3510765550239234,True
MRPL20,7369.0,7800.0,0.485793394422836,False
AL391244.3,11.0,34.0,0.2444444444444444,True
ANKRD65,33.0,126.0,0.2075471698113207,True
TMEM88B,1.0,0.0,1.0,False
LINC01770,7.0,9.0,0.4375,False
VWA1,3294.0,7517.0,0.3046896679308112,True
ATAD3C,40.0,62.0,0.392156862745098,True
ATAD3B,322.0,436.0,0.4248021108179419,False
ATAD3A,712.0,728.0,0.4944444444444444,False
TMEM240,32.0,45.0,0.4155844155844156,True
SSU72,4122.0,5859.0,0.4129846708746618,True
AL645728.1,33.0,101.0,0.2462686567164179,True
FNDC10,17.0,54.0,0.2394366197183098,True
AL691432.2,42.0,62.0,0.4038461538461538,True
MIB2,565.0,889.0,0.3885832187070151,True
MMP23B,59.0,114.0,0.3410404624277456,True
CDK11B,1178.0,1342.0,0.4674603174603174,False
FO704657.1,33.0,31.0,0.515625,False
SLC35E2B,186.0,317.0,0.3697813121272366,True
CDK11A,445.0,617.0,0.4190207156308851,False
SLC35E2A,137.0,217.0,0.3870056497175141,True
NADK,1470.0,1161.0,0.5587229190421893,False
GNB1,6957.0,7545.0,0.4797269342159702,False
AL109917.1,11.0,5.0,0.6875,False
CALML6,3.0,7.0,0.3,True
TMEM52,43.0,74.0,0.3675213675213675,True
CFAP74,77.0,75.0,0.506578947368421,False
AL391845.2,2.0,0.0,1.0,False
GABRD,6.0,11.0,0.3529411764705882,True
AL391845.1,3.0,0.0,1.0,False
PRKCZ,8439.0,6689.0,0.5578397673188789,False
AL590822.2,54.0,172.0,0.2389380530973451,True
PRKCZ-AS1,6.0,13.0,0.3157894736842105,True
FAAP20,2904.0,4355.0,0.4000551040088166,True
SKI,272.0,344.0,0.4415584415584415,False
MORN1,38.0,63.0,0.3762376237623762,True
RER1,7312.0,10933.0,0.4007673335160318,True
PEX10,593.0,617.0,0.4900826446280992,False
PLCH2,1.0,0.0,1.0,False
AL139246.1,0.0,3.0,0.0,True
PANK4,441.0,381.0,0.5364963503649635,False
HES5,12.0,44.0,0.2142857142857142,True
AL139246.5,115.0,226.0,0.3372434017595307,True
TNFRSF14-AS1,1.0,0.0,1.0,False
TNFRSF14,43.0,87.0,0.3307692307692307,True
FAM213B,16.0,8.0,0.6666666666666666,False
TTC34,2.0,7.0,0.2222222222222222,True
LINC00982,1.0,0.0,1.0,False
PRDM16,45.0,136.0,0.2486187845303867,True
ARHGEF16,2061.0,3333.0,0.382091212458287,True
AL512413.1,16.0,64.0,0.2,True
MEGF6,34.0,129.0,0.2085889570552147,True
TPRG1L,1585.0,1387.0,0.5333109017496636,False
WRAP73,514.0,672.0,0.433389544688027,False
TP73,6.0,16.0,0.2727272727272727,True
CCDC27,4.0,0.0,1.0,False
SMIM1,1967.0,2931.0,0.4015924867292773,True
LRRC47,1279.0,1246.0,0.5065346534653465,False
AL365330.1,11.0,15.0,0.4230769230769231,False
CEP104,877.0,1049.0,0.4553478712357217,False
DFFB,343.0,562.0,0.3790055248618784,True
C1orf174,863.0,1509.0,0.3638279932546374,True
LINC01134,12.0,17.0,0.4137931034482758,True
LINC01346,1.0,0.0,1.0,False
AL805961.1,3.0,5.0,0.375,True
AL805961.2,11.0,10.0,0.5238095238095238,False
AJAP1,0.0,3.0,0.0,True
NPHP4,46.0,58.0,0.4423076923076923,False
KCNAB2,19.0,29.0,0.3958333333333333,True
CHD5,1.0,7.0,0.125,True
RPL22,52489.0,55381.0,0.486594975433392,False
AL031847.1,5.0,3.0,0.625,False
RNF207,223.0,593.0,0.2732843137254901,True
ICMT,2166.0,1762.0,0.5514256619144603,False
LINC00337,104.0,117.0,0.4705882352941176,False
GPR153,2.0,0.0,1.0,False
ACOT7,897.0,550.0,0.6199032480995162,False
AL031848.2,9.0,37.0,0.1956521739130435,True
HES2,2242.0,1561.0,0.5895345779647646,False
ESPN,134.0,167.0,0.4451827242524916,False
TNFRSF25,330.0,776.0,0.298372513562387,True
PLEKHG5,336.0,413.0,0.4485981308411215,False
NOL9,495.0,505.0,0.495,False
TAS1R1,1.0,3.0,0.25,True
ZBTB48,204.0,334.0,0.379182156133829,True
KLHL21,350.0,327.0,0.51698670605613,False
PHF13,574.0,679.0,0.4581005586592179,False
THAP3,267.0,327.0,0.4494949494949495,False
DNAJC11,1044.0,1021.0,0.5055690072639225,False
LINC01672,3.0,0.0,1.0,False
AL591163.1,1.0,8.0,0.1111111111111111,True
CAMTA1,3271.0,3575.0,0.4777972538708735,False
VAMP3,2207.0,2501.0,0.4687765505522515,False
PER3,34.0,88.0,0.2786885245901639,True
TNFRSF9,10.0,30.0,0.25,True
PARK7,9193.0,10314.0,0.4712667247654688,False
AL034417.4,4.0,43.0,0.0851063829787234,True
AL034417.3,8.0,82.0,0.0888888888888888,True
ERRFI1,8072.0,5506.0,0.5944910885255561,False
AL034417.2,34.0,54.0,0.3863636363636363,True
