Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
QSOX1,1.11737075501256,0,0,2.017221,0.752255,0.944635,0.630619
FSTL3,1.56288173358494,0,0,3.245848,1.445125,0.965845,0.788185
LGALS1,1.62966939693338,0,0,2.210094,0.383073,0.811993,0.336785
COL4A1,1.26271633244642,0,0,1.966994,0.566905,0.85995,0.503177
CDKN1C,1.03154345217729,0,0,3.932624,2.838275,0.996101,0.951636
TFPI,1.15760700188878,0,0,2.366395,1.142838,0.946507,0.797599
SLC16A3,0.84975429628914,0,0,1.832852,0.93709,0.941516,0.734173
ADAM12,0.939705287854478,0,0,1.909639,0.966629,0.945259,0.733584
ITGA5,0.780866470763101,0,0,1.201886,0.316517,0.813475,0.327724
SLCO4A1,0.782726233892307,0,0,1.15735,0.318808,0.798269,0.310544
CSH1,1.71449031472823,0,0,3.680763,1.378905,0.923893,0.781713
NOTUM,1.55102723778443,0,0,2.258447,0.335505,0.74345,0.320428
HLA-G,1.19205251161592,0,0,2.339279,1.118354,0.794448,0.61285
MYCNUT,0.701244469148128,0,0,0.963109,0.181419,0.719432,0.195105
EBI3,0.82790650134541,0,0,2.745196,1.788107,0.988381,0.891269
CALU,0.759348193136972,0,0,1.64362,0.831106,0.910402,0.695222
TACSTD2,-0.607442915326274,0,0,0.098167,0.701403,0.114161,0.53895
CD63,0.703965904791644,0,0,2.888072,2.112018,0.992904,0.977406
ADAM19,0.831048255517742,0,0,1.171093,0.150206,0.681067,0.17157
NUCB2,0.730816335575743,0,0,1.555242,0.859533,0.934264,0.707696
ISM2,0.961017160044568,0,0,2.419777,1.233181,0.944791,0.769122
CCNE1,0.92170723066394,0,0,1.845805,0.811309,0.87383,0.612262
COL4A2,0.848688096845282,0,0,1.75402,0.799978,0.884825,0.657096
SERPINE2,1.18170390889075,0,0,1.818411,0.317122,0.745087,0.319252
MFAP5,0.863190590949116,0,0,2.049857,0.959013,0.9182,0.698282
HTRA4,1.12422079194067,0,0,1.628791,0.226573,0.686135,0.230878
MFAP2,0.546154554922447,0,0,0.715715,0.061864,0.600749,0.079077
ABCA7,0.596858943948687,0,0,0.886449,0.238687,0.743294,0.281243
DIO2,0.891606871165708,0,0,1.765376,0.922889,0.910948,0.618028
SSR3,0.694502955666523,0,0,1.534267,0.781801,0.900343,0.692163
FLT1,1.01417061068758,0,0,2.955894,1.956121,0.982143,0.880442
SH3BP5,0.676669590061208,0,0,1.301018,0.632167,0.904164,0.557778
LVRN,0.804061688848868,0,0,1.062683,0.137763,0.61112,0.150977
MEST,-0.563421408749822,0,0,0.229737,0.881718,0.273939,0.682043
TIMP2,0.683548758755026,0,0,1.222941,0.327927,0.756472,0.33149
PDLIM1,-0.564610877501846,0,0,0.264971,0.853408,0.301388,0.68828
PGF,0.786536221125259,0,0,1.954042,1.127391,0.933094,0.805719
AES,0.620521204969229,0,0,1.644665,0.944472,0.928026,0.767004
LYN,0.4581518508489,0,0,0.587642,0.129547,0.629367,0.170511
MMP2,0.895743553063288,0,0,1.123077,0.119553,0.562149,0.130854
LHFPL6,0.600074191695207,0,0,1.114374,0.443106,0.817764,0.46105
CBLB,0.490476997791634,0,0,0.644533,0.141453,0.629913,0.18828
TINAGL1,-0.480322678215207,0,0,0.136716,0.634057,0.164223,0.558602
PLAU,-0.485275096315205,0,0,0.172059,0.669685,0.203759,0.603318
TUBB6,0.64880403664013,0,0,1.15861,0.432154,0.752417,0.469405
PSG2,0.721154466453735,0,0,1.007825,0.183459,0.614863,0.181925
CEBPB,0.634083089741857,0,0,1.76724,1.113783,0.960153,0.793834
NR2F2,-0.586424027298385,0,0,0.462988,1.083621,0.525967,0.798423
TGFB1,0.631088786393664,0,0,1.250369,0.63572,0.888178,0.552365
RRBP1,0.648354447848222,0,0,1.481446,0.764501,0.883734,0.647682
GCM1,0.526131687083721,0,0,0.798433,0.205191,0.676232,0.24241
MYDGF,0.573174259567125,0,0,1.825189,1.202429,0.960309,0.854907
MCAM,0.668571619387401,0,0,0.873301,0.063364,0.518169,0.071664
PHLDA2,0.886416219293256,0,0,2.868591,1.829331,0.97068,0.859496
BGN,0.650901048102792,0,0,0.928293,0.150389,0.623284,0.162273
GJA5,0.648994879768395,0,0,1.524462,0.76822,0.871803,0.630501
IL10RA,0.459928110494637,0,0,0.58158,0.109193,0.56792,0.137679
PEG10,-0.753507009774414,0,0,0.618302,1.511616,0.497895,0.813956
ARPC1B,0.58318880453022,0,0,1.420725,0.724996,0.8665,0.650153
SERPINF1,-0.695571754646632,0,0,0.817811,1.570632,0.659467,0.87197
PAG1,0.353333228959396,0,0,0.400745,0.038655,0.483546,0.05213
PYCARD,-0.474046190049118,0,0,0.241898,0.731854,0.268403,0.628736
HLA-E,0.563937946386171,0,0,1.436517,0.817886,0.91126,0.693222
C15orf48,0.910130200926553,0,0,1.121819,0.204599,0.561993,0.191692
LOXL1,0.331741198338428,0,0,0.377068,0.041108,0.469744,0.059896
SSR4,0.536902344548581,0,0,1.945956,1.371562,0.970836,0.897505
ITM2B,0.600981686361068,0,0,2.812761,2.075168,0.989785,0.972346
BZW2,0.553027411283113,0,0,1.561916,1.006155,0.917031,0.782537
PDE6H,0.451315380715626,0,0,0.618513,0.039766,0.507486,0.049306
PEG3,-0.632940325786513,0,0,0.741161,1.481917,0.553805,0.862321
LY6K,0.568727964563054,0,0,1.439716,0.826758,0.901513,0.656154
PYCR1,0.401187338036622,0,0,0.525349,0.085206,0.528852,0.121793
CDC37,0.55465837991344,0,0,1.322569,0.684465,0.862056,0.656272
PAGE4,-0.662752031981308,0,0,0.417373,1.139944,0.409623,0.701577
SELENOM,0.483046687322052,0,0,0.847044,0.267997,0.720446,0.306896
LAMA4,0.351822909417256,0,0,0.383254,0.05048,0.439099,0.067781
DSEL,0.469212804029318,0,0,0.717653,0.206427,0.651747,0.235349
ADM,0.642494709081954,0,0,1.737895,1.1103,0.951809,0.753942
SEC61G,0.52935411715232,0,0,1.641149,1.076555,0.939956,0.817957
RABAC1,0.518199242331098,0,0,1.534953,0.931028,0.920306,0.766063
SH3BGRL3,0.595711003731094,0,0,1.375251,0.633714,0.840143,0.58602
ASCL2,0.615652403784945,0,0,1.769342,1.060638,0.928493,0.701812
PPIB,0.527112711684342,0,0,2.615372,2.053148,0.9869,0.964698
CSF2RB,0.420206189251663,0,0,0.632607,0.116561,0.593731,0.144152
ANXA4,0.542113092186327,0,0,1.29242,0.7271,0.867358,0.643092
C12orf75,0.560931314511261,0,0,2.127604,1.50059,0.96257,0.891151
VASP,0.484547509901663,0,0,1.028209,0.456616,0.785948,0.512474
TUBA1C,0.697552893037854,0,0,1.840275,1.051522,0.892545,0.76265
RALBP1,0.567930491894432,0,0,0.909213,0.309256,0.662898,0.360791
ADGRG6,0.480225661955551,0,0,0.72983,0.18722,0.610184,0.241351
SYDE1,0.383478187674772,0,0,0.592956,0.195322,0.65549,0.244293
ITGB1,0.565314372839987,0,0,2.119566,1.442497,0.952277,0.888797
ACTB,0.60348181115878,0,0,3.495405,2.760269,0.994619,0.985879
TFRC,-0.637545588137636,0,0,0.659088,1.372795,0.528852,0.85373
EVA1B,0.576675344143902,0,0,1.167839,0.500418,0.749688,0.517769
HAPLN3,0.58524494744465,0,0,0.98874,0.380071,0.687227,0.300894
LRRC32,0.343817072058084,0,0,0.374474,0.040761,0.393793,0.049541
APLP2,-0.484711566718993,0,0,0.882683,1.422003,0.787976,0.893857
HEG1,0.379976389693976,0,0,0.523963,0.074985,0.510059,0.093434
APOC1,0.38733078977722,0,0,0.600844,0.18694,0.623596,0.244175
FADS3,0.41573223113739,0,0,0.717834,0.183449,0.626949,0.23429
TSPO,0.423466683836272,0,0,0.721189,0.146452,0.548581,0.18675
PPIC,0.444724128055083,0,0,0.857742,0.346996,0.697988,0.364909
PPARG,0.417744571896741,0,0,0.815562,0.377249,0.764426,0.440927
COTL1,0.515349648479572,0,0,1.900488,1.281013,0.94674,0.841845
HSD3B1,0.510530354122997,0,0,1.197449,0.599446,0.841391,0.551306
GRB2,0.4769026060269,0,0,1.584963,1.056698,0.940658,0.801953
TMED9,0.466023612646215,0,0,1.89898,1.374058,0.962492,0.898564
LGALS3,0.574596612612465,0,0,1.874069,1.216036,0.921319,0.830431
NRK,-0.344242591974064,0,0,0.131264,0.513345,0.158063,0.516357
IL1R1,0.362941709650172,0,0,0.560739,0.154098,0.581488,0.208402
AP3S1,0.430739661176562,0,0,0.923538,0.479342,0.798893,0.528242
AC211486.5,0.271867764110016,0,0,0.314652,0.034997,0.425842,0.043893
MXRA7,0.33224125753118,0,0,0.50488,0.115716,0.522224,0.15486
EDEM2,0.369138004236046,0,0,0.668467,0.253987,0.677168,0.32996
PRKAG2,0.342525686437868,0,0,0.552927,0.147188,0.598643,0.196281
ABCG2,0.455312175491289,0,0,0.974106,0.549679,0.791485,0.549894
PTPRF,0.517461902887653,0,0,1.751686,1.134849,0.934498,0.824665
C4orf48,0.398854220706285,0,0,0.753815,0.253801,0.665393,0.317251
TIMP1,0.360949674806348,0,0,0.526486,0.056116,0.454694,0.077312
CENPX,0.481876975082872,0,0,1.022,0.480402,0.761853,0.510238
TUBB2A,0.418745075964024,0,0,0.652699,0.124436,0.548815,0.151094
PLA2G16,-0.513278763911857,0,0,0.80193,1.422262,0.653384,0.899035
TMEM134,0.376495905612801,0,0,0.725805,0.29317,0.698846,0.368204
AIF1L,0.334371267567089,0,0,0.520788,0.115738,0.521444,0.15686
