Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
FSTL3,2.27218798265002,0,0,3.245848,0.97366,0.965845,0.556822
LGALS1,1.89498546132511,0,0,2.210094,0.315108,0.811993,0.281919
COL4A1,1.52067570435238,0,0,1.966994,0.446319,0.85995,0.419573
SLCO4A1,0.96179796259268,0,0,1.15735,0.195552,0.798269,0.196747
NOTUM,1.96824931240829,0,0,2.258447,0.290198,0.74345,0.252109
LHFPL6,0.8922162537499,0,0,1.114374,0.222157,0.817764,0.242781
ASCL2,1.23132447916383,0,0,1.769342,0.538018,0.928493,0.405175
QSOX1,1.3183165302028,0,0,2.017221,0.698905,0.944635,0.530662
DIO2,1.3149586336939,0,0,1.765376,0.450418,0.910948,0.330994
HLA-G,1.79771090019385,0,0,2.339279,0.541568,0.794448,0.331846
PLAC8,1.19306174809944,0,0,1.83424,0.641178,0.952043,0.455224
TPM1,1.86509836655386,0,0,3.802464,1.937366,0.993606,0.799968
COL4A2,1.14371718110015,0,0,1.75402,0.610302,0.884825,0.542383
ITGA5,0.922691360333698,0,0,1.201886,0.279194,0.813475,0.284758
ADAM19,1.00146775130889,0,0,1.171093,0.169625,0.681067,0.192691
C12orf75,1.17908043183128,0,0,2.127604,0.948523,0.96257,0.654526
ABCA7,0.716617224292853,0,0,0.886449,0.169832,0.743294,0.20855
PTPRF,1.02158472437309,0,0,1.751686,0.730101,0.934498,0.613441
ADAM12,1.15931387325458,0,0,1.909639,0.750325,0.945259,0.538043
EFNA1,1.20009300100126,0,0,2.084349,0.884256,0.967717,0.582576
GJA5,0.945271348578115,0,0,1.524462,0.579191,0.871803,0.525349
SERPINE2,1.40720289266587,0,0,1.818411,0.411208,0.745087,0.373662
ISM2,1.31956212722718,0,0,2.419777,1.100214,0.944791,0.715161
TFPI,1.33487958324634,0,0,2.366395,1.031515,0.946507,0.669614
EBI3,1.46106411201963,0,0,2.745196,1.284132,0.988381,0.630151
HAPLN3,0.805844818326211,0,0,0.98874,0.182895,0.687227,0.15404
MMP2,1.00455658203053,0,0,1.123077,0.11852,0.562149,0.117091
SLC16A3,0.940988748521507,0,0,1.832852,0.891863,0.941516,0.693016
PDE6H,0.579485559067236,0,0,0.618513,0.039028,0.507486,0.045668
CCNE1,1.05534301951572,0,0,1.845805,0.790462,0.87383,0.612062
IL10RA,0.518696431228894,0,0,0.58158,0.062884,0.56792,0.082982
MCAM,0.786061403320424,0,0,0.873301,0.08724,0.518169,0.08574
SELENOM,0.648952325737946,0,0,0.847044,0.198092,0.720446,0.237265
CSH1,2.29623829956002,0,0,3.680763,1.384524,0.923893,0.608858
TUBB6,0.802810292232376,0,0,1.15861,0.3558,0.752417,0.40846
TMSB10,1.10851372055807,0,0,4.514278,3.405764,0.999532,0.977247
HTRA4,1.27214141171384,0,0,1.628791,0.356649,0.686135,0.254867
PYCR1,0.460686651067314,0,0,0.525349,0.064662,0.528852,0.093324
GRB2,0.764530140367911,0,0,1.584963,0.820433,0.940658,0.708063
MFAP2,0.590708493770119,0,0,0.715715,0.125007,0.600749,0.136316
NRIP1,0.867094689512648,0,0,1.594895,0.727801,0.938241,0.612589
FLT1,1.41986939952967,0,0,2.955894,1.536025,0.982143,0.752393
AFAP1,0.582523784602451,0,0,0.820755,0.238231,0.767857,0.281757
SH3BP5,0.790357491480917,0,0,1.301018,0.510661,0.904164,0.469379
TUBB2A,0.561988138405442,0,0,0.652699,0.09071,0.548815,0.116645
CALD1,0.863608584069147,0,0,2.207883,1.344275,0.979414,0.83355
TSPO,0.617874078021484,0,0,0.721189,0.103315,0.548581,0.131246
TGFB1,0.789187580698575,0,0,1.250369,0.461182,0.888178,0.388384
COTL1,0.910814238904757,0,0,1.900488,0.989674,0.94674,0.688555
LOXL1,0.346234805752654,0,0,0.377068,0.030833,0.469744,0.053618
PAG1,0.367967772286105,0,0,0.400745,0.032778,0.483546,0.048589
TNNI2,1.10329236068551,0,0,1.715577,0.612285,0.849579,0.409677
KRT19,1.02743807199464,0,0,3.586223,2.558785,0.999064,0.939974
C1QTNF6,0.635604853491481,0,0,0.94555,0.309945,0.769417,0.31907
SSR3,0.761007939719268,0,0,1.534267,0.773259,0.900343,0.682714
LY6K,0.773398227075786,0,0,1.439716,0.666318,0.901513,0.587281
PEG10,-1.48797678427113,0,0,0.618302,2.106278,0.497895,0.778675
HSPG2,0.697639952521728,0,0,0.913182,0.215542,0.651279,0.252109
TINAGL1,-0.750763359193293,0,0,0.136716,0.88748,0.164223,0.647104
IGF2-1,0.904138233000655,0,0,1.723099,0.818961,0.936681,0.626379
MXRA7,0.422552624212733,0,0,0.50488,0.082327,0.522224,0.114049
CAPG,0.63235021053129,0,0,0.929666,0.297315,0.711323,0.325722
B3GNT7,0.322194099445027,0,0,0.348949,0.026755,0.429897,0.038814
TCF7L2,0.720576348555536,0,0,1.319758,0.599181,0.892623,0.564609
GPC1,0.640391624661057,0,0,1.075917,0.435526,0.835075,0.474043
LAMA4,0.35042873620893,0,0,0.383254,0.032825,0.439099,0.04798
VASP,0.613871688489723,0,0,1.028209,0.414337,0.785948,0.476882
LIMA1,0.711921987048007,0,0,1.635424,0.923502,0.9352,0.728585
P4HA2,0.360873650237597,0,0,0.448589,0.087715,0.555287,0.139641
SH3BGRL3,0.756009601158352,0,0,1.375251,0.619242,0.840143,0.584645
PLTP,0.497086774144419,0,0,0.569372,0.072285,0.466001,0.105451
KRT23,-0.784407080315222,0,0,0.135274,0.919681,0.169994,0.643048
PAGE4,-1.27280473081103,0,0,0.417373,1.690178,0.409623,0.717229
TIMP1,0.460957873622182,0,0,0.526486,0.065528,0.454694,0.080305
IL2RB,0.363015538576674,0,0,0.397853,0.034838,0.407751,0.044046
DUSP9,-0.761825722871407,0,0,0.190339,0.952165,0.255381,0.624027
DSEL,0.525930828164493,0,0,0.717653,0.191722,0.651747,0.213741
B2M,0.886455616899359,0,0,3.815746,2.92929,0.998986,0.968162
MYCNUT,0.658143526614622,0,0,0.963109,0.304965,0.719432,0.259572
CALU,0.733896800321218,0,0,1.64362,0.909723,0.910402,0.707536
LINC02246,0.399330109442123,0,0,0.467236,0.067906,0.476606,0.093324
ITGB1,0.802663111676395,0,0,2.119566,1.316903,0.952277,0.815785
PRSS8,0.828119118152797,0,0,1.824573,0.996454,0.967483,0.647631
HLA-E,0.673223213467691,0,0,1.436517,0.763294,0.91126,0.660164
ITGA1,0.36747238679645,0,0,0.407676,0.040204,0.406114,0.053942
TUBA1C,0.83219159628705,0,0,1.840275,1.008083,0.892545,0.738238
MFAP5,0.948677716136697,0,0,2.049857,1.101179,0.9182,0.674846
ACTB,0.853741424955155,0,0,3.495405,2.641664,0.994619,0.953074
TYMP,0.546191563370708,0,0,0.90245,0.356258,0.772692,0.39532
C15orf48,0.865949235869266,0,0,1.121819,0.25587,0.561993,0.235359
LVRN,0.770013643403314,0,0,1.062683,0.292669,0.61112,0.229518
CAV1,0.846347973589575,0,0,1.572672,0.726324,0.875,0.521496
CALR,0.801312489013223,0,0,3.115753,2.314441,0.995789,0.930362
LYN,0.427017363064837,0,0,0.587642,0.160625,0.629367,0.212849
FBLIM1,0.324486724684377,0,0,0.405623,0.081136,0.50733,0.123053
ARHGDIB,0.781703794036044,0,0,1.724926,0.943223,0.911182,0.660204
HSD17B1,-1.1062683880876,0,0,0.499283,1.605552,0.500234,0.749757
KCTD12,0.391870112072244,0,0,0.501654,0.109784,0.535558,0.161299
EFNB1,0.371102636539313,0,0,0.491035,0.119932,0.561603,0.171763
DOCK5,0.49936893186266,0,0,0.793211,0.293842,0.75,0.345028
CDKN1C,0.927157105040986,0,0,3.932624,3.005466,0.996101,0.942326
ANGPTL4,0.627476126404278,0,0,0.875921,0.248444,0.643949,0.265574
EGFR-AS1,0.320555146564317,0,0,0.337865,0.01731,0.3318,0.023929
TAP1,0.465139499139812,0,0,0.630937,0.165798,0.554975,0.218689
SYT8,0.670892704183889,0,0,1.158769,0.487876,0.81753,0.401363
WNT7A,0.438422181969968,0,0,0.665595,0.227173,0.680365,0.272834
PCSK6,0.421660717004601,0,0,0.621673,0.200012,0.645197,0.271699
TGM2,-0.830572177324453,0,0,0.162341,0.992913,0.215221,0.550495
AES,0.678524654054269,0,0,1.644665,0.96614,0.928026,0.736656
C4orf48,0.49705244494471,0,0,0.753815,0.256763,0.665393,0.300495
S100A4,0.706293262440444,0,0,1.081171,0.374878,0.705708,0.342189
SLC25A15,0.212656329947474,0,0,0.234656,0.022,0.359482,0.041369
CD276,0.463019423944021,0,0,0.751,0.28798,0.701263,0.366686
PTH1R,0.313254332922733,0,0,0.331326,0.018071,0.330396,0.022753
MLLT1,-0.607832741673817,0,0,0.099687,0.70752,0.154632,0.544573
HEG1,0.413599797204939,0,0,0.523963,0.110363,0.510059,0.120539
TPM2,0.394398245209542,0,0,0.455799,0.0614,0.406192,0.083063
