Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
LGALS1,1.74844253383097,0,0,2.210094,0.315108,0.811993,0.281919
FSTL3,1.81196051278801,0,0,3.245848,0.97366,0.965845,0.556822
COL4A1,1.37699726974853,0,0,1.966994,0.446319,0.85995,0.419573
SLCO4A1,0.89665224267313,0,0,1.15735,0.195552,0.798269,0.196747
NOTUM,1.69598582226745,0,0,2.258447,0.290198,0.74345,0.252109
HLA-G,1.31125529333509,0,0,2.339279,0.541568,0.794448,0.331846
LHFPL6,0.785954832749442,0,0,1.114374,0.222157,0.817764,0.242781
QSOX1,1.10901670374119,0,0,2.017221,0.698905,0.944635,0.530662
DIO2,1.06949973358056,0,0,1.765376,0.450418,0.910948,0.330994
ITGA5,0.833972481317612,0,0,1.201886,0.279194,0.813475,0.284758
ASCL2,0.998241238744885,0,0,1.769342,0.538018,0.928493,0.405175
COL4A2,1.02864265431197,0,0,1.75402,0.610302,0.884825,0.542383
ADAM19,0.896846225924377,0,0,1.171093,0.169625,0.681067,0.192691
CCNE1,1.1076589253644,0,0,1.845805,0.790462,0.87383,0.612062
PLAC8,0.940055838408862,0,0,1.83424,0.641178,0.952043,0.455224
ABCA7,0.645041837691128,0,0,0.886449,0.169832,0.743294,0.20855
ISM2,1.17241812431667,0,0,2.419777,1.100214,0.944791,0.715161
SERPINE2,1.20429143185329,0,0,1.818411,0.411208,0.745087,0.373662
GJA5,0.875732659762728,0,0,1.524462,0.579191,0.871803,0.525349
TUBB6,0.779115310502019,0,0,1.15861,0.3558,0.752417,0.40846
TPM1,1.22129944511754,0,0,3.802464,1.937366,0.993606,0.799968
C12orf75,0.918572364491542,0,0,2.127604,0.948523,0.96257,0.654526
PDE6H,0.537582305958261,0,0,0.618513,0.039028,0.507486,0.045668
EBI3,1.05628195304895,0,0,2.745196,1.284132,0.988381,0.630151
SLC16A3,0.885587489216311,0,0,1.832852,0.891863,0.941516,0.693016
ADAM12,0.969995751093062,0,0,1.909639,0.750325,0.945259,0.538043
IL10RA,0.486887248129376,0,0,0.58158,0.062884,0.56792,0.082982
MMP2,0.905743463951388,0,0,1.123077,0.11852,0.562149,0.117091
PTPRF,0.808094790905007,0,0,1.751686,0.730101,0.934498,0.613441
MCAM,0.712262267097085,0,0,0.873301,0.08724,0.518169,0.08574
EFNA1,0.915112722976884,0,0,2.084349,0.884256,0.967717,0.582576
HAPLN3,0.705883751996801,0,0,0.98874,0.182895,0.687227,0.15404
TFPI,1.07645957602045,0,0,2.366395,1.031515,0.946507,0.669614
MFAP2,0.54325470472219,0,0,0.715715,0.125007,0.600749,0.136316
TSPO,0.545584805298538,0,0,0.721189,0.103315,0.548581,0.131246
SELENOM,0.566635899645596,0,0,0.847044,0.198092,0.720446,0.237265
