Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
SH3BP5,0.845525921261289,0,0,1.484785,0.632167,0.89045,0.557778
QSOX1,0.831985940606711,0,0,1.602417,0.752255,0.888757,0.630619
FLT1,1.12277698173644,0,0,3.095354,1.956121,0.990687,0.880442
FSTL3,1.17940634464811,0,0,2.646144,1.445125,0.931934,0.788185
DIO2,0.947293103789168,0,0,1.873367,0.922889,0.862343,0.618028
CDKN1C,0.949979020236562,0,0,3.806518,2.838275,0.991534,0.951636
SAT1,0.956232604487265,0,0,3.422085,2.460371,0.997799,0.965992
TGFB1,0.714638821525595,0,0,1.360724,0.63572,0.854216,0.552365
LGALS1,0.943427253709763,0,0,1.338654,0.383073,0.64934,0.336785
EBI3,0.791815951508299,0,0,2.619408,1.788107,0.980698,0.891269
NUCB2,0.670970306278707,0,0,1.530582,0.859533,0.896546,0.707696
HLA-G,0.787322399132833,0,0,1.852293,1.118354,0.701829,0.61285
TMEM91,0.588637822903658,0,0,0.969997,0.379787,0.724009,0.376677
ADM,0.769640671110057,0,0,1.893414,1.1103,0.941754,0.753942
COL4A1,0.752986867959224,0,0,1.325417,0.566905,0.714358,0.503177
CEBPB,0.641523625562958,0,0,1.762509,1.113783,0.933796,0.793834
ITGA5,0.537289023006359,0,0,0.85997,0.316517,0.658652,0.327724
ADAM12,0.668984965770681,0,0,1.654029,0.966629,0.897054,0.733584
LYN,0.396962470747954,0,0,0.531632,0.129547,0.502709,0.170511
MEST,-0.555309212030893,0,0,0.322639,0.881718,0.324247,0.682043
TACSTD2,-0.537426110034793,0,0,0.163638,0.701403,0.165594,0.53895
SLC16A3,0.578301180702064,0,0,1.529611,0.93709,0.883,0.734173
IL10RA,0.364741504562426,0,0,0.481412,0.109193,0.451067,0.137679
ABCA7,0.433568544882719,0,0,0.675594,0.238687,0.589231,0.281243
MYCNUT,0.421349010353465,0,0,0.608166,0.181419,0.513546,0.195105
SLCO4A1,0.493372191346436,0,0,0.832835,0.318808,0.625296,0.310544
CAV1,0.71368329962207,0,0,1.773194,1.035332,0.870301,0.646505
TFPI,0.660228206840108,0,0,1.811524,1.142838,0.894006,0.797599
SELENOM,0.413991906150376,0,0,0.687037,0.267997,0.590755,0.306896
CD55,0.564156295544477,0,0,2.148691,1.567425,0.969353,0.898211
ANGPTL4,0.554912103365097,0,0,0.902585,0.344922,0.571283,0.324547
TINAGL1,-0.416698736520216,0,0,0.21071,0.634057,0.209109,0.558602
AC211486.5,0.238180969215357,0,0,0.274878,0.034997,0.300203,0.043893
BNIP3,0.550968070321449,0,0,1.825747,1.275508,0.927193,0.842551
PLCL2,0.327738800917818,0,0,0.484629,0.1596,0.471893,0.203695
ISM2,0.633016965663065,0,0,1.897135,1.233181,0.88554,0.769122
MT-ND1,-0.600614761577645,0,0,2.571719,3.160304,0.963596,0.98329
PLAU,-0.396827655400359,0,0,0.271278,0.669685,0.285811,0.603318
LHFPL6,0.423939331265419,0,0,0.879151,0.443106,0.683542,0.46105
PDLIM1,-0.432980977458067,1.20344510014011e-319,6.51785876117196e-317,0.419991,0.853408,0.391974,0.68828
PCOLCE2,0.417366841665494,2.35096196917099e-319,1.24222535022004e-316,0.80338,0.397103,0.631222,0.420099
HMGA1,-0.353262139626555,2.91419680543001e-319,1.50317046884878e-316,0.210261,0.576018,0.252286,0.548129
HLA-E,0.457224049259429,8.21506664491241e-318,4.13886520684176e-315,1.285082,0.817886,0.85083,0.693222
NECTIN4,0.482195551763262,9.10386109784206e-317,4.4824101549033e-314,0.951806,0.468102,0.646461,0.390916
FOS,0.650696184062587,1.38251226947121e-309,6.65572129018316e-307,2.847559,2.200778,0.984931,0.926571
TCF7L2,0.451624676247413,5.20347979815711e-308,2.4506127466799e-305,1.329775,0.859672,0.838639,0.704636
SSR3,0.453419170508466,4.7645794653616e-306,2.19616701143816e-303,1.239084,0.781801,0.815273,0.692163
HEY1,0.360587283259789,1.70715337106373e-305,7.70495221473428e-303,0.572873,0.209116,0.49763,0.216639
LVRN,0.407993896787968,1.4690873387486e-304,6.49516491972443e-302,0.545397,0.137763,0.362851,0.150977
LY6E,-0.592078353398634,4.26866036798733e-304,1.84952516424155e-301,2.093916,2.66232,0.89553,0.964462
ASCL2,0.544069334228292,6.79009235453857e-303,2.88432472095537e-300,1.627576,1.060638,0.867592,0.701812
CSH1,0.854252838264671,8.93755412611274e-303,3.72352254977128e-300,2.240312,1.378905,0.853539,0.781713
NR2F2,-0.444762542668621,1.57080995081962e-301,6.42075976878421e-299,0.63262,1.083621,0.576532,0.798423
CSTB,0.561584532987116,1.7426601087968e-301,6.9912941846248e-299,2.154981,1.593738,0.955808,0.903742
MYDGF,0.426058014847758,5.41274922962223e-301,2.13203271473702e-298,1.630303,1.202429,0.926177,0.854907
NRIP1,0.468973522458365,5.76413977517459e-301,2.22989864445326e-298,1.641782,1.156257,0.904673,0.813133
AGXT,0.534569303773335,1.08989103812868e-299,4.14235078070522e-297,0.953433,0.419295,0.570268,0.335726
CD24,-0.480471586241052,3.22097952936782e-299,1.2030913883487e-296,0.552337,1.04419,0.492042,0.730172
COL4A2,0.497321570657335,6.82020754393993e-298,2.50428773274432e-295,1.297356,0.799978,0.768879,0.657096
PIM3,0.451680034525246,8.58263964355522e-298,3.09890508729967e-295,1.270278,0.821746,0.849136,0.699812
PAG1,0.209391845829338,1.70508390441539e-297,6.05556355823852e-295,0.25045,0.038655,0.274805,0.05213
CCNE1,0.562602423831135,2.04615123112562e-293,7.14964843082345e-291,1.39626,0.811309,0.747884,0.612262
SYDE1,0.304535923738597,2.12937613135682e-293,7.32234992217687e-291,0.504736,0.195322,0.498984,0.244293
TIMP2,0.399393256573038,7.3697319723425e-291,2.49465427263794e-288,0.724989,0.327927,0.567389,0.33149
CALM1,0.452737341428876,8.83070572071067e-291,2.94320628820732e-288,2.303423,1.855109,0.976295,0.954931
DSEL,0.322915073144424,1.8445563954872e-290,6.05461662906587e-288,0.521296,0.206427,0.475279,0.235349
AES,0.432796234218789,3.49695335562473e-289,1.13071638054111e-286,1.381352,0.944472,0.85811,0.767004
CALU,0.436629067904164,6.03090106410358e-289,1.92137412724618e-286,1.277704,0.831106,0.82594,0.695222
ENG,0.547227589725546,2.79553329969248e-284,8.77716426152723e-282,2.268536,1.700907,0.972909,0.885973
NAP1L1,-0.424148304784545,6.87687552763261e-284,2.12829473472333e-281,0.843161,1.271424,0.694887,0.847494
PAGE4,-0.565002768904103,5.6884112026741e-283,1.73568648302439e-280,0.589133,1.139944,0.45513,0.701577
BGN,0.356888825312236,1.50140792994881e-282,4.51756963811264e-280,0.516761,0.150389,0.390958,0.162273
PHLDA2,0.667292082714021,8.61766126057054e-282,2.55743854176712e-279,2.529581,1.829331,0.940738,0.859496
ADAM19,0.314296587719347,9.76823484421231e-281,2.85971675222994e-278,0.467627,0.150206,0.414324,0.17157
SEC61G,0.414327637488942,1.81957114071801e-280,5.25589189233533e-278,1.49287,1.076555,0.898239,0.817957
S100P,0.544474273458126,3.13296842335915e-279,8.9306089373227e-277,1.955587,1.392286,0.935659,0.790068
PGF,0.494696189326047,3.98325056315394e-279,1.1206901324697e-276,1.634646,1.127391,0.880122,0.805719
SSR4,0.407420672734335,4.37833407311874e-279,1.21605422256467e-276,1.777074,1.371562,0.949543,0.897505
MT-CO3,-0.628705164223223,1.28303662348421e-275,3.51844372293189e-273,3.79262,4.408341,0.992889,0.995999
APLP2,-0.400277931133494,3.00624457442839e-272,8.14091030755207e-270,1.023933,1.422003,0.76854,0.893857
NOTUM,0.499531202053078,3.27732078776788e-272,8.76541698101276e-270,0.843468,0.335505,0.517948,0.320428
GRB2,0.404977679868955,3.67713770400657e-270,9.71481844141444e-268,1.475092,1.056698,0.896207,0.801953
C1QBP,-0.39051904538721,4.36998934251297e-270,1.14061986886989e-267,0.617206,1.012252,0.574501,0.770181
SERPINE2,0.452957610297021,3.22912636193523e-269,8.32807065535296e-267,0.771765,0.317122,0.51998,0.319252
CITED2,0.46919794407751,3.05047806403634e-266,7.77477138579803e-264,1.671633,1.185456,0.911107,0.800306
PEG10,-0.58061424093148,4.32399949836446e-264,1.08924564107637e-261,0.926234,1.511616,0.623264,0.813956
LY6K,0.418245414180201,9.43644719205446e-264,2.34978381573181e-261,1.285292,0.826758,0.830173,0.656154
MFAP2,0.221675803864192,3.28299621389263e-262,8.08213977020112e-260,0.292565,0.061864,0.29597,0.079077
CD63,0.373443934229074,2.85636647595138e-260,6.95284531854054e-258,2.491912,2.112018,0.985946,0.977406
FTH1,0.490325370743582,6.02154385188885e-260,1.44945251119244e-257,4.567359,4.081472,0.999831,0.999412
GALK1,0.356694969501293,3.27512902851434e-259,7.79696651359722e-257,0.804277,0.441408,0.68151,0.470228
BNIP3L,0.407820607677352,9.70447926871885e-259,2.28519390084267e-256,1.177347,0.768436,0.839824,0.668863
CALD1,0.401299215293602,1.28415431144403e-258,2.99138914012079e-256,2.108328,1.694871,0.960379,0.936809
THBD,0.327400521648309,6.91681593036412e-255,1.59410532250434e-252,0.556213,0.229087,0.498307,0.249353
EIF1,0.358531545206596,4.99803296586526e-253,1.13976195971058e-250,2.788881,2.442095,0.994582,0.985761
RPS3,-0.261760687330179,1.66801910045373e-252,3.76416310335725e-250,3.577458,3.847176,0.998984,0.997764
PPARG,0.31490253595896,1.83912050975236e-249,4.10749553848198e-247,0.698755,0.377249,0.639011,0.440927
FILNC1,0.322367541749383,1.94055657024575e-247,4.28981811610244e-245,0.501758,0.171829,0.389096,0.184514
EFEMP1,-0.351670206964009,5.51399789183312e-246,1.20661869018861e-243,0.371239,0.733249,0.395191,0.627912
LOXL1,0.17414432664632,9.10705129230765e-246,1.97295159196553e-243,0.21928,0.041108,0.250762,0.059896
ISYNA1,-0.289246974696925,7.87596963347594e-245,1.68935649643191e-242,0.186464,0.47792,0.24128,0.481054
MT-CYB,-0.562249678365179,1.57210038179792e-242,3.33901790894805e-240,3.505231,4.053979,0.99001,0.995764
MT-CO1,-0.472798447149286,1.6922072783043e-241,3.55922121137711e-239,3.964772,4.425668,0.996275,0.999529
MT-CO2,-0.538867549749811,5.0496600832948e-239,1.05188303888941e-236,4.120366,4.647964,0.99763,0.998823
