Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
NOTUM,2.40414265076757,0,0,3.38732,0.843468,0.929009,0.517948
MCAM,1.1282518994069,0,0,1.385767,0.193754,0.785253,0.179648
ADAM19,1.17171571429953,0,0,1.697258,0.467627,0.898354,0.414324
CSH1,2.38126263266235,0,0,4.823963,2.240312,0.982091,0.853539
HTRA4,1.58552318747279,0,0,2.387094,0.596038,0.885447,0.439045
SERPINE2,1.65476907121179,0,0,2.620156,0.771765,0.929977,0.51998
TMSB10,0.80488917172073,0,0,4.905066,4.013445,1,0.998984
MFAP5,1.00694528493096,0,0,2.54723,1.412345,0.992901,0.830511
S100A11,0.654092152745338,0,0,4.1215,3.380308,0.999677,0.998815
TUBB6,0.850035638124246,0,0,1.579744,0.647611,0.927073,0.542499
ACTB,0.882582399409644,0,0,3.930262,2.951369,0.999839,0.988486
MFAP2,0.721157904364104,0,0,1.063443,0.292565,0.849629,0.29597
COL4A1,1.16959185836706,0,0,2.528821,1.325417,0.982736,0.714358
TUBA1C,0.986076136989655,0,0,2.328281,1.229853,0.979187,0.790721
LGALS1,1.50009443612484,0,0,2.933465,1.338654,0.947241,0.64934
ITM2B,0.809336407489479,0,0,3.188572,2.307302,0.999193,0.978835
FTH1,-0.97554460626247,0,0,3.55975,4.567359,1,0.999831
PDE6H,0.702128412170433,0,0,0.924672,0.179306,0.753146,0.196241
MMP2,1.2210728666455,0,0,1.684605,0.41078,0.774121,0.29343
ITGB1,0.772172962537234,0,0,2.471478,1.674581,0.99645,0.900102
IGFBP3,-1.28839031600692,0,0,0.58258,1.933808,0.408842,0.827464
SH3BGRL3,0.786193897255134,0,0,1.754164,0.874752,0.949016,0.710464
CD63,0.666934804033348,0,0,3.220371,2.491912,0.999032,0.985946
KRT7,0.79037769931477,0,0,2.431989,1.540111,0.99274,0.870471
PFN1,0.720025134589826,0,0,2.569524,1.774926,0.996128,0.927701
EVA1B,0.818269202787221,0,0,1.548734,0.674233,0.912714,0.551304
TFPI,1.00674499357314,0,0,2.838221,1.811524,0.991126,0.894006
ARPC1B,0.706625556152315,0,0,1.757344,0.997031,0.970958,0.741957
ADGRG6,0.673297440212351,0,0,1.014776,0.329834,0.811229,0.3532
ENG,-0.839242735988406,0,0,1.344771,2.268536,0.931268,0.972909
TAP1,0.596106190117345,0,0,0.904007,0.236548,0.772991,0.277006
PEG3,-0.743240725567516,0,0,0.374281,1.205898,0.397386,0.762784
PPIC,0.621820713224898,0,0,1.162516,0.506946,0.888028,0.471554
PSG2,0.878096581661959,0,0,1.405916,0.488091,0.814134,0.363867
CENPX,0.694974031377872,0,0,1.358358,0.657233,0.92546,0.568913
PYCR1,0.546733028091874,0,0,0.761567,0.228299,0.739916,0.260921
FKBP1A,0.680454382443142,0,0,1.685678,0.919809,0.960148,0.742973
ISM2,0.883144910929056,0,0,2.8357,1.897135,0.994998,0.88554
HEG1,0.541150250349299,0,0,0.775492,0.187065,0.743627,0.21148
HSPG2,0.793217497787059,0,0,1.278571,0.443911,0.836237,0.416356
COL4A2,0.82112530024727,0,0,2.147068,1.297356,0.982091,0.768879
CBLB,0.571295927398857,0,0,0.89483,0.354801,0.833172,0.379783
ZNF292,-0.687056268632343,0,0,0.414477,1.16395,0.559697,0.801727
TIMP1,0.560489841818939,0,0,0.780153,0.146442,0.669409,0.173214
B2M,0.664077813132445,0,0,4.13761,3.360217,1,0.997799
LVRN,0.928458957325341,0,0,1.461694,0.545397,0.803324,0.362851
UCA1,-0.604055266118487,0,0,0.202259,0.86585,0.258955,0.68896
MMP15,0.661289998009086,0,0,0.845262,0.127908,0.604873,0.148493
TFRC,-0.751941036260558,0,0,0.296537,1.104456,0.372056,0.716559
PLA2G16,-0.692629102000334,0,0,0.463916,1.216898,0.522911,0.800711
FSTL3,1.04001867987228,0,0,3.781805,2.646144,0.994353,0.931934
ITGA1,0.463140850328354,0,0,0.600946,0.096201,0.615037,0.118524
C4orf48,0.554754833635424,0,0,1.015566,0.410236,0.857696,0.428886
RHOC,0.584814670109077,0,0,1.183245,0.484642,0.875766,0.474771
TPM2,0.543554029449725,0,0,0.671902,0.114415,0.602614,0.138842
ARRDC3,-0.660558073201614,0,0,0.284238,1.02982,0.351565,0.679986
TUBB2A,0.610060398283283,0,0,0.974379,0.275106,0.767022,0.282086
TIMP2,0.740770628236751,0,0,1.558653,0.724989,0.909003,0.567389
PLTP,0.582466765194827,0,0,0.819148,0.182495,0.658922,0.208601
RALBP1,0.71063295299817,0,0,1.209949,0.499077,0.830591,0.452421
ATF3,-0.679615953852709,0,0,0.346181,1.094027,0.384802,0.738402
STMN1,0.766597090149771,0,0,1.591756,0.78418,0.915457,0.556045
SLCO4A1,0.649837091653971,0,0,1.470875,0.832835,0.948693,0.625296
EGFR,-0.629789290808185,0,0,0.403812,1.118689,0.472894,0.744836
CALU,0.626496652457226,0,0,1.939742,1.277704,0.981284,0.82594
RRBP1,0.625605508387344,0,0,1.772771,1.102221,0.977573,0.771588
VASP,0.557239362144929,0,0,1.297644,0.668041,0.921588,0.621571
ANXA2,0.516936780195565,0,0,3.032376,2.484218,0.998709,0.986962
CD151,0.591033436799952,0,0,1.573824,0.923861,0.95789,0.720284
QSOX1,0.689852208674501,0,0,2.345522,1.602417,0.991933,0.888757
HPGD,0.96358373719136,0,0,1.414756,0.292384,0.697483,0.259228
CFL1,0.620101768290212,0,0,2.107127,1.407582,0.987899,0.847105
CSF2RB,0.507853278229856,0,0,0.870509,0.312797,0.795257,0.33593
CTSL,0.887208930156322,0,0,2.670655,1.645016,0.982736,0.884694
IL1R1,0.480442603968302,0,0,0.796466,0.292203,0.786544,0.327802
CAP1,0.553059527545029,0,0,1.395494,0.783658,0.934656,0.677447
CORO1B,0.503715679108191,0,0,0.896813,0.341775,0.79332,0.397223
BGN,0.744379132298799,0,0,1.266199,0.516761,0.806873,0.390958
PON2,0.426424339253505,0,0,0.75039,0.274619,0.789287,0.333728
IL2RB,0.430528507239682,0,0,0.587532,0.112543,0.605679,0.134101
GJA5,0.628872264784594,0,0,1.837524,1.132838,0.977896,0.746021
ELF3,-0.573412209609182,0,0,0.385903,1.00424,0.497419,0.753979
CTSZ,0.478843917607741,0,0,0.967335,0.431748,0.867861,0.450389
BTG1,-0.626320949919729,0,0,0.669621,1.36712,0.719264,0.873857
MYCNUT,0.603626920496071,0,0,1.228087,0.608166,0.88706,0.513546
AIF1L,0.440951902891304,0,0,0.71169,0.225244,0.721684,0.26126
C15orf48,1.07212426377744,0,0,1.651411,0.591995,0.739593,0.360481
PTPRF,0.593691399790256,0,0,2.024046,1.429332,0.988706,0.869793
ERBB2,0.402917641601434,0,0,0.643883,0.211416,0.735883,0.255672
TMEM40,-0.546563983001901,0,0,0.274049,0.882615,0.356244,0.668981
EGLN3,-0.696196976651104,0,0,0.417834,1.225607,0.428848,0.728073
MGAT5,0.388281556833813,0,0,0.575366,0.149368,0.66344,0.19641
B3GNT7,0.366856702873023,0,0,0.527042,0.125916,0.640207,0.163562
ELOB,0.513481998374618,0,0,2.000101,1.440921,0.985318,0.903657
ATP5F1E,0.502213425169764,0,0,2.107351,1.556178,0.989351,0.913478
ASPSCR1,0.478697459013088,0,0,0.886336,0.31073,0.793804,0.354216
LGALS3,0.636044967759041,0,0,2.19641,1.487303,0.979348,0.855401
SLC16A3,0.55163540917991,0,0,2.110591,1.529611,0.992417,0.883
TSPO,0.505973405568202,0,0,0.958015,0.331822,0.71636,0.327294
HLA-G,0.918124802088139,0,0,2.745928,1.852293,0.867377,0.701829
NUPR1,-0.630472861694939,0,0,0.403527,1.118873,0.393675,0.663224
HINT1,0.688091135678908,0,0,2.098926,1.327689,0.972249,0.783779
CCNE1,0.718668933856888,0,0,2.203716,1.39626,0.980316,0.747884
TPM1,0.529811453124438,0,0,4.073465,3.530236,0.999516,0.986624
ITGA5,0.569792811412181,0,0,1.465526,0.85997,0.940142,0.658652
SERF2,0.378866781220171,0,0,3.047415,2.616482,0.999355,0.993058
RDH13,-0.408807363735288,0,0,0.113697,0.560277,0.190707,0.503217
JPT1,0.545142830979485,0,0,1.372896,0.750279,0.912391,0.638503
HEXB,0.676891641088433,0,0,1.582559,0.850872,0.902065,0.64917
TMEM91,-0.515961482852347,0,0,0.383538,0.969997,0.475799,0.724009
CDC37,0.533501304886871,0,0,1.590125,1.000562,0.956922,0.748899
NDRG1,-0.494193258367417,0,0,0.216487,0.760095,0.306066,0.600068
PAPPA,0.610324981318648,0,0,0.80932,0.122255,0.490803,0.110735
ADAM12,0.603601362238822,0,0,2.21166,1.654029,0.98677,0.897054
SLC2A1,-0.573856349613583,0,0,0.413776,1.065965,0.48919,0.701829
AGXT,-0.651741947747412,0,0,0.23958,0.953433,0.222007,0.570268
CLDN4,-0.577069140774494,0,0,0.994689,1.589116,0.847209,0.914324
FADS3,0.455383711997653,0,0,0.939132,0.376801,0.805744,0.397223
ARHGDIB,0.554468859769784,0,0,2.001059,1.361375,0.9808,0.830173
CKAP4,0.44116726887808,0,0,0.809034,0.372033,0.776541,0.396546
MYL6,0.445712505613169,0,0,2.698819,2.174529,0.998225,0.9702
TPT1,-0.313960667405492,0,0,3.722858,4.063078,1,0.999492
MXRA7,0.381186432289609,0,0,0.670097,0.255922,0.705066,0.283102
CA2,0.366686923124202,0,0,0.499284,0.121683,0.512262,0.137657
SPTSSA,-0.4693126324329,0,0,0.372762,0.897262,0.552598,0.689468
WEE1,-0.461699085843972,0,0,0.415385,0.937644,0.540497,0.738232
COX6C,0.460129810184669,0,0,1.955974,1.414445,0.985641,0.897223
TUBB,0.568303711289404,0,0,1.843306,1.205273,0.970152,0.763969
TAP2,0.277372783781422,0,0,0.420258,0.084489,0.552436,0.123095
SLC25A15,0.251264496367927,0,0,0.346383,0.085975,0.530494,0.128005
C12orf75,0.498897940203651,0,0,2.382013,1.892735,0.993546,0.926685
EGFR-AS1,0.376301316670252,0,0,0.519647,0.090251,0.504034,0.103115
LAMA4,0.372933581340794,0,0,0.541991,0.225157,0.619071,0.240264
PRDX4,0.489706641971164,0,0,1.901054,1.369349,0.982414,0.848629
ATP13A2,0.333654573293285,0,0,0.57751,0.219145,0.712004,0.278192
ZFP36L1,-0.523719206419985,0,0,0.905007,1.518904,0.821233,0.858788
CAPG,0.488332389081169,0,0,1.168653,0.600437,0.854469,0.534372
BZW2,0.47601790984553,0,0,1.801753,1.304517,0.976121,0.848121
ADAM8,0.337568011340162,0,0,0.515379,0.120351,0.565989,0.150017
FAM13A,-0.42113083099054,0,0,0.239061,0.697893,0.348015,0.607687
GCM1,0.475154292579689,0,0,1.023823,0.502548,0.851726,0.455638
EDEM2,0.39488126119144,0,0,0.860119,0.447459,0.840755,0.479512
MXD4,0.404558983347579,0,0,0.900205,0.464307,0.836237,0.483407
ITM2C,0.438741559720876,0,0,0.994251,0.52841,0.871087,0.50508
PLIN2,-0.62639355399966,0,0,1.127055,1.767869,0.862698,0.908906
ABCG2,0.463522584277028,0,0,1.196903,0.765777,0.921426,0.64172
NDUFB2,0.438266631758147,0,0,1.243123,0.739913,0.925137,0.643413
PPIB,0.440752841430155,0,0,2.825872,2.380297,0.999032,0.973417
PGF,0.592613878487443,0,0,2.245573,1.634646,0.977896,0.880122
CNN3,-0.362381253614548,0,0,0.114253,0.514712,0.170539,0.46529
COTL1,0.475438976840969,0,0,2.133604,1.591621,0.989029,0.897731
SSR3,0.498233037146471,0,0,1.758873,1.239084,0.972088,0.815273
CD276,0.403336737528358,0,0,0.937012,0.491845,0.867215,0.493227
HUNK,0.254533229901693,1.48219693752374e-322,2.06470033397057e-320,0.34817,0.072858,0.495644,0.10193
AK5,0.312906735640254,2.76676761671098e-322,3.82900875526966e-320,0.476599,0.169923,0.599387,0.201829
RPLP0,-0.293470744240444,6.12641400843146e-322,8.42381926159325e-320,3.356934,3.724279,0.999193,0.999661
PARD6B,-0.354026108379304,4.47623475132169e-321,6.11564337735212e-319,0.120758,0.518905,0.202969,0.4702
FSTL1,0.478011796795143,7.6086109459552e-321,1.03294304576029e-318,1.658709,1.153791,0.968216,0.792584
RABAC1,0.431378281942872,6.01258167888215e-316,8.11131301985708e-314,1.759746,1.262303,0.981123,0.849475
RPS19,-0.302857377805751,2.434138256613e-315,3.26326660028416e-313,3.866861,4.205977,0.999677,0.999661
CNPY2,0.42879940646988,1.04874242421457e-314,1.39723757760055e-312,1.312116,0.833026,0.937238,0.704199
CNN2,0.270739725617455,3.93862766067934e-313,5.21503477293637e-311,0.389379,0.097512,0.511455,0.131053
MTUS1,-0.32070294494172,1.09832342478951e-311,1.44533972157884e-309,0.071904,0.423833,0.121007,0.412462
CHCHD10,0.405400854081733,8.61582168210977e-311,1.12688643342228e-308,0.905222,0.461814,0.827364,0.480698
PSG6,0.373072983285898,5.52847375443723e-309,7.18701588076839e-307,0.575897,0.163566,0.587286,0.169489
FOS,-0.695121294208809,1.24813196560432e-307,1.61279702784414e-305,2.0365,2.847559,0.954501,0.984931
HILPDA,-0.494329053394378,2.06955457738235e-305,2.65820034041027e-303,0.458064,1.010213,0.592288,0.733322
SQLE,0.433613195339588,8.2175164369151e-302,1.04920075935612e-299,1.103234,0.648868,0.893837,0.576532
FBLIM1,0.310295319955245,1.30784136412917e-301,1.65995250062548e-299,0.550131,0.21567,0.689739,0.266339
TINCR,-0.43699676175103,8.12432727589751e-301,1.02509894157648e-298,0.563665,1.065841,0.69232,0.792076
