Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
SLC13A4,-1.03220893592853,0,0,0.102207,1.178069,0.117129,0.776138
SLC52A1,-0.8563268510397,0,0,0.086593,0.981113,0.116754,0.755228
PEG10,-2.06838799065369,0,0,0.510494,2.578051,0.338081,0.831488
BTG3,-1.07869113397422,3.95252516672997e-323,2.05689409676628e-319,0.36617,1.397441,0.352699,0.776138
ISYNA1,-0.788124267052373,1.15507060804658e-272,4.80878995541954e-269,0.234255,0.9855,0.237819,0.724477
SLC22A11,-1.06139199220622,1.94319382701053e-272,6.7415871171752e-269,0.462214,1.6485,0.33096,0.938499
ID2,-0.613164794733542,2.35986569901897e-269,7.01756634153985e-266,0.100927,0.740523,0.10476,0.602706
SEMA6A,-0.80614408199364,1.15970633009883e-259,3.01755587091717e-256,0.272082,1.184453,0.251874,0.773678
NFE2L3,-0.82658619944764,1.71860872833972e-257,3.9749510321244e-254,0.245811,1.176269,0.20521,0.771218
SIAH1,-0.929169520098394,3.05080154227688e-254,6.35054849040355e-251,0.452431,1.391831,0.412481,0.879459
ARG2,-0.329850683308722,4.57037900048067e-253,8.64881902490961e-250,0.022873,0.362473,0.032609,0.397294
SLC43A2,-1.10175838148517,1.2513889999107e-250,2.17074278517842e-247,0.676731,1.776958,0.483696,0.936039
MYO10,-0.530760049211549,4.4307353606797e-250,7.09462978983912e-247,0.082408,0.636308,0.106822,0.519065
FAM184A,-0.585445392283902,3.73783782905702e-249,5.55763087497506e-246,0.148809,0.796544,0.180285,0.656827
SLC40A1,-1.49298121258628,1.95260100243046e-246,2.70968949777283e-243,0.878419,2.551374,0.472639,0.95941
SGK1,-0.952709351863532,1.35620553784286e-238,1.76442340473356e-235,0.37054,1.343965,0.315217,0.793358
ERVFRD-1,-0.553538757433114,1.85653558713349e-237,2.2732732224571e-234,0.06661,0.637187,0.065405,0.445264
COL14A1,-0.327521634328863,1.44790533739928e-234,1.67442208351685e-231,0.023409,0.36475,0.028486,0.393604
MTSS1,-0.439523474841196,3.03966993932022e-228,3.33019839246788e-225,0.085603,0.552157,0.120502,0.554736
SLC26A2,-0.556288959563907,9.13680281800953e-227,9.50958437298432e-224,0.111285,0.641825,0.140742,0.499385
ARHGAP18,-0.688276270345292,4.95525193317807e-223,4.91183448766832e-220,0.276906,0.995077,0.306784,0.765068
PIK3C2A,-0.76003038708559,2.65675814633529e-221,2.51377625336888e-218,0.392555,1.231617,0.397864,0.873309
IRS1,-0.194585453833373,1.82574502623112e-219,1.65237862895769e-216,0.004371,0.206896,0.006934,0.255843
KIAA0040,-0.61650263569452,6.96248240872439e-218,6.03879307583362e-215,0.197007,0.867859,0.232946,0.693727
MSI2,-0.393789392621443,2.59591952512771e-216,2.16146643340234e-213,0.065738,0.470349,0.103073,0.458795
SLC5A3,-0.533209141230896,8.57328597461845e-211,6.86390464798683e-208,0.113862,0.680066,0.151424,0.551046
PEG3,-1.02766223820955,1.10755838575844e-209,8.53886494738802e-207,0.576367,1.853243,0.364693,0.845018
PAGE4,-1.18889580544744,1.53089792715202e-207,1.13811325898559e-204,0.575845,1.687032,0.390742,0.785978
DUSP9,-1.0102858453492,3.05357729711416e-206,2.19183672471477e-203,0.503869,1.473177,0.356447,0.811808
CCR7,-0.244002661066189,7.14495972539626e-204,4.95764938812829e-201,0.010413,0.268454,0.013118,0.290283
FAR2,-0.746218936294753,4.98825742001879e-202,3.34953440177778e-199,0.241808,1.010243,0.212144,0.718327
SLC19A1,-0.43577943257186,3.80848740722312e-198,2.47742105839864e-195,0.098361,0.544501,0.133246,0.563346
BRAF,-0.482836854290849,1.15830314455246e-191,7.30643583545578e-189,0.157847,0.673244,0.225637,0.634686
ABHD5,-0.692668059081154,2.90597963030999e-180,1.77914329366273e-177,0.350073,1.070874,0.354948,0.798278
VAV3,-0.55988955549367,3.29247831688115e-177,1.9581779612628e-174,0.238473,0.818026,0.273426,0.752768
MLLT1,-0.934393081268877,6.83635712473443e-176,3.95293360856866e-173,0.604796,1.602306,0.442091,0.883149
ESRRG,-0.580418186831203,3.16340940963087e-172,1.77971703434801e-169,0.268711,0.858293,0.297789,0.733087
NEAT1,-1.58308539733439,6.31158904879527e-172,3.45742204315059e-169,1.621372,3.339001,0.598388,0.99877
EBI3,1.37337535630614,1.03232937233917e-171,5.50999184990054e-169,2.019576,0.833445,0.787669,0.539975
