Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
TPM1,1.69443106374018,0,0,3.181345,1.266565,0.982113,0.734939
PEG10,-1.61187302505161,0,0,1.511616,3.423592,0.813956,0.979319
PAGE4,-1.61503809324231,0,0,1.139944,2.751675,0.701577,0.898991
EBI3,1.4123147154435,0,0,1.788107,0.500766,0.891269,0.331801
IGFBP3,1.55238159659042,0,0,1.816358,0.233714,0.805484,0.163653
PLAC8,1.01836845646293,0,0,1.278056,0.285141,0.832196,0.254171
FN1,1.28030859611695,0,0,1.209701,0.198201,0.597435,0.171646
PRSS8,1.00515221949672,0,0,1.641081,0.554843,0.912332,0.468578
DUSP9,-0.903223558792873,0,0,0.493137,1.538571,0.464227,0.887102
ECE1,0.702299525198533,0,0,0.846392,0.209023,0.703695,0.285543
LDHB,-0.904388149117627,0,0,0.905325,1.80603,0.686279,0.912878
EFNA1,0.9413341149232,0,0,1.689257,0.526665,0.89421,0.485963
SLC43A2,-0.673741777313785,0,0,0.113621,0.931503,0.132855,0.732741
FLT1,1.2259307037424,0,0,1.956121,0.849637,0.880442,0.631132
EGLN3,0.853199021805547,0,0,1.00584,0.243608,0.633796,0.261565
HTRA1,1.04317833549884,0,0,2.140318,0.854269,0.931749,0.62184
KRT19,0.849921236398459,0,0,3.198042,2.212815,0.996234,0.948846
ISYNA1,-0.728693843910552,0,0,0.47792,1.242571,0.481054,0.838945
IGF2-1,0.772909644441552,0,0,1.318487,0.56986,0.845846,0.581577
COL17A1,0.590502113602448,0,0,0.598246,0.087863,0.476465,0.113498
SYT8,0.62702813990481,0,0,1.057868,0.196689,0.768887,0.227395
PKP2,0.684469876080159,0,0,1.156896,0.556499,0.817486,0.607054
SLC25A5,-0.756267978072653,0,0,0.766401,1.645545,0.642151,0.891697
C12orf75,0.774592597783304,0,0,1.50059,0.683351,0.891151,0.578979
PSAP,0.763765515535736,0,0,2.377696,1.816282,0.986938,0.913578
AHNAK,0.723733682089844,0,0,1.92614,1.28105,0.964227,0.842542
LPCAT1,0.565743503950955,0,0,0.779588,0.175566,0.665215,0.23379
