Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
CYP19A1,2.01859636202427,0,0,2.248438,0.247911,0.908979,0.227695
LCMT1-AS2,1.58876905636337,0,0,1.952356,0.328283,0.853629,0.378559
GADD45G,1.38963074056942,0,0,1.665876,0.24731,0.868389,0.315116
HSPB8,1.52472711047691,0,0,2.129161,0.598666,0.96433,0.630632
TBX3,1.3740036998264,0,0,1.741637,0.35561,0.923739,0.420921
SGK1,1.11304423598148,0,0,1.343965,0.212479,0.793358,0.308223
ERVFRD-1,0.622595862342118,0,0,0.637187,0.014234,0.445264,0.023479
COBLL1,1.38503546547542,0,0,1.884444,0.490807,0.96187,0.563193
DHRS9,0.527429198342726,0,0,0.562165,0.02612,0.530135,0.046758
GDF15,1.71440448889346,0,0,2.358071,0.668162,0.947109,0.614247
INSL4,0.97913891212886,0,0,1.08634,0.110775,0.643296,0.147667
GLDN,0.576366335976879,0,0,0.611891,0.046406,0.559656,0.082026
CGA,2.94752879991351,0,0,4.395758,1.568905,0.95326,0.816565
HSD11B2,0.764311469882795,0,0,0.797664,0.056363,0.530135,0.06654
PHOSPHO1,0.558651892208157,0,0,0.617226,0.050814,0.563346,0.090618
TMSB10,-1.45865088682,0,0,1.833267,3.383952,0.891759,0.992806
CPM,1.03945494700085,0,0,1.294075,0.29511,0.776138,0.371466
RHOBTB1,0.575996540344649,0,0,0.614992,0.051449,0.500615,0.080328
ZNF292,1.17969467196049,0,0,1.816383,0.609482,0.9631,0.637027
DAB2,1.34240132611793,0,0,1.752061,0.425299,0.798278,0.472475
TCL1B,0.709476412731355,0,0,0.734101,0.037171,0.437884,0.04416
SLC40A1,1.57663809247125,0,0,2.551374,0.947825,0.95941,0.734739
KMO,0.500370037958172,0,0,0.560947,0.055985,0.558426,0.097412
RIPOR2,0.598723338811686,0,0,0.671173,0.07336,0.551046,0.115896
FAR2,0.811729654293663,0,0,1.010243,0.199915,0.718327,0.308922
ATP10D,0.922020274281568,0,0,1.229602,0.345664,0.803198,0.463283
PRKCZ,1.07208367212493,0,0,1.498389,0.459932,0.883149,0.529823
TNFRSF1B,0.575771595301418,0,0,0.612101,0.045562,0.452645,0.071735
SQSTM1,1.41486083742616,0,0,2.860712,1.501235,0.99016,0.888101
HMOX1,1.32381182060368,0,0,1.977848,0.698736,0.923739,0.634429
ABHD5,0.790897054983902,0,0,1.070874,0.28315,0.798278,0.42192
MFSD12,0.96937608529554,0,0,1.364022,0.424229,0.889299,0.51084
SDC1,0.781783279648711,0,0,0.891141,0.13743,0.568266,0.183135
SLC22A11,1.01206077813131,0,0,1.6485,0.588602,0.938499,0.604356
ZNF703,0.657084487648461,0,0,0.78402,0.125496,0.627306,0.19952
LGALS16,0.503296976877529,0,0,0.512375,0.019535,0.343173,0.02248
CPEB4,0.723291417306106,0,0,0.926418,0.211516,0.768758,0.318014
KRT23,1.27949656033461,0,0,2.247506,1.008924,0.96433,0.775502
PLAC4,0.693772541118766,0,0,0.745403,0.068368,0.472325,0.07773
ERVW-1,1.06752335524735,0,0,1.996284,0.917094,0.98278,0.793686
ERVV-1,0.548709345693786,0,0,0.623095,0.096413,0.579336,0.158158
PIK3C2A,0.795585707933137,0,0,1.231617,0.399459,0.873309,0.535018
