Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
RPS12,-1.29051193176061,2.34672967292698e-90,4.16028236416495e-86,2.190375,3.876942,0.974684,1
RPL39,-1.28997342004802,5.06439942046165e-89,4.48908364629721e-85,2.249846,3.600494,0.987342,1
RPLP1,-1.14443463896703,6.97406715331742e-88,4.12120874980037e-84,2.765261,4.152998,1,1
RPL10,-1.09757889613442,1.6716918462438e-82,7.40893826255251e-79,2.514566,3.632721,0.987342,1
RPS14,-1.10876968631989,1.41396286840787e-80,5.01334674622694e-77,2.088412,3.459571,0.987342,1
RPL36,-1.04613254115588,1.45558896731135e-79,4.30078020208261e-76,2.083839,3.17734,0.981013,1
RPL12,-1.19202875918104,5.93275296145383e-79,1.37882662494906e-75,1.706094,3.05782,0.924051,1
RPL32,-1.05607078705704,6.22214180933692e-79,1.37882662494906e-75,2.330757,3.525661,0.987342,1
RPS13,-1.16209375430175,7.37956765877393e-79,1.45361083838605e-75,1.599413,3.206837,0.886076,1
RPL35A,-1.01052122007368,3.38192642887632e-78,5.99547917311194e-75,1.858345,3.131372,0.962025,1
RPL30,-1.10960465904503,1.6973441717375e-77,2.56611735609615e-74,1.936482,3.233137,0.943038,1
RPS15A,-1.17705852902649,1.73699279519144e-77,2.56611735609615e-74,1.520622,3.019423,0.898734,1
RPS28,-0.978188364168581,3.64695901109786e-77,4.97332994990329e-74,2.533499,3.367299,1,1
RPS27A,-0.982309424806783,2.05072777033912e-76,2.59680727946942e-73,2.112793,3.379481,0.968354,1
RPL18A,-1.10568311243319,4.40848267576454e-76,5.21023872506358e-73,2.082851,3.443994,0.962025,1
RPL41,-0.994430766295925,1.98293180757237e-74,2.19708844279019e-71,2.666136,3.862936,0.987342,1
RPL26,-1.15643852605221,1.08241434161279e-72,1.12876714400656e-69,1.472035,2.941634,0.873418,1
RPS29,-0.999493083325106,4.74293515974268e-72,4.67126413955102e-69,2.083196,2.896808,0.993671,1
SERF2,-0.958005353993277,1.18237076454445e-71,1.10321415336021e-68,2.304982,3.393337,0.987342,1
TMSB10,-0.999574503938931,1.94205463667361e-71,1.72143722994749e-68,4.395617,5.501053,1,1
RPL29,-1.07984031999004,2.10996662935736e-71,1.7812137335832e-68,1.564244,3.199862,0.898734,1
RPL34,-0.958452741186805,5.05940136136076e-71,4.07695760610016e-68,2.302542,3.386609,0.993671,1
TPT1,-1.09790778080576,1.45696093688855e-70,1.12300015170262e-67,1.914799,3.447124,0.943038,1
RPL28,-1.02342676471509,1.53006314255946e-69,1.13020664130392e-66,2.27223,3.605721,0.981013,1
FAU,-0.831659678078821,4.93232429226589e-69,3.49760980213159e-66,1.712463,2.723076,0.949367,1
RPL15,-0.880885250590522,2.03577401456199e-68,1.38808468192904e-65,2.091397,3.253448,0.968354,1
RPS15,-0.868189549458803,3.26163008475957e-68,2.14156215343028e-65,2.263002,3.357569,0.974684,1
RPL27,-0.947005072720386,3.40873249805607e-68,2.15821463305493e-65,1.511357,2.754172,0.905063,1
RPLP2,-0.812018310608795,3.58344611891186e-68,2.19059768262308e-65,2.356749,3.216178,1,1
UBA52,-0.829965957822001,8.07943885945216e-67,4.77440973667893e-64,1.839777,2.773781,0.974684,1
RPL13,-0.872996302524003,3.46770973333559e-66,1.98308252105075e-63,2.52035,3.726676,1,1
RPS8,-1.13871148655267,1.9967281944355e-65,1.10618741971727e-62,2.337266,3.55795,0.974684,0.998221
RPS23,-0.991938032053733,2.06497649601565e-65,1.10933040367774e-62,2.09553,3.370148,0.968354,1
RPS25,-0.9304081482133,2.74040133118897e-65,1.42887749409759e-62,1.55052,2.684516,0.917722,1
RPS10,-0.914199288155572,5.8421366056377e-64,2.95912564984986e-61,0.716791,2.021719,0.64557,0.996441
RPL37,-0.966567285308874,6.18507640953559e-64,3.0458065163402e-61,2.41291,3.469339,0.981013,1
RPL19,-0.86878424027543,1.28389278519134e-63,6.15158143131678e-61,1.915737,3.20171,0.968354,1
PTPRF,1.09657376960429,3.32481839860554e-62,1.5511152781705e-59,3.224053,1.721612,1,0.998221
RPS27,-1.00509073929336,4.00077516181567e-61,1.81860877099149e-58,2.333217,3.044259,0.993671,1
RPS3A,-0.92722325601443,5.17338018609715e-61,2.29284209847826e-58,1.694213,2.898593,0.955696,1
RPL11,-0.742573579962607,5.63630779801947e-61,2.43708450349486e-58,2.479463,3.425498,1,1
RPS18,-0.936242795180863,1.1890112948026e-60,4.96220084533614e-58,2.648451,3.760794,0.993671,1
RPS5,-0.971920627370862,1.20360241623113e-60,4.96220084533614e-58,1.372791,2.622351,0.841772,1
RPL18,-0.867516937693059,1.67788386437939e-60,6.76034662448132e-58,1.915864,3.11412,0.962025,1
RPS6,-0.898776991959883,1.72865970527129e-59,6.81015094556653e-57,2.198268,3.334194,0.974684,1
LAMC1,0.847812319682843,2.26248670282505e-59,8.7194270147136e-57,1.52077,0.431446,0.955696,0.820285
RPS7,-0.849943483431332,3.54019140717362e-59,1.33533006949732e-56,2.031055,3.0582,0.968354,1
RPS19,-0.9285706489545,1.23442985057037e-58,4.55916091477325e-56,2.300262,3.586949,0.968354,1
RPL35,-0.744574624697382,6.28680943741834e-58,2.27454199401127e-55,1.988558,2.888322,0.987342,1
SH3BGRL3,-1.07246127473325,1.24755800661413e-57,4.42334166825104e-55,1.288551,2.480492,0.860759,0.996441
RPL24,-0.903763299444647,1.77692119446642e-57,6.17671743833348e-55,1.671256,2.756589,0.924051,0.998221
PSAP,0.89893634938063,1.88951106613434e-57,6.44177926546722e-55,2.657584,1.508858,1,0.996441
GPX4,-0.882052203775797,1.99632714070218e-57,6.67752595289966e-55,1.297059,2.208372,0.879747,0.998221
FLNB,0.887386710668334,1.00334123294822e-56,3.2939321069826e-54,2.053154,0.761486,0.987342,0.94484
RPL37A,-0.863404576443068,1.5768584654884e-56,5.08264488657787e-54,2.366319,3.252115,0.974684,1
RPL22,-0.811333087871867,3.16650826244165e-56,1.00242604422439e-53,1.458318,2.501249,0.905063,1
RPS3,-0.901662567914634,3.6104432414022e-56,1.12291118918558e-53,1.783178,3.108742,0.962025,1
COL4A1,1.05830330773435,4.09631824667757e-56,1.25206085995e-53,3.639925,2.042856,1,0.996441
RPL21,-0.907772156113916,8.29771328202671e-56,2.49325188243677e-53,1.525193,2.797388,0.898734,0.998221
RPS21,-0.840072084893839,1.94348059857548e-55,5.74233734192434e-53,1.546742,2.468759,0.949367,1
RPL8,-0.807913358558001,4.95028417689606e-55,1.43866619488546e-52,2.156517,3.303862,0.974684,1
RPL9,-0.809102928756863,6.32261983500443e-55,1.80786136185417e-52,1.701185,2.777199,0.949367,1
RPS24,-0.778503127011331,1.39536444071615e-54,3.92651123889142e-52,2.511604,3.363771,1,1
BTF3,-0.779115555938856,5.4559042678396e-54,1.51128548219157e-51,0.884574,2.026556,0.740506,0.998221
OST4,-0.917637211416651,8.85755046406772e-54,2.41579468656912e-51,1.08019,2.234487,0.778481,0.998221
HSPG2,1.09119346762201,1.4056491354234e-53,3.77565876860394e-51,2.925791,1.249205,0.993671,0.983986
RPS26,-0.941970968957443,1.87848863797234e-53,4.97042486178711e-51,1.826717,2.9188,0.962025,0.994662
RPSA,-0.83866590693843,2.94777815904859e-52,7.68503105935492e-50,1.601134,2.800113,0.93038,0.998221
RPL6,-0.778811436025889,8.75084100086518e-52,2.24833201830925e-49,1.95423,3.012242,0.968354,1
FTH1,-0.973700801095163,1.05528638227842e-51,2.67258814071884e-49,2.817864,3.949237,0.993671,1
NACA,-0.715308126498205,1.74940304533563e-51,4.36808692784648e-49,1.796922,2.761418,0.962025,1
RPL23A,-0.835638739744311,4.1354874145202e-51,1.0182489011752e-48,1.7302,2.7499,0.93038,1
LVRN,0.887321045680632,1.09403173018967e-50,2.65684856339759e-48,2.862352,1.592347,0.987342,0.994662
RPL10A,-0.77863632302602,2.2068159706391e-50,5.2868153415527e-48,1.616253,2.698852,0.962025,1
RPS2,-0.828624517772778,9.33288514387401e-50,2.20604517107465e-47,2.403542,3.739435,0.993671,1
ELOB,-0.839596057777466,2.22031797400137e-49,5.17918382146004e-47,1.395476,2.398676,0.898734,0.998221
LIFR,1.00979406808061,3.92122718584526e-49,9.02798903255386e-47,2.610611,1.118856,0.981013,0.985765
UQCRH,-0.766169498751033,4.06279003986068e-49,9.23399254187823e-47,0.748221,1.736642,0.702532,0.994662
