Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
LINC01602,0.578381024784199,2.03072511817903e-269,4.21578534533967e-265,0.891209,0.103624,0.850534,0.151016
GLIPR1,0.751284902947094,4.26988335223747e-208,4.4321389196225e-204,1.373314,0.298458,0.94306,0.355921
FBXO2,0.459169867973204,4.8696297805297e-198,3.36978380812655e-194,0.799296,0.08796,0.758007,0.147306
FLT1,-1.35130790255375,6.60244233749281e-195,3.42666757315877e-191,1.108499,3.004141,0.855872,0.986286
FES,0.421766584157679,3.01364545254493e-159,1.25126559189665e-155,0.736334,0.097571,0.80605,0.138432
PIPOX,0.40306046317991,3.30535304689562e-154,1.14365215422588e-150,0.724837,0.130876,0.854093,0.20668
UBE2L6,0.45034370409391,3.21091621568187e-140,9.52266009107936e-137,0.832691,0.179195,0.850534,0.2788
MYL4,0.36011293693367,2.30877548454871e-128,5.9912723824039e-125,0.539081,0.064951,0.672598,0.09374
ATP1A4,0.46173450426818,5.27231026693699e-127,1.2161462349068e-123,0.90106,0.147779,0.807829,0.206518
CPM,0.771677360442817,9.01124140639228e-127,1.87073371596704e-123,1.864511,0.756054,0.983986,0.703937
ESAM,0.371921090412835,1.86278980452433e-120,3.51559239472046e-117,0.603497,0.102893,0.811388,0.144724
JAM2,0.266612125307036,1.03288202635954e-119,1.786885905602e-116,0.38513,0.052533,0.606762,0.092126
EBI3,-0.711546189810495,1.6261749290179e-115,2.59687627126244e-112,1.816944,2.951605,0.975089,0.996934
MRLN,0.311177815170095,2.11126874109561e-110,3.13070993322464e-107,0.533242,0.082303,0.69573,0.128751
GNG4,0.46737228122156,3.76711109391803e-107,5.21368175398256e-104,0.841977,0.271012,0.8879,0.37738
NEXN,0.385745562282504,3.50577000046441e-106,4.54873657560257e-103,0.663163,0.171973,0.836299,0.268635
PLA2G7,0.386782482648312,5.79997657525958e-106,7.08279492366994e-103,0.929517,0.152397,0.846975,0.201355
S100A6,-0.732923798350485,1.91606500079115e-104,2.2098616342458e-101,2.159885,3.212981,0.989324,0.99645
CLIC3,-0.768141761123973,1.630887317584e-103,1.78195898489704e-100,1.509504,2.687996,0.94484,0.989029
PSMB9,0.359384537453429,5.64626629844458e-101,5.86082441778548e-98,0.659557,0.161789,0.83274,0.25847
MYL10,0.113385143096346,1.2399458975166e-95,1.22577508725927e-92,0.143393,0.01106,0.36121,0.026299
AGTR1,0.116852752461146,2.64265688448817e-93,2.49370713281701e-90,0.138555,0.008885,0.274021,0.01678
GKN1,0.226620806539278,1.72699812065512e-89,1.55880352107828e-86,0.281525,0.027324,0.377224,0.035818
RTN4R,0.184313388157905,5.0862219527949e-89,4.39958198916759e-86,0.30661,0.036542,0.580071,0.071636
OLFML1,0.10230424394004,8.10979284158834e-88,6.73437197565496e-85,0.152908,0.010001,0.391459,0.022265
MT1X,0.428162766425844,2.51361909099792e-86,2.00702816650449e-83,0.766684,0.295258,0.827402,0.394321
EFNA1,-0.617350011985316,1.57831033189444e-85,1.21354527741217e-82,1.159828,2.157299,0.964413,0.989029
MDK,0.306630257904268,6.98395592704752e-85,5.17810446591095e-82,0.626201,0.147698,0.779359,0.252339
CHST11,0.282917745403377,5.54076266057268e-84,3.96642182184444e-81,0.572315,0.112624,0.827402,0.183446
ALOX5AP,0.194782903551362,2.72286707102296e-83,1.88422401314789e-80,0.402502,0.03584,0.587189,0.070184
PSMB8,0.468685226221634,3.02275828206867e-81,2.02427296566921e-78,1.491446,0.475511,0.962633,0.527912
NSG1,0.297166718596947,5.20028991778592e-81,3.37368808416362e-78,0.750249,0.166853,0.850534,0.273798
PID1,0.221372701958036,1.06910585660186e-79,6.72564775244079e-77,0.436841,0.087024,0.765125,0.170378
IFI27,1.36834551408896,2.96466925930032e-79,1.8101921712669e-76,2.926353,1.229836,0.880783,0.592933
JAZF1,0.178414954615858,2.63221161359997e-77,1.56127751709529e-74,0.331177,0.058547,0.660142,0.129235
WIPF1,0.301398453409415,3.3294427229533e-75,1.91997863690307e-72,0.583921,0.209226,0.893238,0.360923
TPM2,0.633132295937627,1.08528986540944e-74,6.08935610970269e-72,1.497562,0.671902,0.941281,0.602614
LDHA,-0.560014418939827,2.28054051196944e-74,1.2458952902233e-71,1.000379,1.815545,0.953737,0.976444
KRT19,-0.427545540824884,2.30644365820591e-73,1.2277377011373e-70,3.448614,3.733849,0.998221,0.999677
AC108174.1,0.198638698672759,3.78508276289041e-73,1.96445795394013e-70,0.333808,0.052835,0.542705,0.092449
