Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
LINC01602,0.574404395645515,7.84049280081153e-253,1.63121452720884e-248,0.891209,0.113108,0.850534,0.159849
GLIPR1,0.73311554991324,9.72301855618871e-197,1.01143700530753e-192,1.373314,0.30859,0.94306,0.362492
FBXO2,0.449103374284276,1.03015938670094e-188,7.14415534677102e-185,0.799296,0.091731,0.758007,0.150566
FLT1,-1.31952666120879,2.83453827041946e-185,1.47431421790192e-181,1.108499,2.989655,0.855872,0.985368
UBE2L6,0.448377617898956,7.68259067995579e-141,3.1967259819296e-137,0.832691,0.180863,0.850534,0.28068
PIPOX,0.390909664139966,8.37011584356249e-137,2.90233766875529e-133,0.724837,0.142684,0.854093,0.217118
MYL4,0.355641636321139,2.16070641905825e-126,6.42192814978669e-123,0.539081,0.06631,0.672598,0.095343
FES,0.399347799824602,4.07858284748536e-123,1.06068645177416e-119,0.736334,0.116265,0.80605,0.151825
ATP1A4,0.447585697717333,9.97767116448808e-115,2.30650498419083e-111,0.90106,0.158974,0.807829,0.215072
CPM,0.730835318021961,1.69069466930737e-110,3.44025011336916e-107,1.864511,0.787358,0.983986,0.71051
MRLN,0.310350031037667,1.81892579894548e-110,3.44025011336916e-107,0.533242,0.084075,0.69573,0.1309
EBI3,-0.683937480495004,3.15556159619599e-106,5.47095491740481e-103,1.816944,2.944154,0.975089,0.996696
GNG4,0.461814302203456,6.58878707080582e-105,1.05445934621627e-101,0.841977,0.275855,0.8879,0.381687
JAM2,0.255742597871027,1.03136339210518e-104,1.53267966948203e-101,0.38513,0.058219,0.606762,0.099276
PSMB9,0.356375929182453,3.20573830741673e-101,4.44635903238701e-98,0.659557,0.162748,0.83274,0.260069
ESAM,0.355244451518403,9.15739144631635e-101,1.19074705650382e-97,0.603497,0.11658,0.811388,0.156702
NEXN,0.36791169679412,4.43179771317705e-95,5.42373831897932e-92,0.663163,0.178336,0.836299,0.273914
PLA2G7,0.371885425231056,1.71231709453116e-93,1.9791531750956e-90,0.929517,0.165508,0.846975,0.21224
CLIC3,-0.722378842352291,8.62066267630426e-87,9.43962563055317e-84,1.509504,2.644325,0.94484,0.982851
MYL10,0.110822245529616,1.90817808158051e-85,1.98498224936413e-82,0.143393,0.012616,0.36121,0.028634
MT1X,0.427352699004213,5.06651862686408e-85,5.01947238247177e-82,0.766684,0.303377,0.827402,0.399308
S100A6,-0.681397349858247,1.68342415556548e-84,1.59198361620636e-81,2.159885,3.180795,0.989324,0.995123
ALOX5AP,0.194383806122303,2.10706870228068e-82,1.88072248292382e-79,0.402502,0.037869,0.587189,0.073002
PSMB8,0.471494443130712,2.1695428786432e-82,1.88072248292382e-79,1.491446,0.483627,0.962633,0.532882
MDK,0.30179294324793,2.31572698369953e-81,1.92714799583475e-78,0.626201,0.1523,0.779359,0.256765
OLFML1,0.100641116979111,5.62656273885046e-79,4.5023322223763e-76,0.152908,0.011539,0.391459,0.024544
IFI27,1.35155301859956,7.82534741305321e-79,6.02986492328044e-76,2.926353,1.246654,0.880783,0.598804
RTN4R,0.177656558925051,2.22038709325348e-78,1.64982690982638e-75,0.30661,0.040049,0.580071,0.075834
NSG1,0.290347136814845,4.0081931879351e-78,2.87553307844792e-75,0.750249,0.170381,0.850534,0.278005
EFNA1,-0.588441846214058,1.5478349906414e-77,1.07342356600981e-74,1.159828,2.137687,0.964413,0.987571
PID1,0.220166959343747,4.61897134144726e-75,3.09992576641324e-72,0.436841,0.09165,0.765125,0.174953
PDIA3,-0.427336263287045,1.72455064957731e-74,1.12122738326425e-71,1.952388,2.352658,0.983986,0.998427
JAZF1,0.1758028138441,2.72517694084257e-74,1.71810018952211e-71,0.331177,0.060604,0.660142,0.132316
PSAP,-0.471211437660984,3.008995618522e-73,1.84123981892206e-70,1.508858,2.139578,0.996441,0.996067
TPM2,0.621719240006283,1.25196875905987e-72,7.4420600092116e-70,1.497562,0.680899,0.941281,0.6073
GKN1,0.217494824829276,2.50333107942994e-71,1.44671675298722e-68,0.281525,0.034623,0.377224,0.04185
PDE6H,0.605872284662411,3.31943770218322e-71,1.82706452171062e-68,1.681671,0.93262,0.97331,0.755507
FKBP1A,0.547834632054912,3.33710414924314e-71,1.82706452171062e-68,2.641376,1.685056,0.991103,0.959566
ORAI1,0.191405484895084,1.65352670559851e-70,8.82092900255818e-68,0.364295,0.082639,0.724199,0.176998
AK5,0.408147263807417,2.4759179857209e-70,1.28778684232308e-67,0.987667,0.472828,0.953737,0.595028
AC108174.1,0.194229244285406,2.72053471925864e-69,1.38050548376039e-66,0.333808,0.055295,0.542705,0.095972
ADAM12,-0.566399496349548,4.49090348932105e-68,2.22460112131725e-65,1.185998,2.211136,0.980427,0.986941
KRT19,-0.412010069502789,6.32778519646267e-67,3.06161793052107e-64,3.448614,3.717051,0.998221,0.999685
LDHA,-0.532455718580009,1.24344235916957e-66,5.87950415511886e-64,1.000379,1.786559,0.953737,0.96995
JPT1,0.558533884673544,5.56563692271216e-66,2.57317947060059e-63,2.241726,1.372703,0.991103,0.91158
WIPF1,0.287987310190607,2.88345173342717e-65,1.30413507204244e-62,0.583921,0.222542,0.893238,0.370831
PRSS8,-0.505854854933813,6.79448087791713e-65,3.00764201415034e-62,1.081029,1.809662,0.946619,0.979704
COX6C,0.454672384956166,3.56602929842974e-64,1.54565082403814e-61,2.71459,1.950097,0.998221,0.984424
DSP,-0.5568885421951,1.27043207857048e-63,5.39415089686915e-61,0.633208,1.720542,0.845196,0.964758
CHST11,0.258592141671819,2.37606063184745e-63,9.88678828911722e-61,0.572315,0.127016,0.827402,0.195878
AGTR1,0.111622995619755,3.14125972872622e-63,1.28144918933626e-60,0.138555,0.013477,0.274021,0.021554
AIF1L,0.451770021360753,3.46741376634719e-63,1.38729891170872e-60,1.424816,0.715474,0.97153,0.723411
PFN1,0.44854509265932,1.0244386032435e-61,4.02140474348699e-59,3.198157,2.555829,1,0.995437
IFITM3,0.705531535734733,1.60639647686095e-58,6.18908864835038e-56,2.166378,1.337774,0.97153,0.848175
WIPI1,0.352651728195321,4.88830760272028e-58,1.84911344862901e-55,1.041058,0.442389,0.966192,0.583386
MFSD2A,0.372476474450598,5.2703153095744e-58,1.95801625028027e-55,0.886755,0.282525,0.875445,0.353996
TP53I11,0.304774851872756,2.4404539951219e-56,8.90765708219495e-54,0.625967,0.26616,0.870107,0.40859
IFIT1,0.462370476170515,3.13060988704343e-56,1.12297135689549e-53,0.836164,0.314925,0.724199,0.360604
ODC1,0.248452732243112,7.81462646631091e-56,2.75564921409489e-53,0.620798,0.143124,0.836299,0.226243
FYB1,0.441833009148096,4.43740657429344e-55,1.53867072963625e-52,1.165048,0.748149,0.962633,0.750315
TMSB10,0.407107872935461,4.58629675494069e-55,1.56422793420559e-52,5.501053,4.892402,1,1
ISG15,0.703176051138957,7.93148509569007e-55,2.66152495831987e-52,2.754096,1.481632,0.985765,0.870359
ATOX1,0.411991828534051,1.44487420216814e-54,4.77152504382668e-52,1.661712,1.124924,0.994662,0.895532
CETP,0.0662756729909827,2.68929322686242e-54,8.74230399763635e-52,0.097479,0.00823,0.291815,0.01888
RPL36AL,0.353604978084581,4.71902167841681e-54,1.51044993876095e-51,2.189714,1.684757,0.998221,0.980963
CHST7,0.199634755886037,2.86713395281012e-52,9.03798816488099e-50,0.503884,0.123172,0.797153,0.227659
ADAP2,0.2253926760235,7.66047174094398e-52,2.37874797866178e-49,0.465859,0.159993,0.800712,0.280837
FTL,0.546997093561564,1.84694454306468e-51,5.65083547330305e-49,3.358575,1.926666,1,0.974827
HSPA5,-0.490356235746111,4.34182445891002e-51,1.30915446184961e-48,1.926858,2.317105,0.983986,0.993549
HINT1,0.507058272910045,7.15503234491364e-51,2.12657782765612e-48,2.799659,2.08773,0.998221,0.971051
FBLN1,-0.454938367504295,1.03428135913405e-49,3.0307357291245e-47,1.42827,2.534472,0.980427,0.993077
PLXDC2,0.108089157046013,2.40701111312752e-49,6.95525919564138e-47,0.099095,0.027581,0.19395,0.053178
AL390729.1,0.180252974464575,3.26425291727601e-49,9.30312081423662e-47,0.334886,0.094188,0.66548,0.177627
CDKN1C,-0.253245189374225,6.3149002161055e-49,1.77542566210912e-46,3.826511,4.059184,1,1
PROCR,0.350502570984186,7.0588912726972e-49,1.9581364390462e-46,1.07108,0.479993,0.932384,0.613121
HSP90B1,-0.414571596398629,1.01596622337122e-48,2.78120753647871e-46,2.121154,2.880205,0.998221,0.997797
ARPC2,0.333101053773188,6.02393697857031e-48,1.62763647843059e-45,2.682747,2.25956,1,0.990403
ASPSCR1,0.44892913566759,9.01250878901819e-48,2.40391340199389e-45,1.755695,0.898224,0.975089,0.796728
PRPS1,0.130629714645935,9.88657588647819e-47,2.60367356098961e-44,0.250567,0.05439,0.560498,0.118471
CNN2,0.320581543130805,2.09861768267741e-46,5.45771761101294e-44,0.886535,0.398397,0.946619,0.515576
CYBA,0.426457211580612,4.30952799320814e-46,1.10691024566291e-43,1.46341,0.546387,0.94484,0.536029
CD55,-0.425710176893334,8.90712062740832e-46,2.25991030064915e-43,1.106484,1.764158,0.964413,0.980176
IL6ST,0.512808721804628,1.09171654310756e-45,2.7365256240184e-43,1.812983,1.016593,0.985765,0.79012
ABRACL,0.366166636683679,2.42565925726956e-45,6.00783819613014e-43,1.413091,0.827952,0.978648,0.807111
SLC15A3,0.325899379542066,4.74021507489273e-45,1.16023734862521e-42,0.999954,0.389214,0.854093,0.461611
GPC1,-0.402086667712035,4.94505658647874e-45,1.19630118932198e-42,0.538165,1.200857,0.884342,0.928257
BAIAP2,0.0967820723134304,5.5250879379957e-45,1.32125809827587e-42,0.191396,0.029226,0.523132,0.064821
OAF,0.0731299254427706,1.34036540886109e-44,3.16889799219944e-42,0.120291,0.010992,0.318505,0.023757
SULT1A2,0.130429226891756,3.79358340520055e-44,8.86803401631433e-42,0.221065,0.020919,0.339858,0.03068
IL34,0.116598265798253,3.88568739360942e-44,8.98241402489378e-42,0.21087,0.029774,0.414591,0.055381
SRM,0.348683479389521,5.78660975377431e-44,1.32297160359642e-41,1.192916,0.652838,0.97331,0.722624
P4HB,-0.297290236965729,1.56049707622583e-43,3.52892844248677e-41,2.200896,2.485173,0.996441,0.997955
STEAP1,0.0919386153431707,1.09725947342844e-42,2.45467562846007e-40,0.191247,0.014912,0.370107,0.02596
IFI6,0.657041241395035,1.24564852170508e-42,2.75699122277385e-40,3.466979,2.568153,0.998221,0.975614
RALBP1,0.525149313852121,2.06152392493643e-42,4.51473739561078e-40,1.855987,1.206597,0.992883,0.829295
FSCN1,0.213732563530662,3.64551932705574e-42,7.9005239166036e-40,0.723409,0.165945,0.848754,0.240403
ENTPD1,0.0913477041544735,5.26157481651862e-42,1.12852643358423e-39,0.167224,0.030431,0.516014,0.070013
ZNF593,0.310595899740859,6.53987099359132e-42,1.38838791858844e-39,1.020274,0.600511,0.966192,0.730491
CAV1,-0.527756678963157,7.82223288793048e-42,1.6438540932666e-39,0.463028,1.484462,0.606762,0.903084
LTBP1,0.297517329008699,9.0936264588015e-42,1.89192898475365e-39,0.553871,0.268535,0.814947,0.349434
CHCHD10,0.367773233019736,1.22079666563286e-41,2.51472026024669e-39,1.490752,0.901236,0.985765,0.825519
SERPINE1,0.527176932161274,4.66145441868522e-41,9.50799599811234e-39,1.68471,1.009224,0.960854,0.785872
PDIA6,-0.288749354447022,5.14030912099067e-41,1.03829253652632e-38,2.094148,2.466663,0.992883,0.997168
SEC61G,0.354006434813512,5.32574522604984e-41,1.06540509065353e-38,2.174316,1.731787,0.991103,0.974198
NCF1,0.151551112109022,1.21100563524498e-40,2.39952116583541e-38,0.293327,0.092691,0.658363,0.185651
CXXC5,0.083022978704329,1.49612467718536e-40,2.93649753856995e-38,0.13419,0.016204,0.327402,0.029578
SPATA6L,0.0689747050127182,6.43176282158578e-40,1.25058715423451e-37,0.110235,0.018828,0.379004,0.047671
SDC3,0.162819466661142,7.46047823409987e-40,1.43717823759674e-37,0.34944,0.103878,0.727758,0.194462
ATP6V0E1,0.346601737569808,1.29319842629385e-39,2.46834800541684e-37,2.277433,1.598955,0.989324,0.967118
