Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
NOTUM,2.41437167891381,0,0,3.411168,0.843468,0.930459,0.517948
ADAM19,1.18792001888475,0,0,1.731371,0.467627,0.900724,0.414324
MCAM,1.14627738770659,0,0,1.422849,0.193754,0.790277,0.179648
CSH1,2.39134442164023,0,0,4.850565,2.240312,0.982536,0.853539
HTRA4,1.60013175927638,0,0,2.418155,0.596038,0.888137,0.439045
SERPINE2,1.66829964160979,0,0,2.659793,0.771765,0.931718,0.51998
MFAP5,1.00505191162628,0,0,2.549138,1.412345,0.99292,0.830511
TMSB10,0.794831130852713,0,0,4.892402,4.013445,1,0.998984
S100A11,0.645508277355763,0,0,4.111884,3.380308,0.999685,0.998815
TUBB6,0.8491459148338,0,0,1.574601,0.647611,0.927155,0.542499
COL4A1,1.18163114258148,0,0,2.556441,1.325417,0.983166,0.714358
MFAP2,0.72137710287435,0,0,1.068035,0.292565,0.850692,0.29597
ACTB,0.87933791617203,0,0,3.929078,2.951369,0.999843,0.988486
TUBA1C,0.983208591803147,0,0,2.320386,1.229853,0.978288,0.790721
FTH1,-0.987786197498164,0,0,3.541308,4.567359,0.999843,0.999831
ITM2B,0.813608119631381,0,0,3.201934,2.307302,0.999056,0.978835
LGALS1,1.48625597122542,0,0,2.9121,1.338654,0.947294,0.64934
PDE6H,0.703948837979739,0,0,0.93262,0.179306,0.755507,0.196241
MMP2,1.23351566285727,0,0,1.715125,0.41078,0.777533,0.29343
ITGB1,0.782805470062423,0,0,2.498658,1.674581,0.996539,0.900102
IGFBP3,-1.29380678506769,0,0,0.570892,1.933808,0.402297,0.827464
CD63,0.662415552931169,0,0,3.212681,2.491912,0.999056,0.985946
KRT7,0.790456925356032,0,0,2.435834,1.540111,0.992605,0.870471
SH3BGRL3,0.776077272481609,0,0,1.74259,0.874752,0.946822,0.710464
TFPI,1.00604864935791,0,0,2.835502,1.811524,0.99056,0.894006
EVA1B,0.815326173521207,0,0,1.544349,0.674233,0.912052,0.551304
PFN1,0.71096588981912,0,0,2.555829,1.774926,0.995437,0.927701
ENG,-0.84195073115877,0,0,1.339166,2.268536,0.92983,0.972909
ARPC1B,0.704352570998604,0,0,1.754297,0.997031,0.970422,0.741957
TAP1,0.604546903503132,0,0,0.919138,0.236548,0.776432,0.277006
ADGRG6,0.691492909599659,0,0,1.051465,0.329834,0.81545,0.3532
PEG3,-0.747046309309112,0,0,0.369016,1.205898,0.393014,0.762784
PSG2,0.880057948425732,0,0,1.410332,0.488091,0.816394,0.363867
ISM2,0.893808837676768,0,0,2.868375,1.897135,0.995123,0.88554
PYCR1,0.547437692440442,0,0,0.762691,0.228299,0.740245,0.260921
COL4A2,0.830375021352069,0,0,2.169783,1.297356,0.982536,0.768879
FKBP1A,0.678607371794471,0,0,1.685056,0.919809,0.959566,0.742973
HSPG2,0.813077548287203,0,0,1.319518,0.443911,0.840151,0.416356
CBLB,0.580377185539437,0,0,0.909662,0.354801,0.836218,0.379783
PPIC,0.614158270974379,0,0,1.154632,0.506946,0.884833,0.471554
LVRN,0.942578770448416,0,0,1.496513,0.545397,0.807898,0.362851
HEG1,0.551738105764589,0,0,0.799021,0.187065,0.748112,0.21148
CENPX,0.687400828689786,0,0,1.347701,0.657233,0.922435,0.568913
ZNF292,-0.686681983456939,0,0,0.414652,1.16395,0.558999,0.801727
B2M,0.664609277347311,0,0,4.14491,3.360217,1,0.997799
TIMP1,0.562897966473698,0,0,0.789926,0.146442,0.672907,0.173214
UCA1,-0.604557377159951,0,0,0.198288,0.86585,0.253933,0.68896
TFRC,-0.75276823803219,0,0,0.294256,1.104456,0.370831,0.716559
PLA2G16,-0.695738959691754,0,0,0.456595,1.216898,0.516677,0.800711
MMP15,0.678371774361435,0,0,0.878794,0.127908,0.613908,0.148493
FSTL3,1.03659077235791,0,0,3.776443,2.646144,0.994336,0.931934
TPM2,0.548139909807152,0,0,0.680899,0.114415,0.6073,0.138842
ARRDC3,-0.663625007049744,0,0,0.281477,1.02982,0.348647,0.679986
C4orf48,0.551712034044153,0,0,1.015914,0.410236,0.856828,0.428886
RHOC,0.580501327581162,0,0,1.178653,0.484642,0.874135,0.474771
TIMP2,0.749693884958669,0,0,1.584542,0.724989,0.91095,0.567389
