Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
RPL39,-1.50250332794824,0,0,2.249846,3.748469,0.987342,0.999839
TPT1,-1.52651340833695,0,0,1.914799,3.722858,0.943038,1
RPS12,-1.46567416044028,0,0,2.190375,3.936799,0.974684,0.999355
RPLP1,-1.35068594485801,0,0,2.765261,4.257527,1,0.999677
RPS15A,-1.50690413064424,0,0,1.520622,3.260348,0.898734,0.999193
RPL10,-1.40334184808466,0,0,2.514566,4.032307,0.987342,0.999677
RPS14,-1.42268633853317,0,0,2.088412,3.756998,0.987342,0.999193
RPL41,-1.14725482265552,0,0,2.666136,3.900857,0.987342,0.999677
RPL37,-1.21224975586493,0,0,2.41291,3.744679,0.981013,0.999839
RPL18A,-1.29601443335533,0,0,2.082851,3.584908,0.962025,0.999516
RPL26,-1.49921477762865,0,0,1.472035,3.248846,0.873418,0.998709
RPS13,-1.35692771963537,0,0,1.599413,3.227177,0.886076,0.999193
RPL30,-1.27426839598802,0,0,1.936482,3.3458,0.943038,0.999516
RPS27,-1.40249882794523,0,0,2.333217,3.763672,0.993671,0.999677
RPL32,-1.22488802262897,0,0,2.330757,3.676438,0.987342,0.999677
RPL28,-1.19723655180534,0,0,2.27223,3.606554,0.981013,0.999516
RPL12,-1.41928331421664,0,0,1.706094,3.215759,0.924051,0.998871
RPL29,-1.35221378118082,0,0,1.564244,3.242238,0.898734,0.999193
RPS29,-1.23567751316799,0,0,2.083196,3.273417,0.993671,0.999516
RPL36,-1.20875729429366,0,0,2.083839,3.279126,0.981013,0.999193
RPS18,-1.30243749383972,0,0,2.648451,4.166712,0.993671,0.999839
CASQ1,0.485448244545966,0,0,0.533842,0.023124,0.563291,0.053243
RPS27A,-1.17094453619921,0,0,2.112793,3.491105,0.968354,0.999677
RPS3,-1.34080398219314,0,0,1.783178,3.436447,0.962025,0.999516
RPL13,-1.17052049510254,0,0,2.52035,3.959819,1,0.999839
RPL34,-1.26001437848531,4.94065645841247e-323,3.93325660654216e-320,2.302542,3.684633,0.993671,0.999193
RPL15,-1.1288660369705,6.91691904177745e-323,5.30231251116826e-320,2.091397,3.412155,0.968354,0.999355
RPS6,-1.22258235232696,1.97626258336499e-322,1.46090270818798e-319,2.198268,3.582375,0.974684,0.999355
RPS19,-1.2766999749672,3.06320700421573e-322,2.1862898894121e-319,2.300262,3.866861,0.968354,0.999677
