Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
RPL39,-1.53688557795261,0,0,2.249846,3.736167,0.987342,0.999852
RPLP1,-1.38678680334918,0,0,2.765261,4.248837,1,0.999704
RPS12,-1.46755357939448,0,0,2.190375,3.931823,0.974684,0.999408
RPL10,-1.41344763918599,0,0,2.514566,3.999087,0.987342,0.999704
RPS15A,-1.49028433504588,0,0,1.520622,3.240319,0.898734,0.99926
RPL41,-1.16408147078552,0,0,2.666136,3.897705,0.987342,0.999704
TPT1,-1.45682045406512,0,0,1.914799,3.699935,0.943038,1
RPS14,-1.41616199522801,0,0,2.088412,3.732271,0.987342,0.99926
RPL30,-1.2953524829033,0,0,1.936482,3.336433,0.943038,0.999556
RPL18A,-1.3047663030565,0,0,2.082851,3.573193,0.962025,0.999556
RPS13,-1.36891832766369,0,0,1.599413,3.225486,0.886076,0.99926
RPL28,-1.21664229441497,0,0,2.27223,3.606485,0.981013,0.999556
RPL12,-1.44594777958165,0,0,1.706094,3.202628,0.924051,0.998964
RPL36,-1.24691509800375,0,0,2.083839,3.270664,0.981013,0.99926
RPL37,-1.20547717017219,0,0,2.41291,3.721788,0.981013,0.999852
RPL32,-1.24333430045243,0,0,2.330757,3.663903,0.987342,0.999704
RPS27,-1.42160016515973,0,0,2.333217,3.703863,0.993671,0.999704
RPL26,-1.47178512981163,0,0,1.472035,3.223306,0.873418,0.998817
RPS29,-1.23727391518962,0,0,2.083196,3.242107,0.993671,0.999556
RPL29,-1.31749908112081,0,0,1.564244,3.238715,0.898734,0.99926
RPS18,-1.29153478205622,0,0,2.648451,4.132965,0.993671,0.999852
RPS8,-1.52289308946322,0,0,2.337266,3.909026,0.974684,0.999112
RPS27A,-1.16918278557665,0,0,2.112793,3.481825,0.968354,0.999704
RPS28,-1.11180402762123,0,0,2.533499,3.529334,1,0.999556
RPS6,-1.23275473082465,0,0,2.198268,3.561742,0.974684,0.999408
RPL34,-1.2704149754498,0,0,2.302542,3.659856,0.993671,0.99926
RPL15,-1.12055477359494,0,0,2.091397,3.398961,0.968354,0.999408
RPL13,-1.15179729860725,0,0,2.52035,3.940437,1,0.999852
RPS15,-1.0011308367935,0,0,2.263002,3.366034,0.974684,0.999704
RPS19,-1.24814019309786,4.96041908424612e-321,3.44005063492468e-318,2.300262,3.84359,0.968354,0.999704
RPL18,-1.15914577680589,2.63290547062675e-318,1.76701930020994e-315,1.915864,3.279324,0.962025,0.999408
RPS3,-1.29076245090443,4.95645173711001e-317,3.22246807455103e-314,1.783178,3.409203,0.962025,0.999556
RPL27,-1.12971735188172,5.97139286417967e-310,3.76469177391691e-307,1.511357,2.739637,0.905063,0.999112
RPL35A,-1.10394172889437,4.47551213906783e-303,2.7386185309796e-300,1.858345,3.089804,0.962025,0.999556
RPS7,-1.10564961083072,1.37622260488092e-301,8.18066036987072e-299,2.031055,3.302922,0.968354,0.999112
RPL24,-1.13814265825468,4.00753418943175e-299,2.3160208003091e-296,1.671256,2.863584,0.924051,0.998669
RPS3A,-1.25845459222704,5.85238376984025e-297,3.29077957652774e-294,1.694213,3.209308,0.955696,0.999852
CASQ1,0.472016285431621,2.50102723355626e-294,1.36931241037205e-291,0.533842,0.030443,0.563291,0.076923
RPL9,-1.15599140035918,1.56363416214403e-290,8.34138685728373e-288,1.701185,3.114748,0.949367,0.999112
RPL19,-1.01907714963136,1.87211146962901e-289,9.73731978140788e-287,1.915737,3.206644,0.968354,0.999556
UBA52,-0.987229883252358,1.99919549889356e-289,1.01446981352392e-286,1.839777,2.823008,0.974684,0.998964
