Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
NOTUM,2.42314003597996,0,0,3.445863,0.843468,0.934763,0.517948
MCAM,1.14689665256578,0,0,1.420157,0.193754,0.802959,0.179648
ADAM19,1.19609391816972,0,0,1.741317,0.467627,0.906805,0.414324
HTRA4,1.61665627898934,0,0,2.484146,0.596038,0.894822,0.439045
CSH1,2.39352228664696,0,0,4.887507,2.240312,0.98358,0.853539
SERPINE2,1.6733343401185,0,0,2.676825,0.771765,0.935799,0.51998
TMSB10,0.823781810343005,0,0,4.954614,4.013445,1,0.998984
MFAP5,1.01921597880294,0,0,2.593413,1.412345,0.993047,0.830511
S100A11,0.660341207402759,0,0,4.150552,3.380308,0.999704,0.998815
ACTB,0.894673819692323,0,0,3.961661,2.951369,0.999852,0.988486
TUBB6,0.855382661053198,0,0,1.600046,0.647611,0.931657,0.542499
MFAP2,0.725185335733345,0,0,1.072964,0.292565,0.860207,0.29597
TUBA1C,0.999950841125708,0,0,2.369599,1.229853,0.980325,0.790721
LGALS1,1.51136432569837,0,0,2.974624,1.338654,0.950888,0.64934
COL4A1,1.15909084256429,0,0,2.48842,1.325417,0.983876,0.714358
ITM2B,0.818524314728263,0,0,3.233018,2.307302,0.99926,0.978835
FTH1,-0.968469439608086,0,0,3.59213,4.567359,1,0.999831
MMP2,1.24010471808394,0,0,1.703568,0.41078,0.788757,0.29343
PDE6H,0.721200859847961,0,0,0.987606,0.179306,0.77145,0.196241
ITGB1,0.778635680240476,0,0,2.474555,1.674581,0.996746,0.900102
IGFBP3,-1.3025404653305,0,0,0.540413,1.933808,0.389349,0.827464
SH3BGRL3,0.804796859733016,0,0,1.814548,0.874752,0.952959,0.710464
EVA1B,0.835869575213685,0,0,1.594308,0.674233,0.919822,0.551304
CD63,0.665114764961583,0,0,3.233648,2.491912,0.998817,0.985946
PFN1,0.73766700391694,0,0,2.621786,1.774926,0.99645,0.927701
KRT7,0.792411701836657,0,0,2.440164,1.540111,0.992604,0.870471
TFPI,1.01249297232221,0,0,2.842696,1.811524,0.991864,0.894006
ARPC1B,0.719737003335691,0,0,1.785891,0.997031,0.973373,0.741957
ENG,-0.857238049533561,0,0,1.282613,2.268536,0.92929,0.972909
ADGRG6,0.686696080181153,0,0,1.038137,0.329834,0.826036,0.3532
TAP1,0.612475709000581,0,0,0.954894,0.236548,0.789497,0.277006
PEG3,-0.74729894840637,0,0,0.34866,1.205898,0.378994,0.762784
FKBP1A,0.703242655953405,0,0,1.765131,0.919809,0.962722,0.742973
PSG2,0.883209447856157,0,0,1.448443,0.488091,0.827367,0.363867
PPIC,0.621170233119056,0,0,1.164512,0.506946,0.894379,0.471554
PYCR1,0.552612998574652,0,0,0.778295,0.228299,0.757692,0.260921
B2M,0.683450594231672,0,0,4.19934,3.360217,1,0.997799
ISM2,0.890144119512199,0,0,2.835949,1.897135,0.995266,0.88554
ZNF292,-0.692021490349578,0,0,0.396075,1.16395,0.555917,0.801727
CENPX,0.695367469626106,0,0,1.342844,0.657233,0.929438,0.568913
HSPG2,0.798623780983833,0,0,1.276129,0.443911,0.848521,0.416356
HEG1,0.549148574938067,0,0,0.790298,0.187065,0.761243,0.21148
LVRN,0.938331670202319,0,0,1.472556,0.545397,0.819231,0.362851
TIMP1,0.574144240445848,0,0,0.843401,0.146442,0.692308,0.173214
CBLB,0.57238332150704,0,0,0.877867,0.354801,0.840828,0.379783
MMP15,0.682184674487376,0,0,0.889149,0.127908,0.636834,0.148493
COL4A2,0.817085818891275,0,0,2.122449,1.297356,0.983432,0.768879
UCA1,-0.610427676310034,0,0,0.191265,0.86585,0.250296,0.68896
TFRC,-0.757340388353934,0,0,0.280604,1.104456,0.369675,0.716559
PLA2G16,-0.696264763963863,0,0,0.45417,1.216898,0.53358,0.800711
ITGA1,0.480667470437202,0,0,0.640664,0.096201,0.644675,0.118524
RHOC,0.597028880249368,0,0,1.230856,0.484642,0.885207,0.474771
FSTL3,1.04067797082358,0,0,3.762304,2.646144,0.994822,0.931934
C4orf48,0.563230259374436,0,0,1.047545,0.410236,0.868343,0.428886
TIMP2,0.759630216039006,0,0,1.625797,0.724989,0.916272,0.567389
ARRDC3,-0.662662402176775,0,0,0.265421,1.02982,0.336538,0.679986
RALBP1,0.740372782404195,0,0,1.263659,0.499077,0.844083,0.452421
TPM2,0.568951080610135,0,0,0.740544,0.114415,0.630769,0.138842
ATF3,-0.684412388290586,0,0,0.323684,1.094027,0.368935,0.738402
EGFR,-0.633911013503501,0,0,0.378909,1.118689,0.456805,0.744836
CALU,0.631626935703933,0,0,1.949014,1.277704,0.982544,0.82594
RRBP1,0.633498079602721,0,0,1.785931,1.102221,0.978994,0.771588
VASP,0.566653227281496,0,0,1.334591,0.668041,0.926627,0.621571
PLTP,0.599629439873327,0,0,0.883287,0.182495,0.681953,0.208601
TUBB2A,0.60818323268524,0,0,0.981542,0.275106,0.779438,0.282086
HPGD,1.00692255964642,0,0,1.515254,0.292384,0.720858,0.259228
STMN1,0.764798702881876,0,0,1.599672,0.78418,0.91997,0.556045
CD151,0.599336081103329,0,0,1.599756,0.923861,0.960059,0.720284
SLCO4A1,0.645499419166305,0,0,1.431661,0.832835,0.946746,0.625296
CTSL,0.909038453415241,0,0,2.731235,1.645016,0.983876,0.884694
CFL1,0.627924152019489,0,0,2.141298,1.407582,0.988166,0.847105
CSF2RB,0.516434272337846,0,0,0.877467,0.312797,0.810207,0.33593
QSOX1,0.686089867040001,0,0,2.346826,1.602417,0.99216,0.888757
CAP1,0.565958623977099,0,0,1.427578,0.783658,0.939793,0.677447
CORO1B,0.51658561558831,0,0,0.937269,0.341775,0.807249,0.397223
IL1R1,0.482107297063361,0,0,0.78142,0.292203,0.795562,0.327802
IL2RB,0.442657392242089,0,0,0.620503,0.112543,0.635207,0.134101
MYCNUT,0.619579599738063,0,0,1.272912,0.608166,0.896154,0.513546
