Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
RPL39,-1.50006123636544,0,0,2.249846,3.736167,0.987342,0.999852
RPS12,-1.46480717601435,0,0,2.190375,3.931823,0.974684,0.999408
RPLP1,-1.34228532900964,0,0,2.765261,4.248837,1,0.999704
RPS15A,-1.49215195410697,0,0,1.520622,3.240319,0.898734,0.99926
TPT1,-1.4972136285042,0,0,1.914799,3.699935,0.943038,1
RPL10,-1.39194497868445,0,0,2.514566,3.999087,0.987342,0.999704
RPL41,-1.14968350481494,0,0,2.666136,3.897705,0.987342,0.999704
RPS14,-1.40347171310185,0,0,2.088412,3.732271,0.987342,0.99926
RPL18A,-1.29018660175201,0,0,2.082851,3.573193,0.962025,0.999556
RPS13,-1.35531040063514,0,0,1.599413,3.225486,0.886076,0.99926
RPL30,-1.27338069983949,0,0,1.936482,3.336433,0.943038,0.999556
RPL37,-1.19286895498569,0,0,2.41291,3.721788,0.981013,0.999852
RPL26,-1.47821185818298,0,0,1.472035,3.223306,0.873418,0.998817
RPL28,-1.19766926021566,0,0,2.27223,3.606485,0.981013,0.999556
RPL12,-1.41473573134688,0,0,1.706094,3.202628,0.924051,0.998964
RPL32,-1.21655825989984,0,0,2.330757,3.663903,0.987342,0.999704
RPL29,-1.34105847878869,0,0,1.564244,3.238715,0.898734,0.99926
RPL36,-1.2069787902789,0,0,2.083839,3.270664,0.981013,0.99926
RPS29,-1.22293895988087,0,0,2.083196,3.242107,0.993671,0.999556
RPS27,-1.36687390770889,0,0,2.333217,3.703863,0.993671,0.999704
RPS27A,-1.16972821200111,0,0,2.112793,3.481825,0.968354,0.999704
RPS18,-1.27065340109652,0,0,2.648451,4.132965,0.993671,0.999852
RPL15,-1.12045281411015,0,0,2.091397,3.398961,0.968354,0.999408
RPS8,-1.47940537862084,0,0,2.337266,3.909026,0.974684,0.999112
RPL34,-1.25088494244619,0,0,2.302542,3.659856,0.993671,0.99926
RPL13,-1.15167052910481,0,0,2.52035,3.940437,1,0.999852
RPS6,-1.20434215963198,0,0,2.198268,3.561742,0.974684,0.999408
RPS3,-1.31414220322224,3.95252516672997e-323,2.93672619888037e-320,1.783178,3.409203,0.962025,0.999556
RPS19,-1.26010800618558,7.8062372042917e-322,5.60028350217511e-319,2.300262,3.84359,0.968354,0.999704
RPL18,-1.15400892714907,2.2381710094511e-314,1.55217159505434e-311,1.915864,3.279324,0.962025,0.999408
RPS15,-0.986151840853502,1.4647501776903e-311,9.83036369253118e-309,2.263002,3.366034,0.974684,0.999704
RPS3A,-1.26698151926766,1.84325793082475e-300,1.19840566408778e-297,1.694213,3.209308,0.955696,0.999852
CASQ1,0.475263646659033,4.7888050014254e-300,3.0191238804441e-297,0.533842,0.030443,0.563291,0.076923
RPL9,-1.17197008753738,6.87560804259507e-297,4.20726545077031e-294,1.701185,3.114748,0.949367,0.999112
RPS7,-1.09599286751434,4.01170995288313e-295,2.33237326318721e-292,2.031055,3.302922,0.968354,0.999112
RPL35A,-1.08711123662087,4.03582972721651e-295,2.33237326318721e-292,1.858345,3.089804,0.962025,0.999556
RPL27,-1.10265296830413,5.74865504865003e-293,3.23245319695038e-290,1.511357,2.739637,0.905063,0.999112
RPS28,-1.05286290589223,9.9651503899639e-293,5.45591983850523e-290,2.533499,3.529334,1,0.999556
RPL19,-1.02984306292073,1.8258462867454e-291,9.74018769121487e-289,1.915737,3.206644,0.968354,0.999556
RPL24,-1.11547867853717,8.21700831252568e-287,4.27387144855242e-284,1.671256,2.863584,0.924051,0.998669
PLXNB2,1.18111656701863,2.05990968989431e-286,1.04527856337198e-283,1.637601,0.27034,0.936709,0.401923
RPS25,-1.12351435045836,1.92163785312305e-280,9.51897036529166e-278,1.55052,2.873081,0.917722,0.998373
RPS5,-1.22011662021941,8.89720187053215e-276,4.30479732363771e-273,1.372791,2.80839,0.841772,0.998077
FAU,-0.96321847177402,1.77418353103763e-270,8.3890655370995e-268,1.712463,2.711994,0.949367,0.998817
UBA52,-0.957799883723508,4.67169804132368e-270,2.15988172777198e-267,1.839777,2.823008,0.974684,0.998964
RPL10A,-1.11874452539602,7.44892655380459e-265,3.36901993373705e-262,1.616253,3.021683,0.962025,0.998521
