Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
COL4A1,1.61432405373223,0,0,2.253908,0.566905,0.984043,0.503177
ACAN,0.735197557614806,0,0,0.826726,0.099646,0.791489,0.125088
CCNE1,1.67870887135906,0,0,2.618587,0.811309,0.996809,0.612262
LGALS1,1.55592766689653,0,0,2.001502,0.383073,0.869149,0.336785
HAPLN3,1.26045598551529,0,0,1.743436,0.380071,0.968085,0.300894
LOXL1,0.427874814979907,0,0,0.489951,0.041108,0.620213,0.059896
LAMA4,0.495159362507238,0,0,0.541511,0.05048,0.604255,0.067781
LMO2,0.687807428099563,0,0,0.846831,0.14148,0.779787,0.170628
NOTUM,1.2509922242952,0,0,1.652786,0.335505,0.812766,0.320428
PAG1,0.405136419985438,0,0,0.454727,0.038655,0.580851,0.05213
MMP2,0.796003274816089,0,0,0.933435,0.119553,0.569149,0.130854
COL4A2,1.12486602035142,0,0,1.994527,0.799978,0.990426,0.657096
LRRC32,0.416153236865871,0,0,0.480671,0.040761,0.560638,0.049541
CSH1,1.90828191141156,0,0,3.415123,1.378905,0.97766,0.781713
APOC1,0.626370695160266,0,0,0.823751,0.18694,0.819149,0.244175
HTRA4,0.884147091338299,0,0,1.188351,0.226573,0.756383,0.230878
MYCNUT,0.685613414013132,0,0,0.873863,0.181419,0.793617,0.195105
MFAP2,0.432857335454265,0,0,0.531729,0.061864,0.58617,0.079077
SLCO4A1,0.827039388846313,0,0,1.206957,0.318808,0.907447,0.310544
CCNB1,0.929135194845462,0,0,1.354789,0.361263,0.844681,0.331607
TUBB6,0.78392771674614,0,0,1.320332,0.432154,0.904255,0.469405
PGF,1.05755545826704,0,0,2.228424,1.127391,0.98617,0.805719
BGN,0.62742739907637,0,0,0.796324,0.150389,0.676596,0.162273
AC211486.5,0.322317878485441,8.79436849597419e-322,7.81231421173554e-319,0.375171,0.034997,0.496809,0.043893
TFPI,1.09229438962759,4.31325995675843e-309,3.67834809112359e-306,2.276085,1.142838,0.981915,0.797599
QSOX1,0.942871379307427,1.95621229717073e-304,1.60409408368e-301,1.756457,0.752255,0.978723,0.630619
