Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
SAT1,1.1635481060039,0,0,3.651887,2.460371,0.999597,0.965992
SH3BP5,0.884781413473408,0,0,1.530987,0.632167,0.883004,0.557778
FLT1,1.23252448828332,0,0,3.223634,1.956121,0.992549,0.880442
DIO2,0.995884337872392,0,0,1.896145,0.922889,0.842328,0.618028
QSOX1,0.812132701036261,0,0,1.573259,0.752255,0.871728,0.630619
FSTL3,1.1729776062331,0,0,2.59873,1.445125,0.92066,0.788185
TMEM91,0.646302794866512,0,0,1.038746,0.379787,0.737414,0.376677
TGFB1,0.714981990230666,0,0,1.358085,0.63572,0.837495,0.552365
CDKN1C,0.938156400681562,0,0,3.769277,2.838275,0.989932,0.951636
EBI3,0.830463290616311,0,0,2.664674,1.788107,0.977648,0.891269
ADM,0.827187418414648,0,0,1.956614,1.1103,0.938582,0.753942
NUCB2,0.683323601575177,0,0,1.54456,0.859533,0.881595,0.707696
LGALS1,0.833916590632403,0,0,1.213185,0.383073,0.607733,0.336785
HLA-G,0.776110722607462,0,0,1.825183,1.118354,0.679219,0.61285
CEBPB,0.65472724987616,0,0,1.787917,1.113783,0.925695,0.793834
FTH1,0.68066561164613,0,0,4.788391,4.081472,0.999799,0.999412
LYN,0.389858926529645,0,0,0.525661,0.129547,0.46919,0.170511
MEST,-0.562902982243484,0,0,0.320555,0.881718,0.306081,0.682043
ITGA5,0.520572264473143,0,0,0.845637,0.316517,0.62646,0.327724
CD55,0.634180523217486,0,0,2.224782,1.567425,0.966975,0.898211
SELENOM,0.455759254570745,0,0,0.733246,0.267997,0.592429,0.306896
MT-ND1,-0.717654076202625,0,0,2.418542,3.160304,0.957108,0.98329
IL10RA,0.36275214205721,0,0,0.477813,0.109193,0.424487,0.137679
ADAM12,0.617823870938967,0,0,1.600114,0.966629,0.879783,0.733584
NECTIN4,0.571085124896927,0,0,1.069384,0.468102,0.691301,0.390916
ABCA7,0.424009281914736,0,0,0.664835,0.238687,0.558598,0.281243
TACSTD2,-0.509281859674608,0,0,0.182516,0.701403,0.175594,0.53895
FOS,0.761449606477212,0,0,2.975128,2.200778,0.987314,0.926571
LY6E,-0.704180663991207,0,0,1.946251,2.66232,0.876963,0.964462
MT-CO3,-0.781278233620514,0,0,3.600212,4.408341,0.991542,0.995999
BNIP3,0.601411326832753,0,0,1.880357,1.275508,0.92066,0.842551
ANGPTL4,0.570292421201934,0,0,0.903437,0.344922,0.541079,0.324547
AGXT,0.608488207982375,0,0,1.028507,0.419295,0.589408,0.335726
NAP1L1,-0.496802179673459,0,0,0.767816,1.271424,0.651027,0.847494
HEY1,0.407299257180326,0,0,0.626294,0.209116,0.521547,0.216639
MT-CYB,-0.707866259257976,0,0,3.32595,4.053979,0.988119,0.995764
COL4A1,0.598231138160082,0,0,1.149665,0.566905,0.663311,0.503177
HMGA1,-0.387252478313411,0,0,0.174819,0.576018,0.20298,0.548129
ENG,0.637000159105404,0,0,2.366585,1.700907,0.972211,0.885973
CAV1,0.688184464420618,0,0,1.730384,1.035332,0.850584,0.646505
MT-CO2,-0.680995950257056,0,0,3.959053,4.647964,0.997181,0.998823
SLC16A3,0.522301752607119,0,0,1.462268,0.93709,0.863472,0.734173
MT-CO1,-0.588991537658717,0,0,3.828545,4.425668,0.99557,0.999529
S100P,0.631218020415035,0,0,2.0572,1.392286,0.935763,0.790068
MT-ATP6,-0.730011938812938,0,0,3.200332,3.948654,0.98228,0.991645
PLCL2,0.336713371399259,0,0,0.493828,0.1596,0.450665,0.203695
CSTB,0.623468441871263,0,0,2.216593,1.593738,0.950665,0.903742
CALM2,-0.528856915090289,4.24896455423472e-322,1.91124354437228e-319,0.938135,1.472002,0.691704,0.866086
PCOLCE2,0.444518510220083,6.01771956634638e-321,2.65160585532184e-318,0.842391,0.397103,0.632501,0.420099
MYCNUT,0.371153977276556,5.32610276014681e-317,2.29991769406446e-314,0.557873,0.181419,0.460532,0.195105
MT-ND4,-0.571514135524736,9.85186253323187e-315,4.17081497951144e-312,3.290276,3.870086,0.990334,0.996352
