,gene,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencySecondBest,geneFrequencyGlobal,secondBestClusterName,tfidf,idf,qval
1,LOXL1,0,0.657907723,0.073946266,0.573099415,0.171193196,14,1.161182499,1.76496256,0
2,PAG1,0,0.656427338,0.085703722,0.573099415,0.180746158,14,1.122925088,1.710661673,0
3,B3GNT7,0,0.612755983,0.069854572,0.590643275,0.160263785,14,1.121915864,1.830934165,0
4,LAMA4,0,0.611028868,0.072442692,0.426900585,0.16213329,14,1.111667126,1.819336507,0
5,PDE6H,0,0.722797927,0.114246981,0.789473684,0.215588791,14,1.10904844,1.53438243,0
6,SLC25A15,0,0.524302985,0.053241311,0.602339181,0.131687074,14,1.062933507,2.027326825,0
7,PYCR1,0,0.708117444,0.131599704,0.766081871,0.227607034,14,1.04810918,1.480134671,0
8,TIMP1,0,0.645571182,0.107838304,0.666666667,0.197386803,14,1.047497351,1.622590011,0
9,MFAP2,0,0.826548236,0.174932216,0.859649123,0.283445641,14,1.042058223,1.260734918,0
10,TUBB2A,0,0.749691586,0.15149125,0.631578947,0.251109376,14,1.035973818,1.381866673,0
11,ITGA1,0,0.590426844,0.090214444,0.766081871,0.173514668,14,1.034128567,1.751493139,0
12,MXRA7,0,0.694670614,0.132117328,0.83625731,0.225799162,14,1.033745829,1.488109339,0
13,MCAM,0,0.743029854,0.150332758,0.888888889,0.249034432,14,1.032933438,1.390164112,0
14,HEG1,0,0.726252159,0.145008627,0.842105263,0.241802942,14,1.031010931,1.419632174,0
15,IL10RA,0,0.688132248,0.133399063,0.5015625,0.225778618,8,1.024078636,1.488200327,0
16,IL2RB,0,0.574389341,0.091027853,0.812865497,0.1715219,14,1.012673868,1.763044324,0
17,FGFRL1,0,0.469158648,0.046586147,0.643274854,0.116957022,14,1.006790412,2.145948746,0
18,LRRC32,0,0.543177893,0.084446635,0.368421053,0.160839017,14,0.992576833,1.827351308,0
19,ALDH2,0,0.602269924,0.11069756,0.619883041,0.192558961,14,0.992151093,1.64735288,0
20,FBLIM1,0,0.67838638,0.143086024,0.795321637,0.232229435,14,0.990464094,1.46002945,0
21,ADA,0,0.502097212,0.067833374,0.514619883,0.140151204,14,0.986637797,1.965033411,0
22,HAPLN3,0,0.852331606,0.208996796,0.76193634,0.316131153,11,0.981543467,1.151598111,0
23,P4HA2,0,0.694177153,0.153611043,0.520467836,0.243631358,14,0.980246879,1.412099022,0
24,PTH1R,0,0.463113743,0.052920877,0.473684211,0.121230175,14,0.977199761,2.110064267,0
25,AK5,0,0.59351098,0.114370224,0.81871345,0.194161394,14,0.972803394,1.639065539,0
26,EGFR-AS1,0,0.476807303,0.061128913,0.514619883,0.130351713,14,0.971503937,2.037518994,0
27,EPOR,0,0.477300765,0.061671186,0.619883041,0.130885858,14,0.970557528,2.033429652,0
28,TPM2,0,0.575006168,0.108947498,0.666666667,0.186560112,14,0.965436378,1.679001777,0
29,CA2,0,0.501110289,0.076682278,0.49122807,0.14736215,14,0.959557109,1.914862118,0
30,PLTP,0,0.633481372,0.137712596,0.590643275,0.220272824,14,0.958386613,1.51288839,0
31,CALHM2,0,0.550209721,0.100542273,0.602339181,0.175425261,14,0.957663233,1.740542191,0
32,ACAN,0,0.523069331,0.088489031,0.446286472,0.160859561,11,0.955764619,1.827223585,0
33,LMO2,0,0.576486553,0.115873798,0.467836257,0.192579505,14,0.949615282,1.647246196,0
34,HUNK,0,0.484085862,0.072220853,0.725146199,0.140808612,14,0.948979498,1.960353672,0
35,SPON2,0,0.45324451,0.057850629,0.210526316,0.123695456,14,0.94725054,2.089932737,0
36,AIF1L,0,0.704416482,0.177273848,0.842105263,0.265058756,14,0.935326851,1.327803757,0
