,Empty_droplet_sum,Cell_sum,Soup_probability
MIR1302-2HG,1.0,0.0,1.0
OR4F5,1.0,0.0,1.0
AL627309.1,294.0,246.0,0.5444444444444444
AL627309.3,23.0,18.0,0.5609756097560976
AL627309.4,6.0,0.0,1.0
AL732372.1,846.0,608.0,0.5818431911966988
AC114498.1,274.0,188.0,0.5930735930735931
AL669831.2,34.0,26.0,0.5666666666666667
AL669831.5,2391.0,2141.0,0.5275816416593115
FAM87B,5.0,0.0,1.0
LINC00115,690.0,625.0,0.5247148288973384
FAM41C,487.0,413.0,0.5411111111111111
AL645608.7,3.0,0.0,1.0
AL645608.3,36.0,13.0,0.7346938775510204
AL645608.5,1.0,0.0,1.0
AL645608.1,4.0,0.0,1.0
SAMD11,136.0,79.0,0.6325581395348837
NOC2L,31381.0,27401.0,0.533853900854003
KLHL17,2546.0,2053.0,0.5535986083931289
PLEKHN1,2441.0,2034.0,0.5454748603351955
PERM1,83.0,62.0,0.5724137931034483
AL645608.8,190.0,163.0,0.5382436260623229
HES4,16457.0,13168.0,0.5555105485232068
ISG15,539535.0,428694.0,0.5572390415903675
AL645608.2,15.0,11.0,0.5769230769230769
AGRN,11780.0,9634.0,0.5501074063696647
AL645608.9,2.0,0.0,1.0
RNF223,5877.0,5021.0,0.5392732611488347
C1orf159,6007.0,4726.0,0.5596757663281469
LINC01342,24.0,11.0,0.6857142857142857
AL390719.2,12.0,0.0,1.0
TTLL10-AS1,18.0,8.0,0.6923076923076923
TTLL10,135.0,85.0,0.6136363636363636
TNFRSF18,141.0,60.0,0.7014925373134329
TNFRSF4,143.0,110.0,0.5652173913043478
SDF4,124245.0,99286.0,0.5558289454259141
B3GALT6,11457.0,9840.0,0.5379630933934357
C1QTNF12,5756.0,4333.0,0.5705223510754287
AL162741.1,43.0,33.0,0.5657894736842105
UBE2J2,33246.0,27769.0,0.5448824059657461
LINC01786,32.0,9.0,0.7804878048780488
SCNN1D,450.0,342.0,0.5681818181818182
ACAP3,9631.0,7605.0,0.5587723369691344
PUSL1,13451.0,11389.0,0.5415056360708534
INTS11,32599.0,27477.0,0.5426293361741794
CPTP,9268.0,7494.0,0.5529173129698127
TAS1R3,21.0,8.0,0.7241379310344828
DVL1,23122.0,18449.0,0.5562050467874239
MXRA8,36710.0,28754.0,0.5607662226567274
AURKAIP1,177105.0,148354.0,0.544169926165815
CCNL2,38896.0,31971.0,0.5488591304838641
MRPL20,118652.0,96542.0,0.5513722501556735
AL391244.3,343.0,287.0,0.5444444444444444
ANKRD65,5544.0,4869.0,0.5324114088159032
AL391244.2,3.0,0.0,1.0
TMEM88B,1.0,0.0,1.0
LINC01770,84.0,71.0,0.5419354838709678
