,Empty_droplet_sum,Cell_sum,Soup_probability
AL627309.1,24.0,19.0,0.5581395348837209
AL627309.3,1.0,0.0,1.0
AL627309.4,2.0,0.0,1.0
AL732372.1,174.0,132.0,0.5686274509803921
AC114498.1,64.0,37.0,0.6336633663366337
AL669831.2,0.0,5.0,0.0
AL669831.5,50.0,159.0,0.23923444976076555
LINC00115,12.0,30.0,0.2857142857142857
FAM41C,26.0,48.0,0.35135135135135137
AL645608.3,2.0,0.0,1.0
SAMD11,5.0,11.0,0.3125
NOC2L,1040.0,1395.0,0.4271047227926078
KLHL17,151.0,331.0,0.3132780082987552
PLEKHN1,114.0,191.0,0.3737704918032787
PERM1,5.0,13.0,0.2777777777777778
AL645608.8,11.0,19.0,0.36666666666666664
HES4,1570.0,2344.0,0.40112416964741954
ISG15,35176.0,33293.0,0.513750748513926
AL645608.2,0.0,4.0,0.0
AGRN,761.0,1683.0,0.3113747954173486
RNF223,326.0,603.0,0.35091496232508074
C1orf159,488.0,741.0,0.39707078925956063
LINC01342,2.0,0.0,1.0
AL390719.2,2.0,0.0,1.0
TTLL10-AS1,1.0,0.0,1.0
TTLL10,11.0,9.0,0.55
TNFRSF4,9.0,6.0,0.6
SDF4,11094.0,11989.0,0.4806134384612052
B3GALT6,463.0,813.0,0.3628526645768025
C1QTNF12,795.0,835.0,0.48773006134969327
AL162741.1,1.0,6.0,0.14285714285714285
UBE2J2,1612.0,1910.0,0.45769449176604204
LINC01786,4.0,0.0,1.0
SCNN1D,31.0,47.0,0.3974358974358974
ACAP3,591.0,1136.0,0.34221192819918933
PUSL1,533.0,647.0,0.4516949152542373
INTS11,1130.0,1651.0,0.40632865875584323
CPTP,514.0,527.0,0.49375600384245916
TAS1R3,4.0,4.0,0.5
DVL1,1733.0,2110.0,0.4509497788186313
MXRA8,3834.0,4793.0,0.44441868552219777
AURKAIP1,8168.0,9236.0,0.4693173982992416
CCNL2,1761.0,3255.0,0.35107655502392343
MRPL20,7369.0,7800.0,0.48579339442283603
AL391244.3,11.0,34.0,0.24444444444444444
ANKRD65,33.0,126.0,0.20754716981132076
TMEM88B,1.0,0.0,1.0
LINC01770,7.0,9.0,0.4375
VWA1,3294.0,7517.0,0.3046896679308112
ATAD3C,40.0,62.0,0.39215686274509803
ATAD3B,322.0,436.0,0.42480211081794195
ATAD3A,712.0,728.0,0.49444444444444446
TMEM240,32.0,45.0,0.4155844155844156
SSU72,4122.0,5859.0,0.41298467087466184
AL645728.1,33.0,101.0,0.2462686567164179
FNDC10,17.0,54.0,0.23943661971830985
AL691432.2,42.0,62.0,0.40384615384615385
MIB2,565.0,889.0,0.3885832187070151
MMP23B,59.0,114.0,0.34104046242774566
CDK11B,1178.0,1342.0,0.46746031746031746
FO704657.1,33.0,31.0,0.515625
SLC35E2B,186.0,317.0,0.3697813121272366
CDK11A,445.0,617.0,0.4190207156308851
SLC35E2A,137.0,217.0,0.3870056497175141
NADK,1470.0,1161.0,0.5587229190421893
GNB1,6957.0,7545.0,0.47972693421597024
AL109917.1,11.0,5.0,0.6875
CALML6,3.0,7.0,0.3
TMEM52,43.0,74.0,0.36752136752136755
CFAP74,77.0,75.0,0.506578947368421
AL391845.2,2.0,0.0,1.0
GABRD,6.0,11.0,0.35294117647058826
AL391845.1,3.0,0.0,1.0
PRKCZ,8439.0,6689.0,0.5578397673188789
AL590822.2,54.0,172.0,0.23893805309734514
PRKCZ-AS1,6.0,13.0,0.3157894736842105
FAAP20,2904.0,4355.0,0.40005510400881666
SKI,272.0,344.0,0.44155844155844154
MORN1,38.0,63.0,0.37623762376237624
RER1,7312.0,10933.0,0.4007673335160318
PEX10,593.0,617.0,0.4900826446280992
PLCH2,1.0,0.0,1.0
AL139246.1,0.0,3.0,0.0
PANK4,441.0,381.0,0.5364963503649635
HES5,12.0,44.0,0.21428571428571427
AL139246.5,115.0,226.0,0.33724340175953077
TNFRSF14-AS1,1.0,0.0,1.0
TNFRSF14,43.0,87.0,0.33076923076923076
FAM213B,16.0,8.0,0.6666666666666666
TTC34,2.0,7.0,0.2222222222222222
LINC00982,1.0,0.0,1.0
PRDM16,45.0,136.0,0.24861878453038674
ARHGEF16,2061.0,3333.0,0.382091212458287
AL512413.1,16.0,64.0,0.2
MEGF6,34.0,129.0,0.2085889570552147
TPRG1L,1585.0,1387.0,0.5333109017496636
WRAP73,514.0,672.0,0.433389544688027
TP73,6.0,16.0,0.2727272727272727
CCDC27,4.0,0.0,1.0
SMIM1,1967.0,2931.0,0.4015924867292773
LRRC47,1279.0,1246.0,0.5065346534653465
AL365330.1,11.0,15.0,0.4230769230769231
CEP104,877.0,1049.0,0.4553478712357217
DFFB,343.0,562.0,0.37900552486187844
C1orf174,863.0,1509.0,0.36382799325463744
LINC01134,12.0,17.0,0.41379310344827586
LINC01346,1.0,0.0,1.0
AL805961.1,3.0,5.0,0.375
AL805961.2,11.0,10.0,0.5238095238095238
AJAP1,0.0,3.0,0.0
NPHP4,46.0,58.0,0.4423076923076923
KCNAB2,19.0,29.0,0.3958333333333333
CHD5,1.0,7.0,0.125
RPL22,52489.0,55381.0,0.48659497543339203
AL031847.1,5.0,3.0,0.625
RNF207,223.0,593.0,0.27328431372549017
ICMT,2166.0,1762.0,0.5514256619144603
LINC00337,104.0,117.0,0.47058823529411764
GPR153,2.0,0.0,1.0
ACOT7,897.0,550.0,0.6199032480995162
AL031848.2,9.0,37.0,0.1956521739130435
HES2,2242.0,1561.0,0.5895345779647646
ESPN,134.0,167.0,0.44518272425249167
TNFRSF25,330.0,776.0,0.298372513562387
PLEKHG5,336.0,413.0,0.4485981308411215
NOL9,495.0,505.0,0.495
TAS1R1,1.0,3.0,0.25
ZBTB48,204.0,334.0,0.379182156133829
KLHL21,350.0,327.0,0.51698670605613
PHF13,574.0,679.0,0.4581005586592179
THAP3,267.0,327.0,0.4494949494949495
DNAJC11,1044.0,1021.0,0.5055690072639225
LINC01672,3.0,0.0,1.0
AL591163.1,1.0,8.0,0.1111111111111111
CAMTA1,3271.0,3575.0,0.4777972538708735
VAMP3,2207.0,2501.0,0.4687765505522515
PER3,34.0,88.0,0.2786885245901639
TNFRSF9,10.0,30.0,0.25
PARK7,9193.0,10314.0,0.4712667247654688
AL034417.4,4.0,43.0,0.0851063829787234
AL034417.3,8.0,82.0,0.08888888888888889
ERRFI1,8072.0,5506.0,0.5944910885255561
AL034417.2,34.0,54.0,0.38636363636363635
LINC01714,20.0,10.0,0.6666666666666666
AL358876.2,3.0,0.0,1.0
SLC45A1,1.0,0.0,1.0
RERE,2432.0,3805.0,0.38993105659772326
ENO1,22811.0,27570.0,0.45276989341219903
ENO1-AS1,9.0,21.0,0.3
CA6,1.0,0.0,1.0
SLC2A5,50.0,62.0,0.44642857142857145
GPR157,1077.0,1926.0,0.35864135864135865
MIR34AHG,21.0,63.0,0.25
LINC01759,43.0,73.0,0.3706896551724138
H6PD,715.0,945.0,0.4307228915662651
SPSB1,17.0,11.0,0.6071428571428571
AL928921.2,2.0,0.0,1.0
SLC25A33,363.0,408.0,0.4708171206225681
TMEM201,94.0,97.0,0.49214659685863876
PIK3CD,38.0,74.0,0.3392857142857143
PIK3CD-AS2,187.0,305.0,0.3800813008130081
CLSTN1,952.0,1247.0,0.43292405638926784
CTNNBIP1,716.0,1015.0,0.41363373772385903
AL357140.1,1.0,0.0,1.0
LZIC,1050.0,1460.0,0.41832669322709165
NMNAT1,199.0,248.0,0.4451901565995526
RBP7,4.0,0.0,1.0
UBE4B,747.0,997.0,0.4283256880733945
KIF1B,856.0,1070.0,0.4444444444444444
AL139424.3,14.0,21.0,0.4
AL139424.2,4.0,16.0,0.2
PGD,2376.0,2409.0,0.496551724137931
CENPS-CORT,9.0,8.0,0.5294117647058824
CENPS,45.0,85.0,0.34615384615384615
CORT,0.0,3.0,0.0
DFFA,1142.0,1498.0,0.43257575757575756
AL354956.1,4.0,7.0,0.36363636363636365
PEX14,441.0,549.0,0.44545454545454544
CASZ1,21.0,27.0,0.4375
AL139423.1,2.0,0.0,1.0
TARDBP,2357.0,2434.0,0.49196409935295343
AL109811.4,3.0,0.0,1.0
MASP2,2.0,4.0,0.3333333333333333
AL109811.3,11.0,19.0,0.36666666666666664
SRM,4135.0,4600.0,0.4733829421866056
EXOSC10,1069.0,1104.0,0.49194661757938335
